bacteria genus	kw.ep	kw.eBH	glm.ep	glm.eBH
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Edaphobacter	0.0364650391256179	0.335785089978432	0.0509929810518699	0.291971310571074
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Granulicella	0.366150184423662	0.693025666623553	0.318370940361434	0.63410432719261
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Occallatibacter	0.65414565299433	0.848897281701725	0.620987132708067	0.827036484149604
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Unclassified	0.340677657205158	0.656104599709586	0.348785842437757	0.639018114174366
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Unclassified;D_5__Unclassified	0.591110850657057	0.831588179578553	0.625252495728595	0.832858268961053
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Bryobacter	0.220357593383838	0.559747201979925	0.261872555524596	0.565064869583995
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Candidatus Solibacter	0.196964443580455	0.550190382707526	0.25839879072414	0.571343373434386
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Paludibaculum	0.46686672990415	0.728249272780581	0.439028050871239	0.704775690003561
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__Unclassified;D_5__Unclassified	0.390972338867549	0.690923840581815	0.403939193412357	0.686076100008099
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24;D_4__Unclassified;D_5__Unclassified	0.436291113588876	0.711356216076425	0.431813496080093	0.700894248331611
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae;D_5__Aridibacter	0.159321633995744	0.498235154595893	0.162416144052767	0.47459599373589
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae;D_5__Blastocatella	0.18007080007292	0.511845044213488	0.224906816465869	0.508321989012718
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae;D_5__JGI 0001001-H03	0.704552641067298	0.880569651217753	0.647067658109514	0.848202041824288
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales;D_4__Pyrinomonadaceae;D_5__RB41	0.449166160398184	0.72899723786035	0.431805009821952	0.700634766515611
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;D_4__Unclassified;D_5__Unclassified	0.619710380589728	0.836297261982514	0.576238025933218	0.811563139024852
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified	0.486114375716162	0.752164384685677	0.464209197512878	0.72906812215702
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified	0.393897469830831	0.686498502293833	0.386087632692829	0.670575216039685
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified	0.491316793514901	0.752043315076543	0.466806490400001	0.726944428263025
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified	0.542521673948889	0.784316733316301	0.490716724188562	0.75103756001653
