diversity_metric,pheno,estimate,p.value
evenness,ph,-0.18051204986181,0.912617777159419
evenness,organic_matter,0.0356542115982301,0.934817512285723
evenness,p2o5,0.0831295853226755,0.934817512285723
evenness,k2o,-0.0608144245032556,0.934817512285723
evenness,ca,-0.170970206264324,0.912617777159419
evenness,mg,-0.238368096042911,0.872972953115547
evenness,na,-0.145789052325116,0.912617777159419
evenness,s,0.073115032368022,0.934817512285723
evenness,al,0.154022462058496,0.912617777159419
evenness,b,-0.0779550587738414,0.934817512285723
evenness,cu,0.0420168067226891,0.934817512285723
evenness,fe,0.0729302213744222,0.934817512285723
evenness,mn,-0.148788186272267,0.912617777159419
evenness,zn,0.0386584155761901,0.934817512285723
evenness,cec,-0.114652619025093,0.934817512285723
evenness,k_sat,0.00674488219040876,0.969800603445421
evenness,ca_sat,-0.243447702583491,0.872972953115547
evenness,mg_sat,-0.267319274484446,0.872972953115547
evenness,na_sat,-0.013055839002716,0.969800603445421
evenness,h_sat,0.276436433545441,0.872972953115547
Faith's Phylogenetic Diversity,ph,-0.238440980342441,0.387686437458681
Faith's Phylogenetic Diversity,organic_matter,-0.0292272721685062,0.869665704332553
Faith's Phylogenetic Diversity,p2o5,-0.0308679710205523,0.869665704332553
Faith's Phylogenetic Diversity,k2o,-0.108488043711838,0.773393875483679
Faith's Phylogenetic Diversity,ca,-0.338120702826585,0.249357971805803
Faith's Phylogenetic Diversity,mg,-0.405378563334515,0.249357971805803
Faith's Phylogenetic Diversity,na,-0.325268852036287,0.249357971805803
Faith's Phylogenetic Diversity,s,0.132281494619713,0.76241334148203
Faith's Phylogenetic Diversity,al,0.309572924732653,0.249357971805803
Faith's Phylogenetic Diversity,b,-0.126122412162556,0.76241334148203
Faith's Phylogenetic Diversity,cu,-0.120550038197097,0.76241334148203
Faith's Phylogenetic Diversity,fe,0.0449507024823482,0.869665704332553
Faith's Phylogenetic Diversity,mn,-0.366694831121167,0.249357971805803
Faith's Phylogenetic Diversity,zn,-0.0872488351541681,0.831563460138522
Faith's Phylogenetic Diversity,cec,-0.312007993906954,0.249357971805803
Faith's Phylogenetic Diversity,k_sat,0.0553386925167628,0.869665704332553
Faith's Phylogenetic Diversity,ca_sat,-0.256284869574711,0.358633169419291
Faith's Phylogenetic Diversity,mg_sat,-0.228169540921507,0.38865680327808
Faith's Phylogenetic Diversity,na_sat,-0.0459313854071453,0.869665704332553
Faith's Phylogenetic Diversity,h_sat,0.28835574908803,0.280457693006154
richness,ph,-0.18051204986181,0.912617777159419
richness,organic_matter,0.0356542115982301,0.934817512285723
richness,p2o5,0.0831295853226755,0.934817512285723
richness,k2o,-0.0608144245032556,0.934817512285723
richness,ca,-0.170970206264324,0.912617777159419
richness,mg,-0.238368096042911,0.872972953115547
richness,na,-0.145789052325116,0.912617777159419
richness,s,0.073115032368022,0.934817512285723
richness,al,0.154022462058496,0.912617777159419
richness,b,-0.0779550587738414,0.934817512285723
richness,cu,0.0420168067226891,0.934817512285723
richness,fe,0.0729302213744222,0.934817512285723
richness,mn,-0.148788186272267,0.912617777159419
richness,zn,0.0386584155761901,0.934817512285723
richness,cec,-0.114652619025093,0.934817512285723
richness,k_sat,0.00674488219040876,0.969800603445421
richness,ca_sat,-0.243447702583491,0.872972953115547
richness,mg_sat,-0.267319274484446,0.872972953115547
richness,na_sat,-0.013055839002716,0.969800603445421
richness,h_sat,0.276436433545441,0.872972953115547
shannon,ph,-0.158807806779357,0.893889847804846
shannon,organic_matter,0.0980873374869763,0.893889847804846
shannon,p2o5,0.106356969456952,0.893889847804846
shannon,k2o,-0.11903124795989,0.893889847804846
shannon,ca,-0.152024446142093,0.893889847804846
shannon,mg,-0.287111315682455,0.84477955222226
shannon,na,-0.135222408826762,0.893889847804846
shannon,s,0.0128756031843058,0.991984935809772
shannon,al,0.120864848698681,0.893889847804846
shannon,b,-0.0698743514619188,0.991984935809772
shannon,cu,0.0417112299465241,0.991984935809772
shannon,fe,-0.0016818290044416,0.992468207054072
shannon,mn,-0.130591069965587,0.893889847804846
shannon,zn,0.0331576133598152,0.991984935809772
shannon,cec,-0.127646582514604,0.893889847804846
shannon,k_sat,-0.0504333236510109,0.991984935809772
shannon,ca_sat,-0.193780092200795,0.893889847804846
shannon,mg_sat,-0.385686047053646,0.485489758145573
shannon,na_sat,0.0184040140158767,0.991984935809772
shannon,h_sat,0.267114917544185,0.84477955222226
