kingdom	diversity_metric	pheno	rho	p.value	BH
bacteria	richness	trunk_diameter	-0.166782459133078	0.345808491664775	0.940332553980491
bacteria	richness	sec_root_mass	0.0129880052331073	0.941883569169891	0.941883569169891
bacteria	richness	tert_root_mass	-0.102460268948655	0.564199532388295	0.940332553980491
bacteria	richness	sec_tert_root_mass	-0.0403392162534157	0.820804800615894	0.941883569169891
bacteria	richness	total_root_mass	-0.114049769848355	0.520714095818679	0.940332553980491
bacteria	evenness	trunk_diameter	-0.0573270903682185	0.747427477083122	0.882052139268906
bacteria	evenness	sec_root_mass	-0.0264323911382735	0.882052139268906	0.882052139268906
bacteria	evenness	tert_root_mass	-0.112766445435685	0.525447031263769	0.882052139268906
bacteria	evenness	sec_tert_root_mass	-0.0569900687547746	0.748180031699273	0.882052139268906
bacteria	evenness	total_root_mass	-0.137339767299262	0.438606509620943	0.882052139268906
bacteria	phylo_d	trunk_diameter	-0.150215370483567	0.396458669793034	0.932331789668552
bacteria	phylo_d	sec_root_mass	0.0847975553857907	0.632325207053566	0.932331789668552
bacteria	phylo_d	tert_root_mass	0.0151272060950309	0.932331789668552	0.932331789668552
bacteria	phylo_d	sec_tert_root_mass	0.0557677616501146	0.753423831065512	0.932331789668552
bacteria	phylo_d	total_root_mass	-0.160945039803822	0.363187586676539	0.932331789668552
bacteria	shannon	trunk_diameter	-0.0686698836496308	0.699578299746554	0.957352922700173
bacteria	shannon	sec_root_mass	0.0496562261268144	0.77980341020785	0.957352922700173
bacteria	shannon	tert_root_mass	-0.0288792116359681	0.87120483790214	0.957352922700173
bacteria	shannon	sec_tert_root_mass	0.00962566844919786	0.957352922700173	0.957352922700173
bacteria	shannon	total_root_mass	-0.0269774542909264	0.879622523143297	0.957352922700173
fungi	richness	trunk_diameter	-0.00464138326407656	0.989194159192474	0.989194159192474
fungi	richness	sec_root_mass	0.163636363636364	0.633869587610079	0.969581089481655
fungi	richness	tert_root_mass	0.154545454545455	0.653538937959263	0.969581089481655
fungi	richness	sec_tert_root_mass	0.1	0.775664871585324	0.969581089481655
fungi	richness	total_root_mass	0.784393771628939	0.00425743729566501	0.021287186478325
fungi	evenness	trunk_diameter	-0.436290026823197	0.179746711446844	0.44936677861711
fungi	evenness	sec_root_mass	-0.0454545454545455	0.902917866811604	0.989189709913342
fungi	evenness	tert_root_mass	-0.0909090909090909	0.796592401118967	0.989189709913342
fungi	evenness	sec_tert_root_mass	0.00909090909090909	0.989189709913342	0.989189709913342
fungi	evenness	total_root_mass	0.491986625992115	0.124251049061204	0.44936677861711
fungi	phylo_d	trunk_diameter	0.362027894597972	0.273922463495964	0.273922463495964
fungi	phylo_d	sec_root_mass	0.427272727272727	0.19262499772471	0.240781247155887
fungi	phylo_d	tert_root_mass	0.463636363636364	0.154327160537791	0.240781247155887
fungi	phylo_d	sec_tert_root_mass	0.481818181818182	0.137219212931031	0.240781247155887
fungi	phylo_d	total_root_mass	0.5940970578018	0.0539415917348834	0.240781247155887
fungi	shannon	trunk_diameter	-0.320255445221283	0.336983343574397	0.842458358935992
fungi	shannon	sec_root_mass	-0.118181818181818	0.734251788754801	0.860103507719015
fungi	shannon	tert_root_mass	-0.0818181818181818	0.817650128521416	0.860103507719015
fungi	shannon	sec_tert_root_mass	-0.0636363636363636	0.860103507719015	0.860103507719015
fungi	shannon	total_root_mass	0.617303974122182	0.0430256432130739	0.21512821606537
