	pielou_e
e64	0.732146131772702
e65	0.6642911770282423
e66	0.8838633046605862
e67	0.8549650627417352
e68	0.8540055205318021
e69	0.7963918267750455
e70	0.762918148252535
e71	0.751955029925149
e72	0.7035995110635046
e73	0.7901687921696603
e74	0.8133865081892476
e75	0.8306845259141752
e76	0.8553681824708586
e77	0.8583629890849792
e78	0.82709133215646
e79	0.7779690080616403
e80	0.6891965805390835
e81	0.7948456160120196
e82	0.8477105451281585
e83	0.8000278132695378
e84	0.7387244972708961
e85	0.8368918634125897
e86	0.7806223216041561
e87	0.8152143305399265
e88	0.6433357879047773
e89	0.8415083625084641
e90	0.8286814731422282
e91	0.822778290566188
e92	0.855657778977577
e93	0.772701579274048
e94	0.780694383606944
e95	0.7604362874555347
e96	0.8240452499047487
e97	0.8020844991541708
