	faith_pd
e64	16.0685104655
e65	12.1511851775
e66	25.87031679
e67	22.020908154999997
e68	22.703283435
e69	17.525074617999998
e70	17.5958621145
e71	21.533332004000002
e72	18.85318638
e73	20.9964733325
e74	18.814069997
e75	20.384564071
e76	27.239249676
e77	28.186340293
e78	26.890070305500004
e79	27.609490225000002
e80	21.235305348
e81	21.794556223
e82	27.343040134
e83	22.087730011999998
e84	15.3028754765
e85	21.082665070999997
e86	21.599542264
e87	21.202557497
e88	13.7637240925
e89	23.406597471
e90	21.766976307
e91	19.847319074
e92	6.8248352845
e93	24.084661393999998
e94	24.751364893999998
e95	23.078694726
e96	25.824720915999997
e97	21.740213704
