	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e64	0.0	0.7199017199017199	0.6909937888198758	0.7037037037037037	0.7365771812080537	0.7833698030634574	0.6302521008403361	0.6887298747763864	0.666	0.6723549488054608	0.6699410609037328	0.6996197718631179	0.6751054852320675	0.6925418569254186	0.7297687861271677	0.7903682719546742	0.7792207792207793	0.8052373158756138	0.7718794835007173	0.8210526315789474	0.7451403887688985	0.7588126159554731	0.7755834829443446	0.7790055248618785	0.7910112359550562	0.7711038961038961	0.7591911764705882	0.7795527156549521	0.8746355685131195	0.754180602006689	0.8198051948051948	0.7319932998324958	0.7231270358306189	0.7437722419928826
e65	0.7199017199017199	0.0	0.8040540540540541	0.7978723404255319	0.831758034026465	0.8497267759562842	0.7572115384615384	0.804	0.7599067599067599	0.8114602587800369	0.7955555555555556	0.7907488986784141	0.8321273516642547	0.832258064516129	0.8115015974440895	0.8659305993690851	0.8351893095768375	0.8919925512104283	0.8786936236391913	0.8765690376569037	0.7780821917808219	0.841648590021692	0.8459915611814346	0.8596112311015118	0.8076923076923077	0.8711433756805808	0.8362068965517241	0.8563636363636363	0.8486238532110092	0.8576779026217228	0.8851224105461394	0.8286252354048964	0.8513274336283185	0.8511066398390342
e66	0.6909937888198758	0.8040540540540541	0.0	0.6395705521472392	0.738255033557047	0.7739273927392739	0.6911076443057722	0.6950354609929078	0.708018154311649	0.6707988980716253	0.6968325791855203	0.6803030303030303	0.6198044009779952	0.6776232616940582	0.6790582403965304	0.7397094430992736	0.7893982808022922	0.7950065703022339	0.7264957264957265	0.8168044077134986	0.7962382445141066	0.7788873038516405	0.7794943820224719	0.7769784172661871	0.84	0.7225981055480379	0.7668097281831188	0.7823303457106274	0.9127134724857685	0.7285129604365621	0.814526588845655	0.7362784471218207	0.6842818428184282	0.7404795486600846
e67	0.7037037037037037	0.7978723404255319	0.6395705521472392	0.0	0.6537162162162162	0.720682302771855	0.6892655367231638	0.6963087248322147	0.7049180327868853	0.6763285024154589	0.6746323529411765	0.7023172905525846	0.6923076923076923	0.6875	0.7390710382513661	0.7023121387283237	0.7553191489361702	0.7576243980738363	0.6918604651162791	0.7864406779661017	0.7934362934362934	0.6941391941391941	0.735191637630662	0.7352415026833632	0.849802371541502	0.6672212978369384	0.7206405693950177	0.7812971342383107	0.8974358974358975	0.700164744645799	0.8027950310559007	0.6825657894736842	0.6794258373205742	0.6956521739130435
e68	0.7365771812080537	0.831758034026465	0.738255033557047	0.6537162162162162	0.0	0.7145669291338582	0.7474916387959866	0.6867088607594937	0.7094594594594594	0.7410071942446043	0.7035175879396985	0.7483974358974359	0.7390776699029126	0.6850068775790922	0.7692307692307693	0.6433666191155493	0.7289562289562289	0.7909356725146199	0.6855172413793104	0.7536466774716369	0.8021201413427562	0.7082630691399663	0.7415185783521809	0.7290969899665551	0.8496376811594203	0.6921898928024502	0.6620450606585788	0.7804532577903682	0.9072398190045249	0.6965944272445821	0.7552870090634441	0.7157894736842105	0.6928783382789317	0.7511664074650077
e69	0.7833698030634574	0.8497267759562842	0.7739273927392739	0.720682302771855	0.7145669291338582	0.0	0.7706013363028953	0.7263581488933601	0.7200902934537246	0.8063380281690141	0.7644539614561028	0.7679324894514767	0.8124118476727785	0.7817014446227929	0.8161094224924013	0.7619047619047619	0.7289293849658315	0.8566243194192378	0.7865168539325843	0.80083857442348	0.8520286396181385	0.732739420935412	0.7747368421052632	0.7461024498886414	0.8443271767810027	0.776536312849162	0.7222222222222222	0.8206039076376554	0.8871595330739299	0.7352941176470589	0.791907514450867	0.7878228782287823	0.7540983606557377	0.7928286852589641
e70	0.6302521008403361	0.7572115384615384	0.6911076443057722	0.6892655367231638	0.7474916387959866	0.7706013363028953	0.0	0.6193181818181818	0.6551724137931034	0.5875912408759124	0.609504132231405	0.6345381526104418	0.7115384615384616	0.7045454545454546	0.7553342816500711	0.7716763005780347	0.7637051039697542	0.79	0.7543859649122807	0.8342059336823735	0.7290748898678414	0.7616387337057728	0.7717391304347826	0.7659176029962547	0.8289473684210527	0.7574257425742574	0.7844202898550725	0.8012618296529969	0.8597014925373134	0.7670549084858569	0.8578199052132701	0.7365771812080537	0.7399030694668821	0.7396768402154399
e71	0.6887298747763864	0.804	0.6950354609929078	0.6963087248322147	0.6867088607594937	0.7263581488933601	0.6193181818181818	0.0	0.5581395348837209	0.678516228748068	0.6114180478821363	0.6483126110124334	0.7133838383838383	0.6816901408450704	0.7552083333333334	0.7246575342465753	0.7239583333333334	0.8184480234260615	0.7236662106703147	0.7599337748344371	0.7992700729927007	0.7419898819561551	0.7536945812807881	0.7152777777777778	0.8104448742746615	0.7420814479638009	0.7123287671232876	0.7758369723435226	0.8870192307692307	0.7314814814814815	0.7927927927927928	0.7228177641653905	0.7244444444444444	0.7451923076923077
e72	0.666	0.7599067599067599	0.708018154311649	0.7049180327868853	0.7094594594594594	0.7200902934537246	0.6551724137931034	0.5581395348837209	0.0	0.7107843137254902	0.6349206349206349	0.6711281070745698	0.7173620457604307	0.6956521739130435	0.7482419127988749	0.7660485021398002	0.7495327102803738	0.8293838862559242	0.7719546742209632	0.7911504424778761	0.7666666666666667	0.7476979742173112	0.7625	0.7378277153558053	0.7662921348314606	0.7672552166934189	0.7177570093457943	0.7756714060031595	0.8816901408450705	0.7272727272727273	0.7761194029850746	0.7368421052631579	0.7259615384615384	0.7508710801393729
e73	0.6723549488054608	0.8114602587800369	0.6707988980716253	0.6763285024154589	0.7410071942446043	0.8063380281690141	0.5875912408759124	0.678516228748068	0.7107843137254902	0.0	0.6341880341880342	0.6362098138747885	0.6341463414634146	0.7058047493403694	0.7361111111111112	0.7535121328224776	0.7906976744186046	0.7543859649122807	0.7477592829705506	0.8509406657018813	0.7513321492007105	0.779320987654321	0.7982062780269058	0.794162826420891	0.8521739130434782	0.6958456973293768	0.7905918057663126	0.7978290366350068	0.9051724137931034	0.7560975609756098	0.8464673913043478	0.7186588921282799	0.7221438645980254	0.7162790697674418
e74	0.6699410609037328	0.7955555555555556	0.6968325791855203	0.6746323529411765	0.7035175879396985	0.7644539614561028	0.609504132231405	0.6114180478821363	0.6349206349206349	0.6341880341880342	0.0	0.6067193675889329	0.6968876860622463	0.6786786786786787	0.7447698744769874	0.739193083573487	0.744916820702403	0.792604501607717	0.7435530085959885	0.796875	0.7510373443983402	0.7269372693726938	0.7557522123893805	0.7380073800738007	0.8231578947368421	0.7390599675850892	0.7299270072992701	0.8015267175572519	0.8694444444444445	0.7190635451505016	0.8330733229329174	0.7245901639344262	0.7282780410742496	0.7334494773519163
e75	0.6996197718631179	0.7907488986784141	0.6803030303030303	0.7023172905525846	0.7483974358974359	0.7679324894514767	0.6345381526104418	0.6483126110124334	0.6711281070745698	0.6362098138747885	0.6067193675889329	0.0	0.697986577181208	0.7051094890510949	0.7296918767507002	0.7577464788732394	0.7684021543985637	0.8320493066255779	0.7619047619047619	0.8155668358714044	0.7916666666666666	0.7531305903398927	0.7925170068027211	0.7549549549549549	0.8472505091649695	0.7676609105180534	0.7601410934744268	0.8090225563909774	0.893048128342246	0.7826771653543307	0.8508371385083714	0.7676609105180534	0.7584097859327217	0.7643097643097643
e76	0.6751054852320675	0.8321273516642547	0.6198044009779952	0.6923076923076923	0.7390776699029126	0.8124118476727785	0.7115384615384616	0.7133838383838383	0.7173620457604307	0.6341463414634146	0.6968876860622463	0.697986577181208	0.0	0.6070559610705596	0.6670480549199085	0.743109151047409	0.8020304568527918	0.7729468599033816	0.739514348785872	0.8443908323281062	0.7941585535465925	0.7818877551020408	0.801980198019802	0.7895408163265306	0.861878453038674	0.7139334155363748	0.77735368956743	0.8013698630136986	0.9213483146067416	0.7318573185731857	0.8261877172653534	0.7311435523114356	0.6919315403422983	0.7490542244640606
e77	0.6925418569254186	0.832258064516129	0.6776232616940582	0.6875	0.6850068775790922	0.7817014446227929	0.7045454545454546	0.6816901408450704	0.6956521739130435	0.7058047493403694	0.6786786786786787	0.7051094890510949	0.6070559610705596	0.0	0.7103694874851013	0.6902106567534076	0.7539797395079595	0.8114649681528663	0.7006134969325153	0.7830319888734353	0.8121212121212121	0.7380607814761215	0.7464589235127479	0.7227138643067846	0.8385579937304075	0.72	0.7011834319526628	0.7618437900128041	0.9132841328413284	0.6851595006934813	0.7466307277628033	0.6991869918699187	0.6716016150740243	0.7251051893408135
e78	0.7297687861271677	0.8115015974440895	0.6790582403965304	0.7390710382513661	0.7692307692307693	0.8161094224924013	0.7553342816500711	0.7552083333333334	0.7482419127988749	0.7361111111111112	0.7447698744769874	0.7296918767507002	0.6670480549199085	0.7103694874851013	0.0	0.7649082568807339	0.7980900409276944	0.8531889290012034	0.7957589285714286	0.8436692506459949	0.838150289017341	0.8232189973614775	0.8216145833333334	0.8155080213903744	0.8256172839506173	0.7931034482758621	0.793010752688172	0.76625	0.9259259259259259	0.7839195979899497	0.8242574257425742	0.7960687960687961	0.7911164465786314	0.7856209150326797
e79	0.7903682719546742	0.8659305993690851	0.7397094430992736	0.7023121387283237	0.6433666191155493	0.7619047619047619	0.7716763005780347	0.7246575342465753	0.7660485021398002	0.7535121328224776	0.739193083573487	0.7577464788732394	0.743109151047409	0.6902106567534076	0.7649082568807339	0.0	0.718562874251497	0.7979274611398963	0.6708701134930644	0.7409551374819102	0.8161094224924013	0.7287390029325513	0.7588152327221439	0.7244444444444444	0.8571428571428571	0.6917808219178082	0.7274052478134111	0.7571059431524548	0.922509225092251	0.7239512855209743	0.7633689839572193	0.7181208053691275	0.6941489361702128	0.7444444444444445
