	shannon
e64	6.118949371270323
e65	5.043602221823174
e66	7.962219491702315
e67	7.300682448700619
e68	7.45659465401979
e69	6.238049587308671
e70	6.362622920904636
e71	6.513267608715134
e72	5.913853423882321
e73	6.964374838311636
e74	6.870743529750634
e75	7.040660606877248
e76	7.922501233756998
e77	7.7703893709834375
e78	7.531417998848964
e79	7.031998840049257
e80	5.7660406617463895
e81	6.8762505106269405
e82	7.667028269275266
e83	6.7412461657344975
e84	5.897232915182848
e85	7.041296755581247
e86	6.610001902934027
e87	6.838031895829966
e88	4.962850218198632
e89	7.35885080300285
e90	6.993070463935187
e91	7.214271710109205
e92	5.012427007583715
e93	6.725520037049722
e94	6.745390694697124
e95	6.649888977803692
e96	7.278701059103545
e97	6.867641926467953
