	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e64	0.0	0.4911690105744815	0.4889055157859907	0.4359561295081322	0.5077698589958316	0.4918231061218623	0.3808863630496035	0.45053750246841906	0.40368379007790356	0.42199473039625574	0.40405241756479837	0.41989191771589573	0.47474258229431143	0.507273629414084	0.5373502027071667	0.5593365353220995	0.530047508819708	0.5386363919871565	0.5600308461761285	0.5793523946035398	0.5079820214775926	0.5284862613147397	0.5372312427930824	0.5160570001972339	0.5506589214589783	0.5016236452124239	0.49931430261041854	0.5456610597425859	0.6313022753940437	0.501406110598735	0.5961813329727527	0.4715841730513612	0.5067179243856484	0.5106770958336421
e65	0.4911690105744815	0.0	0.6053703458438435	0.5457484382505657	0.6131097799508026	0.5611658056916474	0.5362078383262769	0.5540079350803807	0.5124836614697998	0.5747456564354927	0.5713292122723693	0.5586217044940207	0.6178770398382444	0.6377806527578166	0.6261796924947259	0.6536097003195924	0.6251512108998136	0.6608710236117157	0.670734311145233	0.6333072652836589	0.5244985713644973	0.6280117408852416	0.617917065222044	0.6051141483841804	0.5922439394829522	0.6113669499163039	0.5739661364043978	0.5899545089605239	0.6362965450463582	0.6131654248966985	0.6709041034949785	0.6080509736238418	0.6508365634641292	0.6069913200282
e66	0.4889055157859907	0.6053703458438435	0.0	0.3877012311680595	0.46485211594288456	0.49510959037096847	0.4587770741529488	0.42480946848003776	0.4318105316145311	0.4071681040709073	0.44500365979300743	0.37023110203673965	0.3769802438933187	0.38858454674266996	0.42753237275102507	0.4680923696580558	0.4981762000351354	0.5284439003896136	0.45444015997910236	0.5577831079400608	0.5477246495764494	0.49839042918661675	0.5016471311632902	0.487036973507993	0.5968329498714646	0.4327731377324977	0.4922644554699664	0.4985011506634702	0.7451751040138795	0.43036315920307766	0.5107438354656272	0.44774329588381057	0.41548849519462905	0.44628531398585863
e67	0.4359561295081322	0.5457484382505657	0.3877012311680595	0.0	0.44164662567881124	0.47443212661245177	0.43353051770142503	0.4076688426765021	0.414772424595529	0.4028104330604107	0.4478278128331697	0.41103872721680024	0.4290211645750843	0.4137290726329771	0.4747677180282751	0.4371846082083713	0.44203065561118204	0.4948731403376364	0.4147193730102267	0.5137331551231495	0.5296590192560632	0.4425135567617709	0.4639561913417219	0.42855210869248805	0.5928859507121627	0.3807864621381167	0.43505736659350047	0.4905975658454093	0.7154015236809171	0.3849312723683975	0.4873716441394662	0.4068371349796549	0.4092503516361222	0.43038376210082463
e68	0.5077698589958316	0.6131097799508026	0.46485211594288456	0.44164662567881124	0.0	0.46894739166520955	0.5047527532700891	0.456227719679827	0.46363220725148935	0.47960055163182364	0.46528585518530874	0.47096320626337385	0.4653928309590188	0.3964086965330384	0.4620935161187225	0.39675233927406	0.4493055763267238	0.5294237960009938	0.45078593126420996	0.4679742004851853	0.5435673459557042	0.4449323466835341	0.47857535533212325	0.4501065421047628	0.5806378611240237	0.4151811417692588	0.3902505065732884	0.5094397918282446	0.7213640618411351	0.448733480074228	0.44849691350210424	0.42577636223732257	0.40793189808311675	0.4976528137809509
e69	0.4918231061218623	0.5611658056916474	0.49510959037096847	0.47443212661245177	0.46894739166520955	0.0	0.4825054782769998	0.438023069100056	0.41583812310038337	0.5172051229568287	0.462794490193464	0.45700632404065233	0.5240537336149074	0.5031057967426911	0.5427568683371868	0.5136437388574898	0.44945382598041833	0.5535246632271058	0.5398946743207836	0.5403270001751432	0.5553314717123954	0.49444039768628284	0.5113369639049758	0.4558944115727175	0.5349261672205202	0.4920439720488322	0.4487598056883708	0.548092073263393	0.6374342514862531	0.45040727261847285	0.49843851861289173	0.48316937043052466	0.48180491319059904	0.46743016345003713
e70	0.3808863630496035	0.5362078383262769	0.4587770741529488	0.43353051770142503	0.5047527532700891	0.4825054782769998	0.0	0.40764945321505874	0.39152202475189146	0.345258479580906	0.37385066344210066	0.3719747901947193	0.4942256572959849	0.4826407915790861	0.5322955296667343	0.5331600217535271	0.5161667526525684	0.49309130162610265	0.521906492278117	0.5800307845863143	0.48231821431298827	0.5116325165129071	0.5181286549352745	0.4908887333530712	0.5428813036277255	0.47634299481269127	0.5013875739220698	0.5398353020629109	0.6522896553368699	0.5035181093561923	0.5787147804009418	0.4614425631957038	0.48573685510284376	0.4973998485216794
e71	0.45053750246841906	0.5540079350803807	0.42480946848003776	0.4076688426765021	0.456227719679827	0.438023069100056	0.40764945321505874	0.0	0.3604902311482466	0.3955195864461228	0.38822715494126653	0.3936330613421067	0.45211818929999165	0.41102307649614617	0.4955492777654874	0.46471263384706946	0.4331767488856589	0.5303233183103765	0.45595719142480595	0.4972878027716915	0.5501825739593892	0.4993534746094698	0.44125406188040334	0.4228903051045652	0.5792009034161877	0.4441790273516001	0.4512014334066013	0.5254237108833968	0.7089118566717062	0.43439759526812893	0.49547824591185374	0.45276375965293	0.45314474704349855	0.45443519086174006
e72	0.40368379007790356	0.5124836614697998	0.4318105316145311	0.414772424595529	0.46363220725148935	0.41583812310038337	0.39152202475189146	0.3604902311482466	0.0	0.4202779935587008	0.34743274038967004	0.35829333572911515	0.48950347074821915	0.46571440686069715	0.49446255227185837	0.5080285311575196	0.46354239255426194	0.5349679184102171	0.5015721481551246	0.5289201665148118	0.5047956571540193	0.4351444321686349	0.4784172115459004	0.4459889937196864	0.5177144452559096	0.479797626872379	0.41600096301233985	0.4984391268290208	0.6646593078789007	0.4482324550437704	0.5115518011758541	0.4522282941224373	0.4710028081879141	0.4623050642927823
e73	0.42199473039625574	0.5747456564354927	0.4071681040709073	0.4028104330604107	0.47960055163182364	0.5172051229568287	0.345258479580906	0.3955195864461228	0.4202779935587008	0.0	0.3926071544576792	0.36297750455688016	0.38939169109289207	0.43151709305453473	0.471466844708538	0.4762811461756914	0.48281436102291253	0.46013215120269285	0.4900707354726704	0.5599692565108269	0.47212232131899334	0.49989315890556324	0.5023445637314772	0.48290736089999364	0.5852569697464453	0.42912627841012957	0.4966695365028887	0.5162681563201721	0.7124004656726797	0.4293086839885172	0.5416118750444336	0.43844641774437587	0.4399446205068566	0.44278722268199067
e74	0.40405241756479837	0.5713292122723693	0.44500365979300743	0.4478278128331697	0.46528585518530874	0.462794490193464	0.37385066344210066	0.38822715494126653	0.34743274038967004	0.3926071544576792	0.0	0.32952847658557116	0.46188174240008334	0.4295319002707401	0.5101381281444145	0.5029184243260922	0.475816617272966	0.4972649045500415	0.48482777245502784	0.5432415838914065	0.492187034184345	0.4461388117303187	0.48261348825434514	0.4402509032486563	0.5475107560779776	0.46755381970888243	0.437496491595296	0.5211327968671643	0.6592077632725648	0.4578736443617148	0.5598517347461199	0.41988503648471687	0.45975788416487146	0.47096418104206067
e75	0.41989191771589573	0.5586217044940207	0.37023110203673965	0.41103872721680024	0.47096320626337385	0.45700632404065233	0.3719747901947193	0.3936330613421067	0.35829333572911515	0.36297750455688016	0.32952847658557116	0.0	0.4143013068756268	0.42773734741629194	0.4523669439521515	0.5007552135619537	0.4739194598410993	0.4967002280975589	0.49883037015641934	0.5569168498225741	0.49971935653347704	0.47242639984162776	0.49926904802493033	0.4642277634501616	0.554918287865768	0.46991021076999623	0.48167892757128206	0.49922945194537666	0.6897692903780653	0.4505437256748378	0.5609125962786995	0.4458640857925171	0.46494687508823934	0.46252058575808164
e76	0.47474258229431143	0.6178770398382444	0.3769802438933187	0.4290211645750843	0.4653928309590188	0.5240537336149074	0.4942256572959849	0.45211818929999165	0.48950347074821915	0.38939169109289207	0.46188174240008334	0.4143013068756268	0.0	0.36519816047235687	0.43956281722791546	0.4596871339565011	0.5158933267223241	0.48856729665268034	0.48272869861374457	0.5455680976002277	0.5578250917120938	0.519962612212237	0.5239892597549464	0.49594696511184644	0.6463521656290399	0.4141238620060379	0.4751686827267172	0.5207814250262613	0.7637912673808732	0.415152095107785	0.5308305922845541	0.4360958156149849	0.4410281873832356	0.4759125860438586
e77	0.507273629414084	0.6377806527578166	0.38858454674266996	0.4137290726329771	0.3964086965330384	0.5031057967426911	0.4826407915790861	0.41102307649614617	0.46571440686069715	0.43151709305453473	0.4295319002707401	0.42773734741629194	0.36519816047235687	0.0	0.4405887696312131	0.38564715951632383	0.4552451033613691	0.5071112404613127	0.4104806941751054	0.4711938476755503	0.5989446349136762	0.47554443130152013	0.45775767163475184	0.4334080656369904	0.6139820842007322	0.4103852921243451	0.39004441084993774	0.5183472297573016	0.7631501921037271	0.3764431521734262	0.4399405167595803	0.39608880084652653	0.3944185957924636	0.45600322484013467
