	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e64	0.0	0.19075715136054422	0.29786202995153066	0.2484501278205782	0.2630102361607143	0.22507130424574828	0.12812744405187076	0.1688584017772109	0.12705458634183672	0.22665051795323127	0.1825280668545918	0.20085633564370745	0.2668620130943878	0.26573488646938775	0.16986917862499998	0.23226525396853745	0.1323760211037415	0.35534080580612243	0.29318657635374146	0.23931657572448978	0.12138197499234694	0.28628878125170065	0.24469503240136053	0.2872983973027211	0.11688345202040817	0.3417678494107143	0.29651702808078234	0.23620224744132653	0.13819232440816326	0.2850787375510204	0.33120474575680275	0.25702435502210885	0.2804448211522109	0.22377573991921765
e65	0.19075715136054422	0.0	0.45191916512159863	0.4015249799515306	0.4062595389532313	0.3666981641828232	0.2730605347168367	0.2391702864778912	0.18955770086054421	0.3753994263341837	0.33183294003656455	0.3515522204906462	0.4150219730943877	0.4160560623962585	0.3175584499804422	0.36357764436989803	0.23006528969217685	0.4761968714727891	0.4351631137840136	0.3579735304455782	0.14465370539540817	0.4041697172244898	0.3698121783469388	0.4035085791207483	0.13816723957482993	0.47814467887670065	0.4287380688613946	0.3804114307406462	0.17145151273129253	0.4349847310442177	0.468864633792517	0.2874735146207483	0.43015053942772113	0.3654294176130952
e66	0.29786202995153066	0.45191916512159863	0.0	0.13982782847108846	0.1758756521802721	0.2001809860578231	0.21278451278061225	0.24767891769302722	0.32021546972193876	0.16478473123639456	0.1761957331564626	0.1551769206003401	0.11663052285884354	0.14447905608928574	0.1821851266904762	0.20980493989455778	0.28496351605187076	0.24711640618962585	0.16656150263010203	0.2383109740620748	0.33621279320238096	0.19283301727806124	0.24386317590391154	0.2384740110994898	0.36391423755187075	0.20759872851530614	0.21400853758673472	0.1912878883945578	0.3365359057882653	0.18304936651615644	0.20622259386649658	0.2948595583273809	0.20216313165816324	0.1778942331037415
e67	0.2484501278205782	0.4015249799515306	0.13982782847108846	0.0	0.11692065179591837	0.14677152174489796	0.20487711539625847	0.20950361271003398	0.2852056006318027	0.2034333875085034	0.16185038653911563	0.1723634455680272	0.14406866227210888	0.13887993020493197	0.16358025928911565	0.15897135460884354	0.24091687715221088	0.21433848881207485	0.16313000338690478	0.1816612048222789	0.28922815324149664	0.14420009643112244	0.2214598019498299	0.22795966991581634	0.3181875762372449	0.1686965848197279	0.20414485239965985	0.11955336309013606	0.28579986844132654	0.1821047846011905	0.19437901283758505	0.2453200167355442	0.1788251750595238	0.15378377042006805
e68	0.2630102361607143	0.4062595389532313	0.1758756521802721	0.11692065179591837	0.0	0.11279005845918368	0.21849296025	0.20833336640561223	0.25709271998044214	0.2026747520986395	0.16123411949659866	0.17778923531292518	0.1676240251802721	0.12512699051275508	0.17298270317176873	0.13640390685884357	0.22331290700255105	0.20516163953656466	0.10468258582397959	0.13604045275935375	0.2995993331292517	0.10228216800085035	0.17037148285799317	0.17962955106207482	0.32220568163010205	0.13920005735034013	0.13867193102891157	0.1481957652602041	0.28216924120323134	0.15113663597193877	0.16190359030697277	0.21552221459268708	0.1367851617670068	0.14459400836904762
e69	0.22507130424574828	0.3666981641828232	0.2001809860578231	0.14677152174489796	0.11279005845918368	0.0	0.18974183107312928	0.19395757336309521	0.21693598013180274	0.18891423961054418	0.1504729999761905	0.1707996299387755	0.1689505216462585	0.15150479142942178	0.1544978299727891	0.15170478669217688	0.1929566675127551	0.2555154465518707	0.14595096368112243	0.13061490165561224	0.26442621198299315	0.12815009827636054	0.147314759667517	0.15008836872704082	0.2697338556607143	0.17471746305442176	0.13449386943537414	0.16708358773469387	0.2393945606964286	0.14095913289030612	0.1588204808732993	0.1966539490960884	0.1326734186190476	0.10782683651020408
e70	0.12812744405187076	0.2730605347168367	0.21278451278061225	0.20487711539625847	0.21849296025	0.18974183107312928	0.0	0.11596800744302722	0.1414504087406463	0.1260305816020408	0.10753641348809523	0.11149446760374149	0.17385907539965986	0.18133680531887758	0.0991421779472789	0.18480145318197277	0.12151161552806122	0.2995980946947279	0.22272229846513605	0.19253933042602042	0.16651146766836739	0.24098271192261905	0.1880821639498299	0.24901922230187074	0.19853465983758503	0.30823617650170065	0.24756140830102036	0.21878356564625853	0.17156918217091838	0.22612752669302721	0.28559119769302727	0.213786307837585	0.23258478894387757	0.14913247117517003
e71	0.1688584017772109	0.2391702864778912	0.24767891769302722	0.20950361271003398	0.20833336640561223	0.19395757336309521	0.11596800744302722	0.0	0.1382384392840136	0.19105894826955783	0.13636180951615645	0.16196165217431974	0.21105233342431973	0.2084029013877551	0.14094256152636053	0.1794350158647959	0.12317102002210885	0.2905464594183674	0.23273975340306122	0.17308593465816327	0.1643337159107143	0.22087729437585035	0.20216705687074826	0.25036988046938774	0.20998550118877551	0.29406486499574824	0.24819008726955782	0.21660776029846937	0.13840660845408165	0.25975249198469386	0.2930927545459183	0.16451725872789116	0.25607326007568026	0.17351624493792514
e72	0.12705458634183672	0.18955770086054421	0.32021546972193876	0.2852056006318027	0.25709271998044214	0.21693598013180274	0.1414504087406463	0.1382384392840136	0.0	0.22361228640731295	0.18152376628486394	0.20567989800935377	0.2732877500739796	0.2518325760085034	0.19215620158588434	0.22368706698384355	0.12973455131292516	0.3271402870833333	0.2775780119302721	0.20458027214115648	0.12679220136309524	0.2804239006054422	0.21274596988605443	0.25955701684183674	0.15587715266666669	0.32410893848044214	0.2716077876147959	0.2665181515365646	0.11600398549489797	0.2704116100306123	0.3068331001632653	0.1960693006479592	0.27003648783928574	0.22720652145833337
e73	0.22665051795323127	0.3753994263341837	0.16478473123639456	0.2034333875085034	0.2026747520986395	0.18891423961054418	0.1260305816020408	0.19105894826955783	0.22361228640731295	0.0	0.12358928684353741	0.09311720275680271	0.12943396613605443	0.15665923766071427	0.12287305589965987	0.18613103367857142	0.21878084695493197	0.2844849126403061	0.18942168043622448	0.20117633150255101	0.2637361422585034	0.23140058866071428	0.19086804249914965	0.22845574730017004	0.2894127100484694	0.2854024121547619	0.22403603095918367	0.21720515860884354	0.2674999353460884	0.18264588000765308	0.2511663176113946	0.23040803273554422	0.20866883817687076	0.1592720555782313
e74	0.1825280668545918	0.33183294003656455	0.1761957331564626	0.16185038653911563	0.16123411949659866	0.1504729999761905	0.10753641348809523	0.13636180951615645	0.18152376628486394	0.12358928684353741	0.0	0.08258876085884354	0.1352086676734694	0.12296731341241497	0.09585864487414968	0.13175635494897958	0.17648821757568028	0.2506962252610544	0.16611268910289115	0.1473324135535714	0.22168263001700683	0.17945961140561226	0.16923920420493196	0.2067163612695578	0.24677574794132653	0.24135086066666664	0.19245716232312926	0.1747875815612245	0.21288132673554422	0.18690524564880953	0.22746602769812926	0.19826269979166666	0.19177226261224492	0.12837959254081632
e75	0.20085633564370745	0.3515522204906462	0.1551769206003401	0.1723634455680272	0.17778923531292518	0.1707996299387755	0.11149446760374149	0.16196165217431974	0.20567989800935377	0.09311720275680271	0.08258876085884354	0.0	0.11478066745918367	0.1252717504022109	0.10175979409693878	0.14435719496938776	0.18666508348554423	0.2566438103154762	0.17216639153656463	0.16782572667091838	0.24338157828231294	0.20189539914710886	0.17417413744812923	0.22161227703146258	0.2690158553052721	0.2638040747482993	0.2133762590340136	0.19414523736904762	0.24143419080867348	0.19671099879506804	0.24386452142261908	0.21204217044812926	0.19948254896428572	0.14093716968707481
e76	0.2668620130943878	0.4150219730943877	0.11663052285884354	0.14406866227210888	0.1676240251802721	0.1689505216462585	0.17385907539965986	0.21105233342431973	0.2732877500739796	0.12943396613605443	0.1352086676734694	0.11478066745918367	0.0	0.10277771786479592	0.14055054478231294	0.1764828530357143	0.24471363258418366	0.2577633794532313	0.15607302070153062	0.2057020759855442	0.2995913006887755	0.18511163994812924	0.21643900935119048	0.21094440938010206	0.3239663544855443	0.23196270200510205	0.2072738382346939	0.18774100811054423	0.2933569498035714	0.17691061882908166	0.2126261368341837	0.24586584644642856	0.18477487064115647	0.14356463792176868
e77	0.26573488646938775	0.4160560623962585	0.14447905608928574	0.13887993020493197	0.12512699051275508	0.15150479142942178	0.18133680531887758	0.2084029013877551	0.2518325760085034	0.15665923766071427	0.12296731341241497	0.1252717504022109	0.10277771786479592	0.0	0.1434825341079932	0.1367741524090136	0.23175339610374152	0.22427924050510203	0.11738999998979592	0.1542314235238095	0.3038205362083333	0.1590850658197279	0.1714930802568027	0.17567275208163266	0.3297842227074829	0.20359185883758504	0.15573053564030614	0.18759648474234697	0.2912873963758503	0.16326324221768707	0.1883926213095238	0.21976670766156461	0.15324056943622447	0.14392126598554422
e78	0.16986917862499998	0.3175584499804422	0.1821851266904762	0.16358025928911565	0.17298270317176873	0.1544978299727891	0.0991421779472789	0.14094256152636053	0.19215620158588434	0.12287305589965987	0.09585864487414968	0.10175979409693878	0.14055054478231294	0.1434825341079932	0.0	0.16767168784863948	0.16039667631207483	0.29295958068282313	0.182909401875	0.16789560881377552	0.21588522795578236	0.20478979635459185	0.18058659104506802	0.21833153261649663	0.23280619652636053	0.26550881537585036	0.2130199051802721	0.18349374817857142	0.2130328272372449	0.19849613046003398	0.244855160460034	0.20813417566411563	0.20349099550680275	0.12163917249829931
e79	0.23226525396853745	0.36357764436989803	0.20980493989455778	0.15897135460884354	0.13640390685884357	0.15170478669217688	0.18480145318197277	0.1794350158647959	0.22368706698384355	0.18613103367857142	0.13175635494897958	0.14435719496938776	0.1764828530357143	0.1367741524090136	0.16767168784863948	0.0	0.194920830002551	0.20702103037840133	0.1515648995620748	0.11159957257738094	0.2524148627942177	0.1562926776147959	0.1530989007627551	0.2105060429515306	0.2944864187576531	0.21596058706802723	0.1921364077568027	0.17847670201020407	0.23368660139370748	0.21924313677976193	0.22794421805017007	0.17508168178316322	0.18363960137755103	0.16663570508163267
e80	0.1323760211037415	0.23006528969217685	0.28496351605187076	0.24091687715221088	0.22331290700255105	0.1929566675127551	0.12151161552806122	0.12317102002210885	0.12973455131292516	0.21878084695493197	0.17648821757568028	0.18666508348554423	0.24471363258418366	0.23175339610374152	0.16039667631207483	0.194920830002551	0.0	0.31554076291666666	0.23578067145238096	0.18660936917857143	0.15134782083078233	0.24276675353741495	0.18843655095918369	0.2392806507040816	0.16844616625680273	0.30111926330017	0.2497200610739796	0.24073301990561224	0.14777639747959187	0.2521143975306122	0.29183324987244896	0.2086137926479592	0.24614337956037416	0.18189234671003401
e81	0.35534080580612243	0.4761968714727891	0.24711640618962585	0.21433848881207485	0.20516163953656466	0.2555154465518707	0.2995980946947279	0.2905464594183674	0.3271402870833333	0.2844849126403061	0.2506962252610544	0.2566438103154762	0.2577633794532313	0.22427924050510203	0.29295958068282313	0.20702103037840133	0.31554076291666666	0.0	0.21190151886054423	0.22041239162585033	0.3545286949481292	0.20940971856292517	0.25022589171088433	0.2875811151003401	0.41472819427891155	0.2016103725807823	0.2570539243477891	0.23876099921513605	0.3405655776734694	0.26220500781972783	0.2548198463605443	0.23326892031122448	0.2422321029209184	0.2779664472712585
e82	0.29318657635374146	0.4351631137840136	0.16656150263010203	0.16313000338690478	0.10468258582397959	0.14595096368112243	0.22272229846513605	0.23273975340306122	0.2775780119302721	0.18942168043622448	0.16611268910289115	0.17216639153656463	0.15607302070153062	0.11738999998979592	0.182909401875	0.1515648995620748	0.23578067145238096	0.21190151886054423	0.0	0.12884598149489795	0.3182621108018707	0.12101637265136053	0.1485035656020408	0.15755156907823128	0.34690540854421764	0.14951708550935372	0.11895185496683672	0.1968748554532313	0.29851016454591833	0.13537430969557823	0.1465749777568027	0.2194267704217687	0.10979895989880954	0.14785795867431972
