	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e100	0.0	0.59825	0.4805	0.7845	0.87275	0.8695	0.948	0.83225	0.942	0.9565	0.86375	0.94075	0.914	0.9115	0.921	0.87575	0.89975	0.90275	0.94875	0.89875	0.91875	0.9305	0.8695	0.90325	0.905	0.86725	0.889	0.8645	0.90575	0.90575	0.87025	0.875	0.92625	0.88	0.9095	0.90725	0.92725	0.947	0.89125	0.937	0.934	0.93675	0.9175	0.94625	0.8965	0.89025	0.87525	0.61125	0.527
e101	0.59825	0.0	0.5705	0.78975	0.8875	0.898	0.96225	0.85425	0.94525	0.9615	0.882	0.9425	0.92875	0.94275	0.95675	0.8975	0.91825	0.91925	0.95725	0.9215	0.9445	0.94875	0.8965	0.92925	0.9175	0.90075	0.91125	0.89675	0.92525	0.938	0.86175	0.89225	0.9385	0.912	0.91825	0.91225	0.93575	0.96275	0.90375	0.942	0.929	0.957	0.9245	0.953	0.91775	0.8935	0.89625	0.656	0.6295
e102	0.4805	0.5705	0.0	0.74575	0.88625	0.8855	0.95725	0.84975	0.94225	0.959	0.87525	0.9425	0.923	0.91525	0.92875	0.86325	0.88275	0.89075	0.9325	0.888	0.90975	0.92875	0.853	0.88175	0.893	0.859	0.87875	0.8565	0.9	0.906	0.863	0.859	0.917	0.89075	0.90125	0.89275	0.93525	0.9505	0.8865	0.9265	0.9225	0.9475	0.904	0.9345	0.897	0.88075	0.8575	0.60675	0.554
e103	0.7845	0.78975	0.74575	0.0	0.9425	0.9265	0.97125	0.914	0.95975	0.978	0.93175	0.971	0.9535	0.89975	0.892	0.88675	0.921	0.94775	0.974	0.9095	0.927	0.932	0.8985	0.91025	0.90975	0.901	0.92625	0.869	0.94325	0.9335	0.9515	0.94225	0.967	0.9215	0.95225	0.9575	0.97125	0.93475	0.966	0.97125	0.9505	0.96875	0.95225	0.97525	0.93525	0.9485	0.9095	0.734	0.77275
e104	0.87275	0.8875	0.88625	0.9425	0.0	0.422	0.723	0.639	0.736	0.69325	0.59725	0.666	0.718	0.96175	0.9775	0.89875	0.91425	0.908	0.9425	0.94975	0.95425	0.9575	0.935	0.945	0.937	0.926	0.9105	0.85925	0.88725	0.93425	0.94075	0.905	0.92575	0.95275	0.93	0.945	0.951	0.97175	0.9205	0.93225	0.91475	0.98025	0.94175	0.9105	0.94225	0.91875	0.91875	0.87825	0.88575
e105	0.8695	0.898	0.8855	0.9265	0.422	0.0	0.6855	0.6455	0.69475	0.6515	0.56075	0.62075	0.691	0.9405	0.9615	0.888	0.90325	0.90225	0.9375	0.93125	0.93375	0.93725	0.9205	0.93075	0.9255	0.9055	0.8935	0.84275	0.8715	0.91575	0.9445	0.89075	0.9135	0.94	0.9235	0.9355	0.94125	0.9515	0.9195	0.92075	0.897	0.96925	0.921	0.88725	0.93	0.90875	0.906	0.8805	0.881
e106	0.948	0.96225	0.95725	0.97125	0.723	0.6855	0.0	0.86125	0.63725	0.64925	0.79575	0.69475	0.63075	0.935	0.94275	0.91175	0.93425	0.93925	0.95525	0.9275	0.9315	0.9295	0.931	0.93	0.92875	0.92225	0.9105	0.8955	0.89725	0.90875	0.9625	0.8955	0.91075	0.93325	0.93775	0.926	0.9345	0.93825	0.9445	0.9405	0.90475	0.9545	0.931	0.902	0.92925	0.9395	0.9115	0.9495	0.95475
e107	0.83225	0.85425	0.84975	0.914	0.639	0.6455	0.86125	0.0	0.818	0.79225	0.57575	0.76125	0.757	0.96975	0.9805	0.91325	0.9335	0.93725	0.96625	0.95725	0.9605	0.96525	0.93575	0.956	0.948	0.92975	0.92725	0.867	0.9185	0.954	0.95125	0.91625	0.95125	0.9575	0.952	0.95625	0.973	0.977	0.9395	0.9565	0.936	0.98525	0.9505	0.9445	0.95525	0.93775	0.93875	0.84025	0.82875
e108	0.942	0.94525	0.94225	0.95975	0.736	0.69475	0.63725	0.818	0.0	0.43125	0.724	0.6255	0.61525	0.967	0.9715	0.9325	0.94475	0.9405	0.96325	0.958	0.9655	0.96825	0.95125	0.9535	0.961	0.9435	0.9275	0.91875	0.9215	0.94	0.9725	0.92275	0.93375	0.9615	0.9525	0.95675	0.96225	0.967	0.953	0.954	0.93075	0.98375	0.95325	0.92725	0.95675	0.948	0.93625	0.947	0.94025
e109	0.9565	0.9615	0.959	0.978	0.69325	0.6515	0.64925	0.79225	0.43125	0.0	0.657	0.546	0.5805	0.9765	0.98525	0.9445	0.9455	0.9405	0.95825	0.9675	0.96525	0.97025	0.964	0.96325	0.96625	0.953	0.93275	0.931	0.92	0.94325	0.96775	0.9255	0.93525	0.97025	0.9515	0.95575	0.96	0.973	0.94775	0.94725	0.936	0.9845	0.95525	0.91725	0.95925	0.941	0.9435	0.96075	0.95775
