	faith_pd
e100	30.508591440999997
e101	30.755388389
e102	31.094598189999996
e103	20.272228208999998
e104	42.499701636
e105	42.895227185
e106	33.584335180000004
e107	36.460946023
e108	38.083449012
e109	39.49081459200001
e110	41.457101679000004
e111	38.887852679
e112	41.77612397
e64	16.3451286715
e65	11.975058101500002
e66	26.474305522999998
e67	21.869678448999995
e68	22.876071688000003
e69	17.872052059500003
e70	17.509524821
e71	22.402099125
e72	18.3585520175
e73	20.6078950905
e74	19.552828125
e75	20.297833831000002
e76	26.627717941
e77	28.197349971999998
e78	27.254362594999996
e79	28.327086577
e80	21.465952974
e81	20.6185927185
e82	28.747537774
e83	22.835082099
e84	15.6339078775
e85	21.339977058000002
e86	21.952937723
e87	21.58768634
e88	13.768558188000002
e89	24.463663184999998
e90	22.299926577
e91	20.228418712
e92	6.8248352845
e93	23.608778367000003
e94	24.718173670000002
e95	23.034911367
e96	27.453332342
e97	21.763019802
e98	30.773054324
e99	30.848089187
