	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e100	0.0	0.6836158192090396	0.5864440078585462	0.7659804983748646	0.8954802259887006	0.9035904255319149	0.9642567018683996	0.8523956723338485	0.9559884559884559	0.9614035087719298	0.8845108695652174	0.9481327800829875	0.9198581560283688	0.9169329073482428	0.9303178484107579	0.8878591288229842	0.9131334022750776	0.9166666666666666	0.9531428571428572	0.9069264069264069	0.9165009940357853	0.925498426023085	0.8806706114398422	0.9196242171189979	0.9144942648592284	0.8820422535211268	0.9045904590459046	0.8868940754039497	0.9118432769367765	0.9162248144220573	0.8697478991596639	0.9007220216606499	0.9384615384615385	0.8887573964497042	0.9324324324324325	0.9247648902821317	0.9403765690376569	0.9534883720930233	0.8979391560353287	0.9431472081218274	0.9402843601895735	0.9694868238557559	0.9245098039215687	0.9424390243902439	0.8969276511397423	0.905982905982906	0.8981481481481481	0.652046783625731	0.5777548918640577
e101	0.6836158192090396	0.0	0.6315298507462687	0.737012987012987	0.9013112491373361	0.9074918566775244	0.9715864246250987	0.8641141141141141	0.9583333333333334	0.9678302532511978	0.8947716743878227	0.9505420054200542	0.9325533379215416	0.9248971193415638	0.9376470588235294	0.8936936936936937	0.91991991991992	0.9147727272727273	0.9557522123893806	0.9232365145228216	0.9301435406698565	0.9352226720647774	0.8923809523809524	0.9251769464105156	0.9158215010141988	0.8877463581833762	0.910761154855643	0.8828193832599119	0.9158716392020815	0.9230769230769231	0.8571428571428571	0.903169014084507	0.9348697394789579	0.9011363636363636	0.9278455284552846	0.930161943319838	0.940996948118006	0.9454545454545454	0.8975095785440613	0.9478346456692913	0.9209039548022598	0.9774535809018567	0.9140926640926641	0.9499527856468366	0.9039385206532181	0.9074074074074074	0.9064676616915422	0.6763602251407129	0.6757518796992481
e102	0.5864440078585462	0.6315298507462687	0.0	0.7559217301750772	0.9018157363819771	0.9050350541746335	0.9685341519570223	0.8632040965618142	0.956641431520991	0.964572192513369	0.8904020752269779	0.9525691699604744	0.9257759784075573	0.9096385542168675	0.9284903518728718	0.8779840848806366	0.9073170731707317	0.9029574861367837	0.9442658092175777	0.8989795918367347	0.9107142857142857	0.9231527093596059	0.8652214891611687	0.9014925373134328	0.9085545722713865	0.870042194092827	0.8942390369733448	0.8705780845556514	0.9012765957446809	0.9144278606965174	0.855	0.8837814397224631	0.9404990403071017	0.8971553610503282	0.9265426052889324	0.9182266009852217	0.9454191033138402	0.9501625135427952	0.8880597014925373	0.937799043062201	0.9306306306306307	0.9760403530895334	0.9143389199255121	0.9392824287028518	0.8953271028037383	0.9049327354260089	0.8942774005819593	0.6288951841359773	0.6203615604186489
e103	0.7659804983748646	0.737012987012987	0.7559217301750772	0.0	0.9479084451460142	0.947290274684484	0.9794721407624634	0.9236051502145923	0.9738396624472574	0.9795751633986928	0.9414853713428357	0.9729299363057324	0.9546925566343042	0.9218106995884774	0.9047619047619048	0.9026047565118913	0.9322916666666666	0.9465558194774347	0.9668174962292609	0.9255172413793104	0.9434194341943419	0.9298245614035088	0.9082125603864735	0.9251336898395722	0.9185580774365821	0.9165797705943691	0.9397849462365592	0.8912087912087913	0.9401069518716577	0.9310810810810811	0.9235668789808917	0.9455128205128205	0.9665809768637532	0.9190839694656489	0.9470899470899471	0.9486166007905138	0.9573333333333334	0.943127962085308	0.9518213866039953	0.9615384615384616	0.9540094339622641	0.9698189134808853	0.9490291262135923	0.9673123486682809	0.9373493975903614	0.9425947187141217	0.9367088607594937	0.740983606557377	0.776595744680851
e104	0.8954802259887006	0.9013112491373361	0.9018157363819771	0.9479084451460142	0.0	0.48686371100164205	0.7859504132231405	0.6535685645549318	0.7862426035502958	0.7636632200886263	0.6676342525399129	0.7536337209302325	0.7814052519517388	0.9542314335060449	0.9641472868217055	0.9032258064516129	0.9248704663212435	0.9139072847682119	0.956766917293233	0.955767562879445	0.9501226492232215	0.9518072289156626	0.9316720257234726	0.9531516183986372	0.9426369863013698	0.9195571955719557	0.9187739463601533	0.8610007942811755	0.8815165876777251	0.9379912663755459	0.9407839866555463	0.9054263565891473	0.9256993006993007	0.9518963922294172	0.9345549738219895	0.9420415224913494	0.9558823529411765	0.9571020019065777	0.9124690338563171	0.9426369863013698	0.9011725293132329	0.9859307359307359	0.9330578512396694	0.9076923076923077	0.9399837793998378	0.928343949044586	0.9188034188034188	0.9010452961672474	0.9032033426183844
e105	0.9035904255319149	0.9074918566775244	0.9050350541746335	0.947290274684484	0.48686371100164205	0.0	0.7518072289156627	0.6825989544436146	0.7528901734104047	0.7336213102951764	0.643361581920904	0.7197724039829303	0.7512127512127512	0.9359605911330049	0.957542908762421	0.9020044543429844	0.9195775792038993	0.9094457455113193	0.9517543859649122	0.9364686468646864	0.9296325254104769	0.9328419328419328	0.9173047473200613	0.9368932038834952	0.9337641357027464	0.9037508846426043	0.8975681650700074	0.8527190332326284	0.8722764838467317	0.9265676567656765	0.9372549019607843	0.9016874541452677	0.9122516556291391	0.9527085124677558	0.9321340964840557	0.9365853658536586	0.9478827361563518	0.9473214285714285	0.9165378670788253	0.9277010560519903	0.8921490880253767	0.978	0.9207843137254902	0.8909682668836453	0.9325153374233128	0.920814479638009	0.910411622276029	0.9044166117336849	0.8992042440318302
e106	0.9642567018683996	0.9715864246250987	0.9685341519570223	0.9794721407624634	0.7859504132231405	0.7518072289156627	0.0	0.8717532467532467	0.6640316205533597	0.6884469696969697	0.8385885885885885	0.7502191060473269	0.7123534715960325	0.9581920903954803	0.9586114819759679	0.9415708812260536	0.9482948294829483	0.9409937888198758	0.954140127388535	0.9554794520547946	0.9482029598308668	0.9490950226244343	0.9568706118355065	0.9601769911504425	0.9558498896247241	0.9461883408071748	0.9314285714285714	0.922859830667921	0.9173871277617676	0.9344827586206896	0.9651898734177216	0.9314938154138915	0.9257142857142857	0.9631449631449631	0.9480812641083521	0.9398410896708286	0.9603624009060022	0.953185955786736	0.944558521560575	0.9406494960806271	0.9276729559748428	0.976303317535545	0.9408033826638478	0.8974358974358975	0.9472595656670114	0.9493041749502982	0.935659760087241	0.9654618473895582	0.9629032258064516
e107	0.8523956723338485	0.8641141141141141	0.8632040965618142	0.9236051502145923	0.6535685645549318	0.6825989544436146	0.8717532467532467	0.0	0.8220211161387632	0.8043478260869565	0.6066613798572561	0.7699248120300752	0.766566265060241	0.9643183897529735	0.9719626168224299	0.9105219552609777	0.9351598173515981	0.9259581881533101	0.9627766599597586	0.9554317548746518	0.9512619669277633	0.955045871559633	0.927038626609442	0.9526411657559198	0.9471766848816029	0.9171227521501173	0.9240710823909531	0.8594276094276094	0.8995884773662551	0.9472222222222222	0.9327956989247311	0.9109477124183006	0.9400921658986175	0.9491525423728814	0.944547134935305	0.9456221198156682	0.9632352941176471	0.9600409836065574	0.9178321678321678	0.9471766848816029	0.914612676056338	0.9858156028368794	0.9405594405594405	0.9217625899280576	0.9432013769363167	0.9335016835016835	0.9257246376811594	0.8512269938650306	0.8412083656080558
e108	0.9559884559884559	0.9583333333333334	0.956641431520991	0.9738396624472574	0.7862426035502958	0.7528901734104047	0.6640316205533597	0.8220211161387632	0.0	0.48540856031128404	0.7633093525179856	0.6376811594202898	0.6359761295822677	0.9620493358633776	0.9663409337676439	0.9411276948590381	0.9497206703910615	0.9330357142857143	0.9602094240837696	0.9647619047619047	0.9580357142857143	0.9603399433427762	0.9551724137931035	0.9578256794751641	0.966728280961183	0.9451840250587314	0.9270315091210614	0.9213759213759214	0.9093198992443325	0.9422521655437921	0.9640610961365679	0.9288668320926385	0.9224806201550387	0.9664292980671414	0.9495718363463368	0.9466666666666667	0.9648622981956315	0.9550802139037433	0.9445910290237467	0.946277097078228	0.9263252470799641	0.9838909541511772	0.9442446043165468	0.9047169811320754	0.9478337754199824	0.9468723221936589	0.9390018484288355	0.9586305278174037	0.9540889526542324
e109	0.9614035087719298	0.9678302532511978	0.964572192513369	0.9795751633986928	0.7636632200886263	0.7336213102951764	0.6884469696969697	0.8043478260869565	0.48540856031128404	0.0	0.7202337472607743	0.6154499151103565	0.6277310924369748	0.9745222929936306	0.9824380165289256	0.9511609287429944	0.9559352517985612	0.944110060189166	0.9657258064516129	0.9743589743589743	0.9637305699481865	0.9690909090909091	0.966804979253112	0.9675383228133454	0.9732381801962533	0.9569160997732427	0.9375500400320256	0.9319620253164557	0.9214574898785425	0.9469767441860465	0.9650959860383944	0.9290322580645162	0.9338919925512105	0.9745845552297165	0.9578368469294225	0.948291782086796	0.9659300184162063	0.9609053497942387	0.951530612244898	0.95077484047402	0.9303135888501742	0.9893364928909952	0.9504347826086956	0.9055912007332723	0.9582623509369677	0.9492089925062448	0.9511545293072824	0.9624739402362752	0.9609756097560975
