	shannon
e100	8.519036126496056
e101	8.59258707022838
e102	8.653671930072878
e103	7.668171381890137
e104	9.283338448832893
e105	9.290747264039856
e106	8.608781081319043
e107	8.814524475430494
e108	8.852047394827808
e109	9.14234485396274
e110	9.339865473194191
e111	9.18901131005256
e112	9.211736388123022
e64	6.230454823242659
e65	5.05806633411847
e66	7.955401624892481
e67	7.264114840124896
e68	7.450118292670474
e69	6.246770735445866
e70	6.372558551299146
e71	6.502633901823978
e72	5.918302382079442
e73	6.986592771820983
e74	6.891606178587395
e75	7.033456281118689
e76	7.887114297525804
e77	7.786380898973321
e78	7.5575089869445184
e79	7.051316183984273
e80	5.693370177921061
e81	6.901217132044598
e82	7.641424430656582
e83	6.731477031970539
e84	5.844917098162899
e85	7.016552478352099
e86	6.59524929912574
e87	6.722663300511433
e88	4.921416779928326
e89	7.2237243567440705
e90	6.936974096678606
e91	7.208210257835656
e92	5.0311981112895925
e93	6.736985269393509
e94	6.700768469710736
e95	6.65355960194034
e96	7.311127124306255
e97	6.875407022220615
e98	8.717932084178633
e99	8.262846974117995
