	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e100	0.0	0.42397112911398294	0.3925705660165373	0.5148637292794357	0.6250136999349005	0.6284135250466978	0.7353766337038311	0.6194899091756857	0.7327417301117534	0.7131903345038099	0.6435774070241155	0.7286812965799229	0.6831778780451254	0.6654270882317229	0.7190646978750374	0.5938285141057065	0.6347230720491657	0.610776031708845	0.6561298364011279	0.6317324226192982	0.6151598939919054	0.6509009074543837	0.6257829902829499	0.6486745278367272	0.6312291902852979	0.5965744191060305	0.601019803738685	0.5929442416475011	0.6062695596612875	0.6128015325445862	0.6061049150321761	0.6156417491165365	0.6522548346492762	0.6496422819810359	0.6564036608503058	0.643310062471063	0.629867887721684	0.7298874914069027	0.6054662003888096	0.6428848418309506	0.6741947765030091	0.8179808789334266	0.6125869591178986	0.6416305138555477	0.6167893512903962	0.6037990524681396	0.6092475286137133	0.41076024018606405	0.37378472286120573
e101	0.42397112911398294	0.0	0.403615759009852	0.49466765051791933	0.6473009285542736	0.6427749835121769	0.750202521135348	0.6249411560911612	0.7385041194190214	0.730840996060535	0.648497069942957	0.7286457569992372	0.7141668713847278	0.6647772466172656	0.7114053982982107	0.575508203932712	0.612182371512389	0.6008489039920076	0.6522933132854968	0.624976901400828	0.6108600671994655	0.6605750010008343	0.5998750508737264	0.6281430611400193	0.6106219035265129	0.5865027854051862	0.6060217523084601	0.5675922949526606	0.6180485422532171	0.6117435009558579	0.5879086070317667	0.6054905284226502	0.6514620326430289	0.6336216192923896	0.6360449166652141	0.6395384289147472	0.6221222638379343	0.7140082375376214	0.5977353626442519	0.639694836179082	0.6498336825581228	0.809607620129385	0.6170225563131161	0.6520257210971439	0.6070667516922195	0.6094411746391879	0.6052482294499135	0.41825073246511363	0.39734046508590104
e102	0.3925705660165373	0.403615759009852	0.0	0.5355522194295833	0.6400763914773608	0.6300663113682607	0.7411402541867985	0.5955782990710619	0.727736063426928	0.7211397535170327	0.6241971216379787	0.7159868587874945	0.6888269609608595	0.6476360665830639	0.7058072837460967	0.5752092120887131	0.6012480552359118	0.610321549557897	0.6538339378164486	0.6314420294516346	0.6137607739640099	0.6503364797344294	0.5884641809133435	0.6321368316229976	0.6042723381243346	0.5557135984466657	0.5785160585135116	0.563138948455818	0.5859322191278169	0.5946748544654177	0.5862573542605284	0.5803145665822144	0.634739917271481	0.624115832656654	0.634453756369866	0.6171211875537719	0.6131392417655148	0.7275031019106254	0.573850055845358	0.6323021750228394	0.641642446981439	0.8153616484890572	0.6105051859927658	0.6360410452213299	0.6076941461816825	0.5963859768026859	0.592597710149841	0.41118036310581707	0.37965517486247996
e103	0.5148637292794357	0.49466765051791933	0.5355522194295833	0.0	0.7362109906722842	0.7268715103885488	0.796383026537187	0.6905993495616872	0.7917219564985508	0.7748859203000411	0.7201446353225011	0.7929796361369846	0.7569190711958692	0.6265494473761445	0.6516076918717767	0.607573388793241	0.6266700996218677	0.6435647544956572	0.6754424377855108	0.6165892689133888	0.6441544597459422	0.6375387502336087	0.6138787183465862	0.644862543870765	0.6102913932015418	0.6199868850152968	0.6541204775026376	0.5995481504730991	0.646146033142304	0.6344834608505091	0.6282603260894626	0.6696294446874781	0.6921452455290902	0.6156947792015014	0.6737819959309087	0.6761205270031027	0.6533325562366445	0.7059014758911746	0.6525624718433882	0.6635493154053842	0.6656166363803218	0.7502711787004047	0.647069502372434	0.6941294323409185	0.6566019670806165	0.6770025721112557	0.6295418621162691	0.5004303360238541	0.5176207215381743
e104	0.6250136999349005	0.6473009285542736	0.6400763914773608	0.7362109906722842	0.0	0.29286890519824393	0.5226222430143376	0.3982214798609843	0.5044549944164439	0.48455310354114806	0.3855472205670028	0.46438881414923316	0.4762407568488017	0.7655547855073636	0.7979000648345104	0.6544684596174887	0.6996353986557716	0.6585908614598401	0.7313919940236489	0.747325467704197	0.6988618665405766	0.7400796228457349	0.71862827398428	0.7325736185116415	0.7151546414213764	0.6766841957034406	0.6352636758678684	0.5874169001612566	0.6036271066142572	0.6795465262750315	0.711710353248029	0.6237853514349303	0.6631904094784259	0.75066734987121	0.702231271278616	0.6864491273456276	0.6892933638585294	0.7691560827224618	0.6670908021218304	0.6945502048268675	0.6853614242157001	0.8756297176350504	0.6829106904435247	0.6222326156419173	0.7074496602985346	0.6620641999055384	0.6748860336786399	0.6120744503320208	0.6346734521699378
e105	0.6284135250466978	0.6427749835121769	0.6300663113682607	0.7268715103885488	0.29286890519824393	0.0	0.49011570433606494	0.4026860797689425	0.493593682241479	0.4612660185325168	0.3865543798102085	0.47169447768117223	0.48196344626188753	0.752684036986609	0.7901305660340934	0.6642823229102359	0.6877213270521122	0.6539624672561846	0.7308782963385095	0.740687484882383	0.6984231177390476	0.7238423489592561	0.703332040307006	0.7241541537711241	0.7123647307751918	0.6628571650268804	0.648450963458172	0.5785656335263488	0.5890448281036307	0.674777202510334	0.7060262905163278	0.6413618403871475	0.6476317495872255	0.7426288560463267	0.7055822039978122	0.6816082700041789	0.6903618404962156	0.7770839000131355	0.6621319144253494	0.692467757934207	0.6761891471576312	0.8627457215896716	0.6837969594867094	0.6272156736442761	0.7039473473814641	0.6564819525942334	0.6789917663899675	0.6072289429063502	0.6358629755600161
e106	0.7353766337038311	0.750202521135348	0.7411402541867985	0.796383026537187	0.5226222430143376	0.49011570433606494	0.0	0.577273180132134	0.3644010694274809	0.3576804534126253	0.526989149851895	0.4514453684122839	0.4307036731149156	0.7894330463882863	0.793522794949721	0.7329011713070398	0.733630136062308	0.6911661112901125	0.7376037235218057	0.7679566612093636	0.7333165266785959	0.7625196006115986	0.7620017974052005	0.7625875588176261	0.7681089702823086	0.7358783014543924	0.6955003813572742	0.6741527916951302	0.6532276857077823	0.7047429745647799	0.7483326922663937	0.6792284784087124	0.6551031093317375	0.7548507344265747	0.7165160849300535	0.6978240171754149	0.7049603449468269	0.7665129620728679	0.6963924231402622	0.7072323588771358	0.704565228544077	0.8552280694175219	0.7197490279431075	0.625697306051008	0.7249251425674964	0.6983495441173342	0.7121919247645956	0.7233904233602434	0.7406429619333552
e107	0.6194899091756857	0.6249411560911612	0.5955782990710619	0.6905993495616872	0.3982214798609843	0.4026860797689425	0.577273180132134	0.0	0.5467025684369118	0.5340507763571718	0.3750981836671244	0.5106445118638718	0.5007415776294772	0.7620810250181614	0.7906410500563671	0.6502028196128686	0.6894682066239636	0.649062089877224	0.7277171779992212	0.7260530958802842	0.6904740045016153	0.7337268260732639	0.7007907629839962	0.7204997796748795	0.7035605943582045	0.6622180747724651	0.6405072757752446	0.56947119558083	0.5986492512035743	0.6795900019179058	0.6940830418820897	0.6262123708887091	0.6625790596077602	0.7280342192451017	0.7006782016013778	0.6780359243196054	0.6954746716475081	0.7787594385328974	0.6487493464156335	0.7001890381110625	0.6730333554929666	0.8594554371640469	0.6875521427730942	0.6306437504574216	0.6957327314399573	0.662683453398112	0.6589686523082825	0.5878550177241193	0.6009675773344568
e108	0.7327417301117534	0.7385041194190214	0.727736063426928	0.7917219564985508	0.5044549944164439	0.493593682241479	0.3644010694274809	0.5467025684369118	0.0	0.28082501033465007	0.47275640966152344	0.35749964920513766	0.3419536973423774	0.8024218086160397	0.8001206074796825	0.7267271186924189	0.7355857627047065	0.6925788879716663	0.7551079440332434	0.771054320494207	0.7394831671184269	0.7685242099957152	0.7611484494706398	0.7625316084167648	0.7672675443740828	0.7463169479863897	0.6922955459386362	0.6645872182914786	0.6469496283684436	0.715759750387745	0.7489449243300267	0.6684578912725677	0.6590562730937501	0.7667198893358294	0.734868450871636	0.7071866287912267	0.7236494849580593	0.7782426328159566	0.7061125941457436	0.7117422195691377	0.7125485251283425	0.8786639188725511	0.7287573975204562	0.6429445532337014	0.733078738781096	0.7031108031992533	0.707123929504075	0.7150006031655106	0.7349786693779143
e109	0.7131903345038099	0.730840996060535	0.7211397535170327	0.7748859203000411	0.48455310354114806	0.4612660185325168	0.3576804534126253	0.5340507763571718	0.28082501033465007	0.0	0.4433916741821116	0.3369925027086984	0.31614337679366317	0.8050167316795872	0.8102399583221971	0.7312741151728279	0.7281739447303469	0.6923632392830275	0.7532045339723344	0.7842656783821866	0.7442056674447687	0.7735436114816839	0.7652414109026697	0.7694102336709072	0.7750738960255275	0.7420699078137079	0.6835462002172912	0.6682031844255931	0.6560576265286645	0.7068550757811973	0.7513746723411978	0.6617012170038536	0.6622224953972162	0.7679910411196466	0.7231818498503431	0.6986640714947251	0.7133122775874602	0.7834576412633555	0.6977650051609823	0.7132126417845172	0.721013723981029	0.8747814668594335	0.7227636222740115	0.6449347064664658	0.7379504681449967	0.7053672192278669	0.708442030183613	0.7016407210814298	0.7272141100156655
