	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e100	0.0	0.14953411110900003	0.119432207948	0.241079281367	0.31893201455775	0.31205558548125	0.47460086131199997	0.25583016250174995	0.423634082597	0.44613758084800004	0.284915132325	0.39646110878374996	0.38160621731375	0.39889704088125005	0.494723854906	0.32842263541899996	0.3651228822525	0.32565282549874996	0.3529779788145	0.3171877637415	0.36144705281174994	0.387790842396	0.26043594789400004	0.349423499026	0.3086473334295	0.30192531577375	0.300526384457	0.32590807011275	0.3463316471905	0.32506953515174997	0.357802161384	0.2981083928635	0.334740096631	0.42740061390899997	0.36810455007174997	0.3140200448985	0.31201228831225003	0.4241485066265	0.3346324730795	0.3185101590465	0.394497425815	0.42608322930775	0.299889680364	0.33002324059150007	0.3634656958995	0.312100371034	0.312017766003	0.17540194209175	0.1453878935345
e101	0.14953411110900003	0.0	0.111941966554	0.267798134741	0.30953858954375	0.30173246165025	0.464324707008	0.28228889772225	0.4118433549875	0.433099264701	0.27919069804599994	0.37203003122375	0.37828378854925	0.37143820900225	0.4949644958175	0.256245303107	0.2917229494675	0.25802058825275	0.2865096230255	0.284373426439	0.32617977853625	0.368409884272	0.21011854347950001	0.29259341747150003	0.25452556068199994	0.23484850561524998	0.2416917512335	0.26343698220024997	0.299791186421	0.31384788128525	0.314579667986	0.24587421516749997	0.299923244147	0.4010275077635	0.29665368140325	0.2831172642715	0.27391163629475	0.41184475205899995	0.2734850065	0.270752656357	0.326149326379	0.39744276534625	0.25657475284299996	0.28817150414399995	0.33097883522149996	0.255411923269	0.25745089064	0.14338449121625	0.17195678355950003
e102	0.119432207948	0.111941966554	0.0	0.246643311558	0.31339830351825004	0.30233051732775	0.44840557570850004	0.27715466196625	0.39569693741949996	0.42083079180899996	0.2839122200525	0.36353921772725	0.36149682591075	0.37364462457225006	0.47594002418950004	0.27635221817850003	0.309535219176	0.29071625989975	0.307158077919	0.280104705982	0.30670238392825006	0.358494450663	0.23180275455350002	0.3016241843465	0.2638892509625	0.26348260837675	0.2724899595595	0.28070455381225	0.29961248682799996	0.30071058031775	0.319394382757	0.27779130229300003	0.30942471141699995	0.3817103597005	0.31947491467175	0.289281169176	0.29861011017825	0.414761917243	0.306737208898	0.29805934995500005	0.342788635573	0.37915712673125	0.28493542932650007	0.31579442826649995	0.3256504641295	0.2863058880945	0.281049306031	0.12213933775375	0.12368308002850001
e103	0.241079281367	0.267798134741	0.246643311558	0.0	0.40172024482124996	0.38132604556275	0.5228458364265	0.29318031103024994	0.46662946102400005	0.503995403507	0.346290694781	0.46009352625524996	0.44171787353675	0.40946150518775004	0.47715583476	0.36148569664049995	0.39803215774949996	0.38251958691474996	0.39458632426150003	0.337526574699	0.36884457752225003	0.3927070051205	0.28976926693899996	0.380513873856	0.337731097456	0.33283919669374995	0.36155401620850003	0.35393393124875	0.3962006756015	0.36962417657675	0.408144423966	0.373548376975	0.39758767167799997	0.44440786940200006	0.41001244762775	0.3756403306065	0.36803239464275	0.4324982101510001	0.3991667964845	0.37784542940950006	0.427927971622	0.43631350869675	0.352131990632	0.39836428853350003	0.38145430566700006	0.378504362537	0.36143651152449996	0.26830645212575	0.24907186645649998
e104	0.31893201455775	0.30953858954375	0.31339830351825004	0.40172024482124996	0.0	0.0942542390655	0.28932394782775	0.2553140771425	0.26724880370274995	0.23609991487025	0.15173261123175	0.1609046622335	0.20142389176449998	0.4259491112125	0.5212832821737501	0.33612123282975	0.35784206777325	0.311100510263	0.35716769317124997	0.35376227713275	0.38045539569049996	0.40388006650624997	0.33563175838974996	0.35952521251525005	0.33185787416975	0.3283017335485	0.29765848297474995	0.333362750967	0.31373940813225	0.342623083083	0.34550814483125003	0.28162914579575	0.32532959878425	0.43893564293925	0.3565101875944999	0.31462949888124997	0.3257957221185	0.45550664392825	0.31966852956575	0.31274245685175	0.38550902345325	0.437132199974	0.33835196588175	0.32252843324975006	0.36565771532624997	0.31243858269825	0.33340626626875	0.292442858225	0.36708886354775006
e105	0.31205558548125	0.30173246165025	0.30233051732775	0.38132604556275	0.0942542390655	0.0	0.27490469441725	0.2338420945705	0.23324309971575	0.23028390859075	0.11956295094474999	0.1706944613435	0.2023767556685	0.4336766966915	0.51242704329725	0.33631101590475	0.36647773260825006	0.3263850683085	0.36888918993774994	0.34419793639775004	0.359019859029	0.39742021553875	0.32202964897875	0.36048956529225	0.33313162137525	0.3179505456605	0.30421436234275	0.33214370012750005	0.32760650845475	0.34599955020250006	0.35774256651724995	0.30015870624924995	0.33663791421125	0.43220089077425	0.3721536257075	0.32978706980275	0.33955290848549996	0.46075096130475	0.33527496114224997	0.32599239090175	0.39843220933975	0.42957208360849997	0.33912406544875007	0.33693120844875	0.36051446984975	0.32875238306474996	0.33481382930675	0.28382988557	0.34121500610675
e106	0.47460086131199997	0.464324707008	0.44840557570850004	0.5228458364265	0.28932394782775	0.27490469441725	0.0	0.42308529687924995	0.152726845183	0.144885178404	0.31782502044149996	0.20320817843125	0.18054716852425	0.44723653900175	0.4856672338125	0.44056945609950005	0.449329078654	0.42956759487975	0.43080520473899997	0.45003986774699994	0.42337023889925	0.437863251669	0.4674431603645	0.4460336322155	0.446017410002	0.45711163660425	0.441953646857	0.43027889363474997	0.401364530734	0.41675493856225	0.4711269085855	0.43097149726	0.4290399073115	0.4302727113889999	0.44240070914875	0.44776457343199993	0.46698844075824997	0.44126359462700004	0.46995046409299995	0.4529682392855	0.449640176675	0.43448115755125	0.486592110074	0.45771383088799994	0.435233180104	0.446266154759	0.45015937653300003	0.43074639254025	0.46865594671649996
e107	0.25583016250174995	0.28228889772225	0.27715466196625	0.29318031103024994	0.2553140771425	0.2338420945705	0.42308529687924995	0.0	0.35671425740175006	0.38190634259925	0.17530484927925	0.34058547183849996	0.326828934728	0.49147583943949996	0.55732838369325	0.40056335208575	0.43980914833025	0.403573918767	0.43918148970074994	0.39414022611024996	0.41980531610200006	0.45262780062124996	0.34249074952674996	0.42066444380525003	0.38638604389724995	0.3751522933785	0.37363659803574995	0.38993036837649997	0.40870127772975	0.412378387832	0.42333996024475	0.36379426509974994	0.41129860836225	0.48952239006474996	0.44556008584249995	0.37898111657875	0.3764449832085	0.51982296201725	0.38924067922575	0.37852634484225	0.46867362331975004	0.4754535936734999	0.35255228402325	0.39492192373875	0.41677928607724996	0.39619580111725	0.39860464409725005	0.29896220326649997	0.26862297640675
e108	0.423634082597	0.4118433549875	0.39569693741949996	0.46662946102400005	0.26724880370274995	0.23324309971575	0.152726845183	0.35671425740175006	0.0	0.11460747969500001	0.2696678728015	0.19872971182975	0.15858522998425	0.45087538101425007	0.48741222543350005	0.409007887269	0.43568029207750003	0.42397855827275	0.43670861988349996	0.4064354341075	0.39583317066925006	0.439961266321	0.418410197805	0.41482196852950004	0.413757803012	0.41879357126125005	0.41628958980600006	0.39704172205625	0.406998308008	0.4089832299867501	0.4663461093245	0.418065968411	0.43037912821300006	0.44438043936250005	0.44962490255675	0.4422128106405	0.45868791105325	0.4559326469045001	0.456527904455	0.44358985116750005	0.4493384775035	0.4450526345372501	0.4684261518035	0.4510329292380001	0.435557760319	0.439927431021	0.42063054772900005	0.39268937093774997	0.41676486366550003
e109	0.44613758084800004	0.433099264701	0.42083079180899996	0.503995403507	0.23609991487025	0.23028390859075	0.144885178404	0.38190634259925	0.11460747969500001	0.0	0.263036632501	0.13637061371524997	0.12528695710025	0.43346280312575003	0.4899370694505	0.42304379511199997	0.4220281984035	0.40231070607474995	0.40729349312749996	0.43050924251	0.40090666486875004	0.41890617378600004	0.450401145824	0.42389725302400005	0.42667401804250005	0.43282025543124997	0.4162376546165	0.40832578459924995	0.3770843974485	0.39180008426775	0.44694825972849994	0.40383625846	0.40315411013150004	0.431308664461	0.41643899679525004	0.4229846725725	0.4403400383782499	0.445082386932	0.43852833727100005	0.42673314390249995	0.4280677091215	0.42385315857125005	0.4635792413185	0.4336843725185	0.4108936808985	0.4186516434035	0.42465188844199997	0.40349222586575	0.44344808842
