	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e72	0.0	0.46258503401360546	0.4957482993197279	0.7406462585034014	0.7925170068027211	0.7695578231292517	0.6981292517006803	0.6037414965986394	0.7117346938775511	0.7304421768707483	0.8239795918367347	0.608843537414966	0.7295918367346939	0.7687074829931972	0.5892857142857143	0.842687074829932	0.7602040816326531	0.7976190476190477	0.6930272108843537	0.7151360544217688
e73	0.46258503401360546	0.0	0.35714285714285715	0.6232993197278912	0.7559523809523809	0.7117346938775511	0.6530612244897959	0.44982993197278914	0.6539115646258503	0.6122448979591837	0.8384353741496599	0.5042517006802721	0.6581632653061225	0.7610544217687075	0.407312925170068	0.7797619047619048	0.7202380952380952	0.7049319727891157	0.6284013605442177	0.6318027210884354
e75	0.4957482993197279	0.35714285714285715	0.0	0.6292517006802721	0.6096938775510204	0.6062925170068028	0.6190476190476191	0.5102040816326531	0.5153061224489796	0.5399659863945578	0.826530612244898	0.5136054421768708	0.6156462585034014	0.7653061224489796	0.3273809523809524	0.6343537414965986	0.6913265306122449	0.657312925170068	0.6156462585034014	0.6828231292517006
e76	0.7406462585034014	0.6232993197278912	0.6292517006802721	0.0	0.4005102040816326	0.4914965986394558	0.4302721088435374	0.6836734693877551	0.5569727891156463	0.43112244897959184	0.8239795918367347	0.7108843537414966	0.6998299319727891	0.467687074829932	0.5722789115646258	0.4608843537414966	0.42346938775510207	0.4532312925170068	0.5068027210884354	0.4481292517006803
e77	0.7925170068027211	0.7559523809523809	0.6096938775510204	0.4005102040816326	0.0	0.5476190476190477	0.44302721088435376	0.7032312925170068	0.47874149659863946	0.3673469387755102	0.7874149659863946	0.6887755102040817	0.5637755102040817	0.44982993197278914	0.4897959183673469	0.3239795918367347	0.39200680272108845	0.42857142857142855	0.5102040816326531	0.44302721088435376
e78	0.7695578231292517	0.7117346938775511	0.6062925170068028	0.4914965986394558	0.5476190476190477	0.0	0.6547619047619048	0.6955782312925171	0.6258503401360545	0.5654761904761905	0.8052721088435374	0.7134353741496599	0.5085034013605442	0.7142857142857143	0.5901360544217688	0.6071428571428571	0.685374149659864	0.6454081632653061	0.6879251700680272	0.6632653061224489
e80	0.6981292517006803	0.6530612244897959	0.6190476190476191	0.4302721088435374	0.44302721088435376	0.6547619047619048	0.0	0.5586734693877551	0.4583333333333333	0.3715986394557823	0.7193877551020408	0.6318027210884354	0.592687074829932	0.43112244897959184	0.4931972789115646	0.49829931972789115	0.4260204081632653	0.42517006802721086	0.42772108843537415	0.3792517006802721
e81	0.6037414965986394	0.44982993197278914	0.5102040816326531	0.6836734693877551	0.7032312925170068	0.6955782312925171	0.5586734693877551	0.0	0.5680272108843537	0.5280612244897959	0.79421768707483	0.45153061224489793	0.6122448979591837	0.6819727891156463	0.39200680272108845	0.7210884353741497	0.6547619047619048	0.6590136054421769	0.5561224489795918	0.5688775510204082
e82	0.7117346938775511	0.6539115646258503	0.5153061224489796	0.5569727891156463	0.47874149659863946	0.6258503401360545	0.4583333333333333	0.5680272108843537	0.0	0.4226190476190476	0.8460884353741497	0.5850340136054422	0.5918367346938775	0.6122448979591837	0.43537414965986393	0.47278911564625853	0.5127551020408163	0.47278911564625853	0.39200680272108845	0.49744897959183676
e87	0.7304421768707483	0.6122448979591837	0.5399659863945578	0.43112244897959184	0.3673469387755102	0.5654761904761905	0.3715986394557823	0.5280612244897959	0.4226190476190476	0.0	0.8503401360544217	0.4812925170068027	0.5042517006802721	0.5034013605442177	0.3843537414965986	0.3945578231292517	0.42431972789115646	0.3937074829931973	0.43537414965986393	0.38010204081632654
