	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e72	0.0	0.7037037037037037	0.68	0.6071428571428571	0.6842105263157895	0.7307692307692307	0.7682926829268293	0.8269230769230769	0.8088235294117647	0.7169811320754716	0.746031746031746	0.7837837837837838	0.7972972972972973	0.7428571428571429	0.765625	0.8214285714285714	0.7407407407407407	0.7424242424242424	0.7794117647058824	0.7971014492753623
e73	0.7037037037037037	0.0	0.6829268292682927	0.625	0.7647058823529411	0.7727272727272727	0.8441558441558441	0.7105263157894737	0.85	0.6666666666666666	0.7358490566037735	0.7619047619047619	0.8507462686567164	0.7333333333333333	0.7818181818181819	0.8	0.7272727272727273	0.7090909090909091	0.7966101694915254	0.7543859649122807
e75	0.68	0.6829268292682927	0.0	0.6808510638297872	0.717391304347826	0.7804878048780488	0.8513513513513513	0.875	0.7962962962962963	0.7906976744186046	0.8113207547169812	0.84375	0.859375	0.8387096774193549	0.7884615384615384	0.8372093023255814	0.8444444444444444	0.7818181818181819	0.864406779661017	0.8833333333333333
e76	0.6071428571428571	0.625	0.6808510638297872	0.0	0.6851851851851852	0.6808510638297872	0.7721518987341772	0.7333333333333333	0.8333333333333334	0.6086956521739131	0.6842105263157895	0.7164179104477612	0.8194444444444444	0.7647058823529411	0.7288135593220338	0.8076923076923077	0.6938775510204082	0.746031746031746	0.746031746031746	0.7258064516129032
e77	0.6842105263157895	0.7647058823529411	0.717391304347826	0.6851851851851852	0.0	0.7446808510638298	0.7792207792207793	0.8	0.7868852459016393	0.6444444444444445	0.7796610169491526	0.7794117647058824	0.7761194029850746	0.8260869565217391	0.7586206896551724	0.717391304347826	0.7551020408163265	0.7741935483870968	0.7936507936507936	0.7741935483870968
e78	0.7307692307692307	0.7727272727272727	0.7804878048780488	0.6808510638297872	0.7446808510638298	0.0	0.8356164383561644	0.8157894736842105	0.8392857142857143	0.7619047619047619	0.8333333333333334	0.84375	0.859375	0.8387096774193549	0.7647058823529411	0.7804878048780488	0.7	0.8035714285714286	0.8245614035087719	0.7592592592592593
e80	0.7682926829268293	0.8441558441558441	0.8513513513513513	0.7721518987341772	0.7792207792207793	0.8356164383561644	0.0	0.8405797101449275	0.8095238095238095	0.7746478873239436	0.775	0.7888888888888889	0.851063829787234	0.7411764705882353	0.8192771084337349	0.8356164383561644	0.8243243243243243	0.8275862068965517	0.813953488372093	0.7560975609756098
e81	0.8269230769230769	0.7105263157894737	0.875	0.7333333333333333	0.8	0.8157894736842105	0.8405797101449275	0.0	0.8	0.6571428571428571	0.7916666666666666	0.7894736842105263	0.8275862068965517	0.8035714285714286	0.7391304347826086	0.75	0.6176470588235294	0.76	0.76	0.7346938775510204
e82	0.8088235294117647	0.85	0.7962962962962963	0.8333333333333334	0.7868852459016393	0.8392857142857143	0.8095238095238095	0.8	0.0	0.7592592592592593	0.8857142857142857	0.8133333333333334	0.7945205479452054	0.8552631578947368	0.78125	0.7	0.7592592592592593	0.7575757575757576	0.6774193548387096	0.7941176470588235
e87	0.7169811320754716	0.6666666666666666	0.7906976744186046	0.6086956521739131	0.6444444444444445	0.7619047619047619	0.7746478873239436	0.6571428571428571	0.7592592592592593	0.0	0.7	0.6896551724137931	0.7903225806451613	0.7457627118644068	0.7735849056603774	0.7619047619047619	0.6153846153846154	0.6730769230769231	0.6981132075471698	0.6981132075471698
e88	0.746031746031746	0.7358490566037735	0.8113207547169812	0.6842105263157895	0.7796610169491526	0.8333333333333334	0.775	0.7916666666666666	0.8857142857142857	0.7	0.0	0.7916666666666666	0.7887323943661971	0.6065573770491803	0.7741935483870968	0.8545454545454545	0.7735849056603774	0.7692307692307693	0.7878787878787878	0.7878787878787878
e89	0.7837837837837838	0.7619047619047619	0.84375	0.7164179104477612	0.7794117647058824	0.84375	0.7888888888888889	0.7894736842105263	0.8133333333333334	0.6896551724137931	0.7916666666666666	0.0	0.7721518987341772	0.7368421052631579	0.7916666666666666	0.7868852459016393	0.711864406779661	0.7866666666666666	0.7702702702702703	0.7534246575342466
e90	0.7972972972972973	0.8507462686567164	0.859375	0.8194444444444444	0.7761194029850746	0.859375	0.851063829787234	0.8275862068965517	0.7945205479452054	0.7903225806451613	0.7887323943661971	0.7721518987341772	0.0	0.782051282051282	0.7887323943661971	0.859375	0.7288135593220338	0.7837837837837838	0.75	0.8
e91	0.7428571428571429	0.7333333333333333	0.8387096774193549	0.7647058823529411	0.8260869565217391	0.8387096774193549	0.7411764705882353	0.8035714285714286	0.8552631578947368	0.7457627118644068	0.6065573770491803	0.7368421052631579	0.782051282051282	0.0	0.8028169014084507	0.8387096774193549	0.7017543859649122	0.7285714285714285	0.8289473684210527	0.7285714285714285
e92	0.765625	0.7818181818181819	0.7884615384615384	0.7288135593220338	0.7586206896551724	0.7647058823529411	0.8192771084337349	0.7391304347826086	0.78125	0.7735849056603774	0.7741935483870968	0.7916666666666666	0.7887323943661971	0.8028169014084507	0.0	0.6304347826086957	0.673469387755102	0.7301587301587301	0.7301587301587301	0.6666666666666666
e93	0.8214285714285714	0.8	0.8372093023255814	0.8076923076923077	0.717391304347826	0.7804878048780488	0.8356164383561644	0.75	0.7	0.7619047619047619	0.8545454545454545	0.7868852459016393	0.859375	0.8387096774193549	0.6304347826086957	0.0	0.7	0.7818181818181819	0.7818181818181819	0.7115384615384616
e94	0.7407407407407407	0.7272727272727273	0.8444444444444444	0.6938775510204082	0.7551020408163265	0.7	0.8243243243243243	0.6176470588235294	0.7592592592592593	0.6153846153846154	0.7735849056603774	0.711864406779661	0.7288135593220338	0.7017543859649122	0.673469387755102	0.7	0.0	0.6981132075471698	0.6730769230769231	0.5625
e95	0.7424242424242424	0.7090909090909091	0.7818181818181819	0.746031746031746	0.7741935483870968	0.8035714285714286	0.8275862068965517	0.76	0.7575757575757576	0.6730769230769231	0.7692307692307693	0.7866666666666666	0.7837837837837838	0.7285714285714285	0.7301587301587301	0.7818181818181819	0.6981132075471698	0.0	0.7076923076923077	0.7076923076923077
e96	0.7794117647058824	0.7966101694915254	0.864406779661017	0.746031746031746	0.7936507936507936	0.8245614035087719	0.813953488372093	0.76	0.6774193548387096	0.6981132075471698	0.7878787878787878	0.7702702702702703	0.75	0.8289473684210527	0.7301587301587301	0.7818181818181819	0.6730769230769231	0.7076923076923077	0.0	0.7076923076923077
e97	0.7971014492753623	0.7543859649122807	0.8833333333333333	0.7258064516129032	0.7741935483870968	0.7592592592592593	0.7560975609756098	0.7346938775510204	0.7941176470588235	0.6981132075471698	0.7878787878787878	0.7534246575342466	0.8	0.7285714285714285	0.6666666666666666	0.7115384615384616	0.5625	0.7076923076923077	0.7076923076923077	0.0
