	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e72	0.0	0.44456649298044226	0.4996896362202381	0.4547862218809524	0.506120049829932	0.4159139245331633	0.5041334321904762	0.5787037811037414	0.4674603819965987	0.6389345021181972	0.5064328268112245	0.5163633812534013	0.418290903869898	0.5416192356675169	0.5773533661904762	0.5631718717499999	0.6147589280578231	0.39666775703911566	0.38618129355697284	0.5639558470807823
e73	0.44456649298044226	0.0	0.25101950444387755	0.23750554093962584	0.25071060625085034	0.45020496049149655	0.24044009828486393	0.3886050058392857	0.3928859070722789	0.307493943382653	0.4687279344192177	0.2739196772185374	0.3409077172142857	0.29676452659863944	0.2590738720807823	0.2714046811947279	0.3149185436556122	0.3013593994022109	0.3059075478962585	0.25589629374659867
e75	0.4996896362202381	0.25101950444387755	0.0	0.24041614517261906	0.2119025271181973	0.4551929868282313	0.22319822591751703	0.40917732244642857	0.28356314993962584	0.2941329371887755	0.5190183908664967	0.26169033163520405	0.39291483312414965	0.3684541642551021	0.23524055203486394	0.20678557746853743	0.2767719366845238	0.3466869173426871	0.3568065142772109	0.2694113173622449
e76	0.4547862218809524	0.23750554093962584	0.24041614517261906	0.0	0.3005296420323129	0.2802024525178572	0.29384367518537413	0.38184140488265306	0.25262424384863946	0.3889395929056122	0.5048826453503401	0.2769009963367347	0.34174313920153065	0.36231880452295917	0.34052764368537414	0.32121316913265313	0.38284245993877547	0.2942373958061225	0.30869295371513605	0.3410690586505102
e77	0.506120049829932	0.25071060625085034	0.2119025271181973	0.3005296420323129	0.0	0.4808556116811224	0.19834328032142856	0.4176192358384354	0.3740112545119047	0.2751644233835034	0.41530705607312923	0.26364346273129247	0.3450279915467687	0.30395884783758503	0.18939903546598638	0.18424899246428575	0.2442400993622449	0.34238398366666667	0.3302493113035715	0.2144798835484694
e78	0.4159139245331633	0.45020496049149655	0.4551929868282313	0.2802024525178572	0.4808556116811224	0.0	0.45014996233248306	0.5051140276130952	0.34995798202295914	0.589420723947279	0.5109641191607143	0.46270263631207487	0.39322741801530614	0.4839439259132653	0.527599270385204	0.5191097741386055	0.5697666207049319	0.3796461094022109	0.4026069875884354	0.5146049913588435
e80	0.5041334321904762	0.24044009828486393	0.22319822591751703	0.29384367518537413	0.19834328032142856	0.45014996233248306	0.0	0.36481460036054425	0.37862686954421776	0.24166672830697272	0.40705802078571435	0.22140982216666666	0.2879002992712585	0.2734354406062925	0.19972480610544213	0.23695054434013607	0.26702443417857136	0.2859175094795918	0.31041152096853747	0.17146545929166668
e81	0.5787037811037414	0.3886050058392857	0.40917732244642857	0.38184140488265306	0.4176192358384354	0.5051140276130952	0.36481460036054425	0.0	0.38732942728061226	0.4700623000042517	0.59696637117517	0.281697897414966	0.3618140634141156	0.4445753936454081	0.43276217497108843	0.44648809650170074	0.49115033960374155	0.39133742939285715	0.3881472439566327	0.4361098614430272
e82	0.4674603819965987	0.3928859070722789	0.28356314993962584	0.25262424384863946	0.3740112545119047	0.34995798202295914	0.37862686954421776	0.38732942728061226	0.0	0.49853993341921765	0.5691126827670068	0.3291003997687075	0.2833249580654762	0.4475927812236394	0.4206335627210884	0.3759730180221088	0.4751801566156463	0.30168414370238095	0.2641294651096939	0.4486885835263605
e87	0.6389345021181972	0.307493943382653	0.2941329371887755	0.3889395929056122	0.2751644233835034	0.589420723947279	0.24166672830697272	0.4700623000042517	0.49853993341921765	0.0	0.5723236746284014	0.30002625801785715	0.4553724488129251	0.35142526585204087	0.15004912350935376	0.18622369327465985	0.13150978173894556	0.4354978671267007	0.4399349775153061	0.17554575301700678
e88	0.5064328268112245	0.4687279344192177	0.5190183908664967	0.5048826453503401	0.41530705607312923	0.5109641191607143	0.40705802078571435	0.59696637117517	0.5691126827670068	0.5723236746284014	0.0	0.5172620452534014	0.4747181783052721	0.3423563165331632	0.5050870526258503	0.5209420652244898	0.5543593733061224	0.4535791871955782	0.49662958330017004	0.49693349639030604
e89	0.5163633812534013	0.2739196772185374	0.26169033163520405	0.2769009963367347	0.26364346273129247	0.46270263631207487	0.22140982216666666	0.281697897414966	0.3291003997687075	0.30002625801785715	0.5172620452534014	0.0	0.30124503835969385	0.3595650676811225	0.2774176685578231	0.29066984302891163	0.34806715403401356	0.3312619513316326	0.31146629828486394	0.2756291800756802
