	e100	e102	e103	e104	e105	e106	e107	e108	e109	e110	e112	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97	e98	e99
e100	0.0	0.77725	0.9655	0.943	0.967	0.974	0.96275	0.968	0.9575	0.9665	0.94425	0.965	0.9915	0.9885	0.975	0.98075	0.98775	0.98025	0.98275	0.98	0.9895	0.96	0.942	0.73025
e102	0.77725	0.0	0.95	0.9775	0.99125	0.992	0.98375	0.98125	0.965	0.9835	0.97	0.96225	0.985	0.99375	0.99325	0.994	0.99675	0.9885	0.984	0.9785	0.9965	0.9755	0.5185	0.73625
e103	0.9655	0.95	0.0	0.9565	0.99625	0.987	0.9875	0.99125	0.99025	0.9935	0.96975	0.97125	0.992	0.9905	0.9645	0.99	0.992	0.994	0.9895	0.98175	0.99825	0.99625	0.889	0.9475
e104	0.943	0.9775	0.9565	0.0	0.31425	0.43125	0.4635	0.45975	0.40875	0.497	0.547	0.8165	0.94	0.9695	0.59725	0.922	0.83925	0.669	0.91375	0.94925	0.9465	0.895	0.95	0.93975
e105	0.967	0.99125	0.99625	0.31425	0.0	0.406	0.38625	0.3565	0.48775	0.46375	0.6065	0.84	0.9395	0.96775	0.636	0.94075	0.8685	0.7245	0.91975	0.9535	0.9505	0.905	0.979	0.968
e106	0.974	0.992	0.987	0.43125	0.406	0.0	0.56425	0.4625	0.46625	0.581	0.57875	0.82875	0.917	0.957	0.6595	0.94475	0.805	0.69975	0.9195	0.9325	0.93125	0.88975	0.9835	0.97525
e107	0.96275	0.98375	0.9875	0.4635	0.38625	0.56425	0.0	0.49425	0.584	0.33025	0.5005	0.891	0.956	0.9615	0.7215	0.933	0.943	0.75	0.9365	0.9545	0.9465	0.91975	0.97125	0.965
e108	0.968	0.98125	0.99125	0.45975	0.3565	0.4625	0.49425	0.0	0.42625	0.5065	0.59475	0.83425	0.915	0.94675	0.61475	0.91475	0.8505	0.7165	0.895	0.92675	0.9195	0.868	0.976	0.96475
e109	0.9575	0.965	0.99025	0.40875	0.48775	0.46625	0.584	0.42625	0.0	0.568	0.62825	0.816	0.918	0.9595	0.6265	0.9345	0.804	0.61875	0.90125	0.9135	0.91425	0.87525	0.973	0.94225
e110	0.9665	0.9835	0.9935	0.497	0.46375	0.581	0.33025	0.5065	0.568	0.0	0.41675	0.8605	0.9295	0.94225	0.756	0.91075	0.90175	0.72125	0.903	0.94025	0.92875	0.87875	0.97725	0.962
e112	0.94425	0.97	0.96975	0.547	0.6065	0.57875	0.5005	0.59475	0.62825	0.41675	0.0	0.881	0.94075	0.94675	0.7955	0.92425	0.91775	0.7905	0.90625	0.939	0.93875	0.907	0.95975	0.94625
e80	0.965	0.96225	0.97125	0.8165	0.84	0.82875	0.891	0.83425	0.816	0.8605	0.881	0.0	0.44675	0.37175	0.709	0.644	0.5715	0.42825	0.4755	0.49025	0.4295	0.35325	0.9605	0.9545
e82	0.9915	0.985	0.992	0.94	0.9395	0.917	0.956	0.915	0.918	0.9295	0.94075	0.44675	0.0	0.39975	0.846	0.60375	0.58075	0.61275	0.4135	0.45825	0.5015	0.487	0.99425	0.914
e87	0.9885	0.99375	0.9905	0.9695	0.96775	0.957	0.9615	0.94675	0.9595	0.94225	0.94675	0.37175	0.39975	0.0	0.8445	0.50175	0.5025	0.51775	0.3775	0.417	0.4335	0.3595	0.9965	0.99125
e88	0.975	0.99325	0.9645	0.59725	0.636	0.6595	0.7215	0.61475	0.6265	0.756	0.7955	0.709	0.846	0.8445	0.0	0.80775	0.755	0.6135	0.80675	0.824	0.824	0.75725	0.965	0.96675
e89	0.98075	0.994	0.99	0.922	0.94075	0.94475	0.933	0.91475	0.9345	0.91075	0.92425	0.644	0.60375	0.50175	0.80775	0.0	0.593	0.762	0.42575	0.71875	0.6825	0.5885	0.987	0.97675
e90	0.98775	0.99675	0.992	0.83925	0.8685	0.805	0.943	0.8505	0.804	0.90175	0.91775	0.5715	0.58075	0.5025	0.755	0.593	0.0	0.6765	0.521	0.61875	0.634	0.592	0.9985	0.9895
e91	0.98025	0.9885	0.994	0.669	0.7245	0.69975	0.75	0.7165	0.61875	0.72125	0.7905	0.42825	0.61275	0.51775	0.6135	0.762	0.6765	0.0	0.59675	0.46875	0.44925	0.43225	0.984	0.974
e92	0.98275	0.984	0.9895	0.91375	0.91975	0.9195	0.9365	0.895	0.90125	0.903	0.90625	0.4755	0.4135	0.3775	0.80675	0.42575	0.521	0.59675	0.0	0.475	0.5245	0.43575	0.9925	0.967
e93	0.98	0.9785	0.98175	0.94925	0.9535	0.9325	0.9545	0.92675	0.9135	0.94025	0.939	0.49025	0.45825	0.417	0.824	0.71875	0.61875	0.46875	0.475	0.0	0.214	0.44775	0.9825	0.95375
e94	0.9895	0.9965	0.99825	0.9465	0.9505	0.93125	0.9465	0.9195	0.91425	0.92875	0.93875	0.4295	0.5015	0.4335	0.824	0.6825	0.634	0.44925	0.5245	0.214	0.0	0.367	0.99625	0.98675
e97	0.96	0.9755	0.99625	0.895	0.905	0.88975	0.91975	0.868	0.87525	0.87875	0.907	0.35325	0.487	0.3595	0.75725	0.5885	0.592	0.43225	0.43575	0.44775	0.367	0.0	0.9895	0.976
e98	0.942	0.5185	0.889	0.95	0.979	0.9835	0.97125	0.976	0.973	0.97725	0.95975	0.9605	0.99425	0.9965	0.965	0.987	0.9985	0.984	0.9925	0.9825	0.99625	0.9895	0.0	0.929
e99	0.73025	0.73625	0.9475	0.93975	0.968	0.97525	0.965	0.96475	0.94225	0.962	0.94625	0.9545	0.914	0.99125	0.96675	0.97675	0.9895	0.974	0.967	0.95375	0.98675	0.976	0.929	0.0
