	e100	e102	e103	e104	e105	e106	e107	e108	e109	e110	e112	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97	e98	e99
e100	0.0	0.7557251908396947	0.8727272727272727	0.9145299145299145	0.9195402298850575	0.945273631840796	0.915	0.9301310043668122	0.9459459459459459	0.9416666666666667	0.9230769230769231	0.9115646258503401	0.9609375	0.9279279279279279	0.925	0.9640287769784173	0.9640287769784173	0.9562043795620438	0.9338842975206612	0.9545454545454546	0.9655172413793104	0.9206349206349206	0.7969924812030075	0.782608695652174
e102	0.7557251908396947	0.0	0.8191489361702128	0.9241071428571429	0.9457831325301205	0.9526315789473684	0.9430051813471503	0.9406392694063926	0.9418604651162791	0.9288888888888889	0.9356060606060606	0.9029850746268657	0.9565217391304348	0.9292929292929293	0.9357798165137615	0.9603174603174603	0.968503937007874	0.943089430894309	0.9259259259259259	0.9375	0.9711538461538461	0.9304347826086956	0.7647058823529411	0.76
e103	0.8727272727272727	0.8191489361702128	0.0	0.9424083769633508	0.9618320610687023	0.9473684210526315	0.9490445859872612	0.9510869565217391	0.9407407407407408	0.9641025641025641	0.9385964912280702	0.8865979381443299	0.92	0.9016393442622951	0.9305555555555556	0.9545454545454546	0.9425287356321839	0.9418604651162791	0.9	0.9137931034482759	0.9538461538461539	0.9230769230769231	0.851063829787234	0.8627450980392157
e104	0.9145299145299145	0.9241071428571429	0.9424083769633508	0.0	0.6358974358974359	0.75	0.6467889908256881	0.6975806451612904	0.7477064220183486	0.6772908366533864	0.7516778523489933	0.8502415458937198	0.923469387755102	0.9175824175824175	0.875	0.8497409326424871	0.8730964467005076	0.8054054054054054	0.8810810810810811	0.9096045197740112	0.9060773480662984	0.8556149732620321	0.8930232558139535	0.9066666666666666
e105	0.9195402298850575	0.9457831325301205	0.9618320610687023	0.6358974358974359	0.0	0.6976744186046512	0.6839080459770115	0.6954314720812182	0.6815286624203821	0.7087378640776699	0.7661290322580645	0.8456375838926175	0.9097744360902256	0.8803418803418803	0.8442622950819673	0.835820895522388	0.8695652173913043	0.7795275590551181	0.8536585365853658	0.8859649122807017	0.8717948717948718	0.7967479674796748	0.8974358974358975	0.9090909090909091
e106	0.945273631840796	0.9526315789473684	0.9473684210526315	0.75	0.6976744186046512	0.0	0.7952380952380952	0.7285067873303167	0.7377049180327869	0.7966804979253111	0.7640449438202247	0.8470588235294118	0.8954248366013072	0.9084507042253521	0.8775510204081632	0.8888888888888888	0.8888888888888888	0.8145695364238411	0.9	0.9136690647482014	0.8936170212765957	0.8533333333333334	0.9405405405405406	0.9319371727748691
e107	0.915	0.9430051813471503	0.9490445859872612	0.6467889908256881	0.6839080459770115	0.7952380952380952	0.0	0.7058823529411765	0.7513227513227513	0.7004405286343612	0.7358490566037735	0.838150289017341	0.9125	0.896551724137931	0.8435374149659864	0.8650306748466258	0.9117647058823529	0.8051948051948052	0.8961038961038961	0.9014084507042254	0.8741258741258742	0.8431372549019608	0.8833333333333333	0.9226804123711341
e108	0.9301310043668122	0.9406392694063926	0.9510869565217391	0.6975806451612904	0.6954314720812182	0.7285067873303167	0.7058823529411765	0.0	0.6598984771573604	0.7182539682539683	0.7035714285714286	0.855	0.9081081081081082	0.9005847953216374	0.9	0.8848167539267016	0.890625	0.8156424581005587	0.8813559322033898	0.8982035928143712	0.8816568047337278	0.8418079096045198	0.9248826291079812	0.9178082191780822
e109	0.9459459459459459	0.9418604651162791	0.9407407407407408	0.7477064220183486	0.6815286624203821	0.7377049180327869	0.7513227513227513	0.6598984771573604	0.0	0.7242990654205608	0.77734375	0.8598726114649682	0.9142857142857143	0.921875	0.8702290076335878	0.8986486486486487	0.8835616438356164	0.8088235294117647	0.8702290076335878	0.9016393442622951	0.888	0.8518518518518519	0.9151515151515152	0.9127906976744186
e110	0.9416666666666667	0.9288888888888889	0.9641025641025641	0.6772908366533864	0.7087378640776699	0.7966804979253111	0.7004405286343612	0.7182539682539683	0.7242990654205608	0.0	0.726027397260274	0.8720379146919431	0.923469387755102	0.9055555555555556	0.8810810810810811	0.8844221105527639	0.900990099009901	0.8181818181818182	0.898936170212766	0.9217877094972067	0.9	0.8736842105263158	0.9181818181818182	0.925764192139738
e112	0.9230769230769231	0.9356060606060606	0.9385964912280702	0.7516778523489933	0.7661290322580645	0.7640449438202247	0.7358490566037735	0.7035714285714286	0.77734375	0.726027397260274	0.0	0.860655737704918	0.9181034482758621	0.9128440366972477	0.8823529411764706	0.9083333333333333	0.9128630705394191	0.8552631578947368	0.9022222222222223	0.9311926605504587	0.9279279279279279	0.9004329004329005	0.9307692307692308	0.9166666666666666
e80	0.9115646258503401	0.9029850746268657	0.8865979381443299	0.8502415458937198	0.8456375838926175	0.8470588235294118	0.838150289017341	0.855	0.8598726114649682	0.8720379146919431	0.860655737704918	0.0	0.7684210526315789	0.7283950617283951	0.7582417582417582	0.7924528301886793	0.8468468468468469	0.7425742574257426	0.7978723404255319	0.8352941176470589	0.8181818181818182	0.75	0.8661417322834646	0.8905109489051095
e82	0.9609375	0.9565217391304348	0.92	0.923469387755102	0.9097744360902256	0.8954248366013072	0.9125	0.9081081081081082	0.9142857142857143	0.923469387755102	0.9181034482758621	0.7684210526315789	0.0	0.7741935483870968	0.8831168831168831	0.7976190476190477	0.7976190476190477	0.8235294117647058	0.7887323943661971	0.7142857142857143	0.7777777777777778	0.8076923076923077	0.9459459459459459	0.940677966101695
e87	0.9279279279279279	0.9292929292929293	0.9016393442622951	0.9175824175824175	0.8803418803418803	0.9084507042253521	0.896551724137931	0.9005847953216374	0.921875	0.9055555555555556	0.9128440366972477	0.7283950617283951	0.7741935483870968	0.0	0.7142857142857143	0.7391304347826086	0.7746478873239436	0.7887323943661971	0.7586206896551724	0.7659574468085106	0.6875	0.7258064516129032	0.9489795918367347	0.9428571428571428
e88	0.925	0.9357798165137615	0.9305555555555556	0.875	0.8442622950819673	0.8775510204081632	0.8435374149659864	0.9	0.8702290076335878	0.8810810810810811	0.8823529411764706	0.7582417582417582	0.8831168831168831	0.7142857142857143	0.0	0.8170731707317073	0.8170731707317073	0.6285714285714286	0.7761194029850746	0.8275862068965517	0.7627118644067796	0.7464788732394366	0.9134615384615384	0.9
e89	0.9640287769784173	0.9603174603174603	0.9545454545454546	0.8497409326424871	0.835820895522388	0.8888888888888888	0.8650306748466258	0.8848167539267016	0.8986486486486487	0.8844221105527639	0.9083333333333333	0.7924528301886793	0.7976190476190477	0.7391304347826086	0.8170731707317073	0.0	0.7415730337078652	0.7093023255813954	0.7875	0.7971014492753623	0.7428571428571429	0.7619047619047619	0.9333333333333333	0.9538461538461539
e90	0.9640287769784173	0.968503937007874	0.9425287356321839	0.8730964467005076	0.8695652173913043	0.8888888888888888	0.9117647058823529	0.890625	0.8835616438356164	0.900990099009901	0.9128630705394191	0.8468468468468469	0.7976190476190477	0.7746478873239436	0.8170731707317073	0.7415730337078652	0.0	0.7666666666666667	0.7875	0.8309859154929577	0.7428571428571429	0.7906976744186046	0.976	0.9618320610687023
e91	0.9562043795620438	0.943089430894309	0.9418604651162791	0.8054054054054054	0.7795275590551181	0.8145695364238411	0.8051948051948052	0.8156424581005587	0.8088235294117647	0.8181818181818182	0.8552631578947368	0.7425742574257426	0.8235294117647058	0.7887323943661971	0.6285714285714286	0.7093023255813954	0.7666666666666667	0.0	0.7848101265822784	0.7941176470588235	0.6818181818181818	0.7125	0.923728813559322	0.92
e92	0.9338842975206612	0.9259259259259259	0.9	0.8810810810810811	0.8536585365853658	0.9	0.8961038961038961	0.8813559322033898	0.8702290076335878	0.898936170212766	0.9022222222222223	0.7978723404255319	0.7887323943661971	0.7586206896551724	0.7761194029850746	0.7875	0.7875	0.7848101265822784	0.0	0.64	0.6964285714285714	0.6911764705882353	0.9134615384615384	0.8899082568807339
e93	0.9545454545454546	0.9375	0.9137931034482759	0.9096045197740112	0.8859649122807017	0.9136690647482014	0.9014084507042254	0.8982035928143712	0.9016393442622951	0.9217877094972067	0.9311926605504587	0.8352941176470589	0.7142857142857143	0.7659574468085106	0.8275862068965517	0.7971014492753623	0.8309859154929577	0.7941176470588235	0.64	0.0	0.717391304347826	0.7288135593220338	0.9239130434782609	0.93
e94	0.9655172413793104	0.9711538461538461	0.9538461538461539	0.9060773480662984	0.8717948717948718	0.8936170212765957	0.8741258741258742	0.8816568047337278	0.888	0.9	0.9279279279279279	0.8181818181818182	0.7777777777777778	0.6875	0.7627118644067796	0.7428571428571429	0.7428571428571429	0.6818181818181818	0.6964285714285714	0.717391304347826	0.0	0.6440677966101694	0.96	0.9433962264150944
e97	0.9206349206349206	0.9304347826086956	0.9230769230769231	0.8556149732620321	0.7967479674796748	0.8533333333333334	0.8431372549019608	0.8418079096045198	0.8518518518518519	0.8736842105263158	0.9004329004329005	0.75	0.8076923076923077	0.7258064516129032	0.7464788732394366	0.7619047619047619	0.7906976744186046	0.7125	0.6911764705882353	0.7288135593220338	0.6440677966101694	0.0	0.9090909090909091	0.905982905982906
e98	0.7969924812030075	0.7647058823529411	0.851063829787234	0.8930232558139535	0.8974358974358975	0.9405405405405406	0.8833333333333333	0.9248826291079812	0.9151515151515152	0.9181818181818182	0.9307692307692308	0.8661417322834646	0.9459459459459459	0.9489795918367347	0.9134615384615384	0.9333333333333333	0.976	0.923728813559322	0.9134615384615384	0.9239130434782609	0.96	0.9090909090909091	0.0	0.784
e99	0.782608695652174	0.76	0.8627450980392157	0.9066666666666666	0.9090909090909091	0.9319371727748691	0.9226804123711341	0.9178082191780822	0.9127906976744186	0.925764192139738	0.9166666666666666	0.8905109489051095	0.940677966101695	0.9428571428571428	0.9	0.9538461538461539	0.9618320610687023	0.92	0.8899082568807339	0.93	0.9433962264150944	0.905982905982906	0.784	0.0
