	shannon
e100	4.356553269591458
e102	3.247914223825556
e103	1.5235307534051201
e104	4.866062452923339
e105	4.09862356993547
e106	4.937721092410123
e107	4.159454680436737
e108	4.842419987051758
e109	5.025291507293852
e110	4.819503450893188
e112	5.532359599036157
e80	3.7698820583654853
e82	3.3464505806142206
e87	2.5870622714043043
e88	3.7856893057044805
e89	3.7452308344192735
e90	3.6720427923784418
e91	3.1051956024529233
e92	3.0577143460842287
e93	2.1841074522611086
e94	2.0091995424959372
e97	3.4054548906925803
e98	2.419563735391903
e99	5.068931067774031
