	e100	e102	e103	e104	e105	e106	e107	e108	e109	e110	e112	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97	e98	e99
e100	0.0	0.4904619897722585	0.6575307587240613	0.7302853965425609	0.7279348082520659	0.7451224676691556	0.7521675178903358	0.7224648444419687	0.750383829603057	0.7104227337541262	0.7520440011577971	0.7123341025459233	0.7568905304976786	0.8394009841344467	0.7768531635294611	0.7485251656162732	0.8021635916443562	0.7876775161027183	0.7579381967984178	0.8342390388183955	0.7671271047996183	0.7286791107176085	0.534661599591208	0.4803910505409802
e102	0.4904619897722585	0.0	0.6319591944214603	0.7789616479232119	0.7621230135151759	0.7920401377968682	0.8081388087356598	0.7750093245652524	0.7954870623181381	0.7970214573298224	0.7953553355663132	0.6797219208231043	0.7205862437803029	0.7992185110500073	0.7585393793935571	0.7730000205829327	0.7835061647728181	0.7768677553243892	0.7240394920525083	0.8074106010204263	0.7484739082974152	0.7051767387264154	0.5181468991421392	0.4848540239605129
e103	0.6575307587240613	0.6319591944214603	0.0	0.8190400619223603	0.7901982571119208	0.8090561545053647	0.8360164903828857	0.8066402905608577	0.7957264133019948	0.8342405883839618	0.8551788301548858	0.6934814031491328	0.6476913673387859	0.714247424259922	0.7105387549193408	0.7881524137016074	0.768802085340864	0.7260883208158352	0.6921248198891782	0.7075844153095407	0.6901472869242298	0.6848268226241461	0.6441316443150873	0.6557461179636283
e104	0.7302853965425609	0.7789616479232119	0.8190400619223603	0.0	0.5099654597790347	0.5521220272869755	0.40655008067738	0.5335987021361301	0.5509879439911795	0.5369006752162641	0.525184720164021	0.6736119434222393	0.783883285865299	0.830411492411281	0.7371098822778818	0.7285995538793504	0.7227356892762667	0.7376969935198346	0.7577107475280229	0.8312528741830596	0.8124296799124573	0.7084228016301084	0.7832594113017637	0.7863671026244737
e105	0.7279348082520659	0.7621230135151759	0.7901982571119208	0.5099654597790347	0.0	0.5203723001640584	0.5201923221482959	0.5561037046951185	0.4914052787129582	0.5067217703545595	0.6407020520477131	0.65139441403156	0.7636085401865307	0.7735192023101445	0.689419833848667	0.7205545515133308	0.6979308924594346	0.6815281986694613	0.7243645360294706	0.8134610219423395	0.7605572121184624	0.6218463157873482	0.7466625530012311	0.7725734052352329
e106	0.7451224676691556	0.7920401377968682	0.8090561545053647	0.5521220272869755	0.5203723001640584	0.0	0.5422241869131816	0.5348132378687168	0.5333213795125815	0.555772122145489	0.5734634782069822	0.6920997613988998	0.777836324707366	0.8217209828388629	0.7531195285478153	0.7339070326376832	0.7432393801861109	0.7426678417435097	0.7457106713169124	0.833673401557651	0.791325207021223	0.6925978625079151	0.7854880171932251	0.7871245417412327
e107	0.7521675178903358	0.8081388087356598	0.8360164903828857	0.40655008067738	0.5201923221482959	0.5422241869131816	0.0	0.5028270351367569	0.5167926867003347	0.47352664333100497	0.5181863114979143	0.7187104711642724	0.8075284123038895	0.8452430287567467	0.7491223089467232	0.7812548421159197	0.7556114134416229	0.7567563310854996	0.7879169791540707	0.8280275268629701	0.8091608158231445	0.7244295965018772	0.7992598815164496	0.8073150152343223
e108	0.7224648444419687	0.7750093245652524	0.8066402905608577	0.5335987021361301	0.5561037046951185	0.5348132378687168	0.5028270351367569	0.0	0.4854442315631646	0.5124481150394988	0.5081153780342033	0.7190470880524876	0.8118845429014261	0.8633191163157579	0.7763408414446161	0.7434600373794176	0.731032303126812	0.7744625045459994	0.759716666945982	0.8461787676624111	0.787608941170698	0.6827349431332511	0.7673388928759058	0.7590238902385
e109	0.750383829603057	0.7954870623181381	0.7957264133019948	0.5509879439911795	0.4914052787129582	0.5333213795125815	0.5167926867003347	0.4854442315631646	0.0	0.5191326692578341	0.6146048306244789	0.698022959792168	0.7973069954142393	0.813852229091034	0.7190239737775255	0.7308090791167433	0.7654747158825577	0.7340344515834962	0.7446015808488211	0.7995452353880046	0.7842276674754065	0.7103816886516655	0.7813690727048347	0.7653039067336719
e110	0.7104227337541262	0.7970214573298224	0.8342405883839618	0.5369006752162641	0.5067217703545595	0.555772122145489	0.47352664333100497	0.5124481150394988	0.5191326692578341	0.0	0.5159407248154182	0.7470842007115995	0.8454984130763356	0.8329192026346443	0.7723834848981627	0.7937610129588651	0.7874574378483847	0.783263949762508	0.8065646380448273	0.8603945278194148	0.8261511745460796	0.733134046821279	0.769205042229318	0.7902359872145092
