	e100	e102	e103	e104	e105	e106	e107	e108	e109	e110	e112	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97	e98	e99
e100	0.0	0.687608380221	0.8533162500197501	0.8132862321555	0.84530014359475	0.8799606553770001	0.91720377700325	0.89213524289475	0.7977067766705	0.8738902540425	0.876971977098	0.779229815991	0.8153227293152499	0.885388058063	0.71183013864425	0.7845955452204999	0.8089921250174998	0.8239144215997499	0.8322976167987499	0.812445100877	0.8585894792162501	0.81141719789325	0.97959510309925	0.57115568182625
e102	0.687608380221	0.0	0.87484205917625	0.8019267494490001	0.86417436263925	0.8274543397175	0.9283862755522501	0.8238549786812501	0.7951276779809999	0.8773908058430001	0.8392487834175001	0.8117450933605	0.69493564788075	0.9083583718399999	0.72660369802725	0.7784051889740001	0.7555301739615	0.8590294887657501	0.86776598672475	0.8441838237935001	0.90195517206325	0.8519229567337501	0.49009619085975	0.57442660646875
e103	0.8533162500197501	0.87484205917625	0.0	0.89459811918325	0.9659372974909999	0.9909320699987502	1.0013710998020002	0.9819599626900001	0.9088037866757499	0.9359370211552501	0.9779675257567501	0.39738186774375006	0.5783396878235	0.27893645508225	0.5534927433124999	0.5008597737852499	0.59540492427475	0.4614036113415	0.29970352933350003	0.29984300812325	0.2609362066625	0.3137949080885	1.0765975275455	0.9487474303085
e104	0.8132862321555	0.8019267494490001	0.89459811918325	0.0	0.24796020255124998	0.33809067623949995	0.35529970359025004	0.39419727010275	0.18709274483599997	0.29501169044500003	0.3781467529625	0.689219948483	0.7534630855792499	0.892634042408	0.49171035223675	0.7499199513154999	0.628479281057	0.5796993087762501	0.81774242337125	0.8278585536309999	0.87869902081925	0.81319331520175	0.89695344056725	0.74494351275575
e105	0.84530014359475	0.86417436263925	0.9659372974909999	0.24796020255124998	0.0	0.25742331505675	0.26268996191099997	0.282807586754	0.25724769445125	0.25611716331125	0.33193558868025	0.7498816036347501	0.8253755183705	0.9394614927042502	0.5856543072060001	0.82720464682375	0.71663942629025	0.633030731958	0.877598107132	0.8804097111082501	0.910178180986	0.8638684098370001	0.950608560116	0.8177442485135
e106	0.8799606553770001	0.8274543397175	0.9909320699987502	0.33809067623949995	0.25742331505675	0.0	0.38136832441775	0.24422733592225002	0.306726231334	0.385357894802	0.298252092277	0.7807618381375	0.84079523368425	0.9715394136095	0.60717423532475	0.8561371970685001	0.6971709578375	0.6852614259087499	0.91551059727875	0.902815891151	0.9511945507092501	0.9004493252432499	0.8944943049772499	0.8242510617002499
e107	0.91720377700325	0.9283862755522501	1.0013710998020002	0.35529970359025004	0.26268996191099997	0.38136832441775	0.0	0.370743977359	0.38371356407475005	0.21029711454225003	0.30641768795825	0.86118161287025	0.895244308965	0.98061201444225	0.6981345461449999	0.8948209729952501	0.84768372099925	0.7041743314265	0.921006533952	0.9212814844282501	0.9633385981779998	0.912902848465	1.0048271293875	0.882735505557
e108	0.89213524289475	0.8238549786812501	0.9819599626900001	0.39419727010275	0.282807586754	0.24422733592225002	0.370743977359	0.0	0.34095495879425	0.36412580868225003	0.27304659265474995	0.77276700546775	0.8281778458134998	0.96025494495325	0.597498613474	0.8265431009897501	0.7406167810537501	0.6970600103360001	0.8896551872480001	0.8907992393072501	0.9353090453545001	0.877898374369	0.9171848664669999	0.8228708057715001
e109	0.7977067766705	0.7951276779809999	0.9088037866757499	0.18709274483599997	0.25724769445125	0.306726231334	0.38371356407475005	0.34095495879425	0.0	0.31547817812699996	0.34814826698150003	0.7122621379605	0.75498920581925	0.9048957936145	0.51385861039175	0.7680475728655001	0.63755341488	0.58228463478625	0.83156151876825	0.8100027781150001	0.87300936863225	0.82747540751925	0.9087861383147501	0.72073938754675
e110	0.8738902540425	0.8773908058430001	0.9359370211552501	0.29501169044500003	0.25611716331125	0.385357894802	0.21029711454225003	0.36412580868225003	0.31547817812699996	0.0	0.272067436184	0.773275127284	0.81306728522175	0.9076836371855	0.63196972170475	0.805816891163	0.767414473279	0.60898805978875	0.8416556040817499	0.8550227667220001	0.8982085043817499	0.83020806127825	0.97758085479575	0.82728260999525
