	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae	58.0524221396389	71.958303493276	9.79422825030633	15.2626964321845	11.4035087719298	18.6542718016822	46.9431003425988	43.4125629604962	58.5958943828043	28.3552360951742	35.4562297359889	29.1276729864714	17.489607624455	16.8514412416851	31.6913732756846	25.2649728688067	46.6739404684783	7.79540206806546	10.0389922015597	23.1244047829001	62.6200120012001	9.15207231267012	24.8803224993701	14.9923678687273	61.7775611836194	2.3751178133836	11.0651226278015	20.1865343046994	54.1191936897458	15.9026697912788	7.25626490881576	22.2657687893814	12.8538381932185	22.644065013955
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae	5.00378202387608	1.08485186069335	5.51823213757553	6.98050853173265	9.88083416087388	8.36653386454183	8.75216331720411	6.57911168463556	8.55336915761395	10.6497217952326	7.48031496062992	7.94743732725598	8.71540099361249	10.3224066638701	7.42742433600988	8.71240935138699	7.69545501039926	11.0330288123682	11.9586082783443	10.6874537053367	2.25772577257726	8.17112629038057	13.9497774418409	15.1259301659989	3.01691972648219	12.5202639019793	14.3983091893796	6.70282603474502	6.20070113935145	17.3306467509144	14.2226896144869	9.57278652317953	12.1081146892311	9.02971597438844
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae	1.09020949123557	0.57558154956102	4.19149026070055	5.59789573076145	12.4627606752731	15.759185480301	2.15448733797196	4.3042084668859	2.0470097034832	3.14144060274091	4.08522464103752	2.51660767104689	4.88897901247085	6.58296877809073	2.67654931027383	8.96597190526903	7.4397354154591	7.72512799919687	12.5764847030594	13.5974039716412	4.30543054305431	14.2776436752093	12.3876711178298	16.3041404312154	3.39308286249486	14.9217719132893	19.0480383954912	4.69137779201025	10.2760736196319	13.9994305613351	18.7985738836022	9.41471970205487	12.0198453765143	12.6210802823838
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae	2.19850692274805	0.832869154664333	6.00414078674948	7.68867606393741	8.49056603773585	9.06595838866755	3.01981421961643	3.25521375348624	2.76220667259443	2.93359890883111	4.52987494210283	3.23425301847452	3.2322822670587	5.97171450829987	4.91558575252213	6.45570262183681	4.13242865423301	4.60546129906636	7.03359328134373	6.86395541603471	2.85778577857786	8.54604283293103	7.18904845888973	7.06449150925396	1.59907405997289	7.89820923656927	9.63409801417815	5.31582739572492	2.49780893952673	8.17582513852691	11.6859465975838	2.85819457376091	9.88616302428928	9.81365949761944
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae	8.87953431775578	2.12726452879234	7.16609625216546	6.11721858771161	3.97219463753724	5.43603364320496	5.33323914809452	3.42796486700246	4.18293578690996	5.63337591201368	6.20194534506716	5.31445473500461	5.27628510595154	4.66231197938515	4.60932674490426	2.71058370099904	3.86648027549524	2.93143258708965	5.07198560287942	2.63482769567211	4.51920192019202	5.11529967644189	3.50214159737969	6.40622018698722	4.6753879658255	8.32422243166824	5.49073136365638	11.9385957889681	1.48992112182296	6.68652401498062	6.92538538487188	1.84266938050798	4.90655627929628	6.94056805122312
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	3.71296083138751	2.18827086814673	6.49427472852495	4.20853847710258	4.10460112545515	5.28552456839309	4.87761805531028	2.60375473504558	4.08242161827812	8.57130485613458	3.56646595646132	7.07947437327256	4.94575686910676	4.26080182177743	5.10345892526251	3.26081444292307	4.88935865525589	2.14335910049192	4.52909418116377	3.2661987231491	2.67776777677768	2.98392481125777	5.58914923994289	1.48349551612288	3.6930996146993	2.39019792648445	3.02496587556691	7.25322232007045	1.51183172655565	4.6146433342824	4.1244517403237	2.1458112292402	5.42095330857734	4.44918732556231
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	0.833689610944848	0.2175008620461	6.08864663877974	3.02151480407365	0.937879289418515	0.424966799468792	2.91385582594568	2.087582733214	1.43619283256659	2.81452293836195	6.12783696155628	6.23575619454008	6.63084254283687	7.88038592916642	3.03942763022442	7.99736294943963	0.49098162228511	12.7170966770405	4.48410317936413	4.25734541991464	2.95529552955296	6.53279235786554	2.97304106827916	0.224193856134326	0.126402997121667	0.471253534401508	0.510765708247105	2.26162837242815	3.65907099035933	0.462121378041569	0.495036807140842	5.09278305870125	1.2905582273087	1.76489903135774
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae	0.828756536323873	0.230763109731837	3.07601301390121	6.65003035003709	6.44929934900143	2.37273129703409	1.21498958075796	1.21758314948175	0.835040785556887	1.26437030461798	1.8805002315887	1.39649905445377	2.08861401196391	2.15137532210703	2.136092238007	1.74451037070845	0.688738109038835	8.89468928822407	2.74745050989802	4.05982152305033	1.32763276327633	5.88567613373735	2.41874527588813	1.39286395726006	0.114219575712349	3.9057492931197	1.96820923781428	12.831238491714	2.12532865907099	6.08204297071771	5.94557160079001	1.50055215122448	1.4731843915505	1.43654572319816
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	2.44844937021081	0.686984430121217	3.92529682680526	3.4666486814595	3.08396778108794	4.75431606905711	1.40218274290962	1.19260708487699	0.945219778095643	2.39234449760766	1.57943492357573	2.39538379479222	4.3860894251242	2.06448133277402	3.68797611694462	2.32516861909833	1.97415527293805	1.1821102298966	3.30533893221356	1.87294980776692	1.62016201620162	2.37789533151867	1.65868816662467	2.75233734020225	11.7630933706958	5.04806786050895	1.18885121747171	5.10167320470739	1.1612620508326	3.46481526095622	4.20396542437223	1.76688391832492	2.32848359408291	2.70070595961254
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae	2.41556220607097	0.750643219012758	5.84780496049351	5.78674040601605	2.58744345139579	3.08100929614874	3.6732243139194	1.64633892519669	1.78026056365253	6.52103314642014	3.46919870310329	5.68782427386898	9.11892933184629	4.94996104752202	4.27733168622607	2.15528170799736	0.66487094684442	2.47214135126995	2.9004199160168	0.373884519064583	0.285028502850285	1.85403934055775	1.05400184765264	0.310055332951727	0.143155201559478	1.46277097078228	1.90656510061204	1.37098711071972	0.635407537248028	2.80339035020478	0.841306076384436	1.60232120044172	2.83070554574785	1.16565424396651
