	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales	58.2842766468247	71.9821755391104	10.7322432078421	15.6201524246307	12.0269226525433	18.946436476317	47.490552043231	44.1389501727511	59.475393358333	28.5912230184676	36.17878647522	30.0829171313582	18.1466085369563	17.3937795889015	32.4917644636607	25.2649728688067	46.7080364144703	8.02379279188836	10.4079184163167	23.4065817784205	62.6200120012001	10.184376765446	24.9559082892416	15.035298607136	61.8125885201712	2.5937794533459	11.6155167099643	20.2445760947882	54.1191936897458	16.2552837337655	7.4486367250622	22.486629279172	14.1900529615876	22.681004761123
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	12.7700858354984	3.36595846264025	16.5082181941099	17.0095096782896	16.1204899040053	17.9548472775564	10.1331543813796	8.52724472380635	8.42965941160552	10.9419991772933	13.9462714219546	11.351403772487	10.7452093683463	13.1269850782046	12.101091208565	13.2207515594097	11.3709979883392	11.161028009236	16.6136772645471	14.108849776022	10.0322532253225	18.689332853988	13.5256571764508	19.1280290020988	6.98871510591962	20.4410933081998	19.3298401655585	19.211832519414	7.03330411919369	17.8321908057557	22.6665298689307	6.90946885217504	19.7236257381141	21.7205713347562
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales	5.00378202387608	1.08485186069335	5.58583681919973	6.98050853173265	9.93600353083968	8.36653386454183	8.75216331720411	6.6103317653915	8.56496694630224	10.6497217952326	7.48031496062992	7.9765310575571	8.88573456352023	10.4782165757776	7.52522133003912	8.73015873015873	7.7500085239865	11.0832245758458	11.9586082783443	10.7474163168848	2.28397839783978	8.21734887781829	13.9497774418409	15.2022514787254	3.01691972648219	12.5579641847314	14.4467438686099	6.71283323993275	6.20070113935145	17.3788300225585	14.2842485956857	9.59443951237468	12.1202897668473	9.02971597438844
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales	1.09020949123557	0.57558154956102	4.19149026070055	5.59789573076145	12.4627606752731	15.759185480301	2.15448733797196	4.3042084668859	2.0470097034832	3.14144060274091	4.08522464103752	2.51660767104689	4.88897901247085	6.58296877809073	2.67654931027383	8.96597190526903	7.4397354154591	7.72512799919687	12.5764847030594	13.5974039716412	4.30543054305431	14.2776436752093	12.3876711178298	16.3041404312154	3.39308286249486	14.9217719132893	19.0480383954912	4.69137779201025	10.2760736196319	13.9994305613351	18.808833713802	9.41471970205487	12.0198453765143	12.6210802823838
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	4.0352550399579	2.24662475796398	6.99708454810496	4.78181695555406	4.8990400529626	5.86985391766268	5.18489739695546	2.91179286517088	4.50380794061932	8.87440732641971	3.68226030569708	7.79711972070019	5.26209064179256	4.7611913465572	6.13547457278155	3.69694203560018	5.65992703467558	2.77582572030921	5.35692861427714	3.73884519064583	2.71527152715272	3.45128652868368	6.10985134794659	1.6647586338485	3.72508109589876	2.73327049952875	3.24512350843204	7.44736210071251	1.51183172655565	5.10085634814604	4.7297817221125	2.21077019682567	6.0875388080599	4.56000656706616
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	1.83017068438189	0.472136017612265	8.79705919634935	5.19322856950158	2.11298686968995	0.98273572377158	4.5703387136651	2.73279773550348	1.81312096493602	4.98603563619043	9.55534969893469	9.39242593221161	8.96887356787995	9.11787619104692	5.1189005558987	9.01414879050662	0.651232568447612	14.0347354683265	5.05398920215957	4.44076046700293	3.68661866186619	6.964203173951	3.31317712270093	0.367296317496661	0.283264547766627	1.44392082940622	1.10959446964026	3.4044512048675	4.40403155127082	0.694277141417902	0.507861594890605	5.59729770694844	2.13976989103306	2.48727630930882
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales	0.828756536323873	0.230763109731837	3.07601301390121	6.65003035003709	6.44929934900143	2.37273129703409	1.21498958075796	1.21758314948175	0.835040785556887	1.26437030461798	1.8805002315887	1.39649905445377	2.08861401196391	2.15137532210703	2.136092238007	1.74451037070845	0.688738109038835	8.89468928822407	2.74745050989802	4.05982152305033	1.32763276327633	5.88567613373735	2.41874527588813	1.39286395726006	0.114219575712349	3.9057492931197	1.96820923781428	12.831238491714	2.12532865907099	6.08204297071771	5.94557160079001	1.50055215122448	1.4731843915505	1.43654572319816
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales	2.41556220607097	0.750643219012758	5.96188786073436	5.82046266945437	3.3101621979477	3.16954404603807	3.70854377847632	1.77954460308871	1.78026056365253	6.55567342873844	3.59425660027791	5.68782427386898	9.16962384669979	5.24360280457841	4.31078855260449	2.41391551295705	0.981963244570221	2.64280694709367	3.45530893821236	1.03700045853762	0.416291629162916	2.95824559601459	1.8644494834971	0.629650829994276	0.143155201559478	1.57210179076343	2.02545022235921	1.37098711071972	0.810692375109553	2.95232046255941	0.93620950573268	1.91845484269103	3.41206550191757	1.72385486783779
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	2.44844937021081	0.686984430121217	3.92529682680526	3.4666486814595	3.08396778108794	4.75431606905711	1.40218274290962	1.19260708487699	0.945219778095643	2.39234449760766	1.57943492357573	2.39538379479222	4.3860894251242	2.06448133277402	3.68797611694462	2.32516861909833	1.97415527293805	1.1821102298966	3.30533893221356	1.87294980776692	1.62016201620162	2.37789533151867	1.65868816662467	2.75233734020225	11.7630933706958	5.04806786050895	1.18885121747171	5.10167320470739	1.1612620508326	3.46481526095622	4.20396542437223	1.76688391832492	2.32848359408291	2.70070595961254
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	0.631433551484855	0.408477228720724	4.59289305784426	2.58986983206313	2.71984993931369	2.93050022133687	0.943029703669692	4.70590683927902	2.70228476437159	1.0825088224469	2.42704955998147	1.99292052562673	1.75403021393085	3.14316533828729	1.84784846613136	2.96921750595872	1.60250946162501	3.78476056620821	3.01139772045591	2.64893654544813	1.25637563756376	2.5371064660264	1.44872763920383	3.61572219042168	0.918325388727289	2.53722902921772	3.87917749108362	3.37042670722921	1.92813321647677	1.39950502639129	4.90163387795932	1.89896715241539	2.88244962561636	1.89213593826958
