	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
D_0__Bacteria;D_1__Proteobacteria	84.5512546453119	92.7535078645129	53.8429036210758	58.0292709246645	61.6462539997793	74.041611332448	72.2812842157313	72.5513049993756	82.3230370742645	63.4155318365845	66.5354330708661	63.4388789215924	59.2537767413566	58.3987535207047	66.9085855466337	60.6394847608905	78.5979747008081	40.0587290432687	59.9310137972406	67.93763888399	84.6009600960096	65.0505880540291	67.8928361468044	66.3613814157603	92.8117813685028	59.3402450518379	65.0301615957025	61.8385237370907	82.0990359333918	63.6150594625375	63.9777361684664	66.7410085962367	66.4759237840141	71.4291577737646
D_0__Bacteria;D_1__Bacteroidetes	8.08202058736475	3.92032041590409	20.044788101576	13.1786605516962	13.5495972635992	11.394422310757	17.1723236675732	13.1603047079882	10.0030927436502	24.5967654636385	14.6317739694303	17.5435193715754	20.6407786677482	17.612512734464	16.5148239654107	11.1339317409605	12.9905554229602	13.8690894488505	17.3605278944211	11.8373249620825	4.41419141914191	10.821221303477	16.1711598219535	18.8275138332379	4.58248937757946	15.0386427898209	17.1150543789353	11.342166359779	6.90184049079755	23.1476817275893	16.864595890938	11.0083797068185	14.6800998356365	16.3396814972911
D_0__Bacteria;D_1__Actinobacteria	4.31479593514651	1.60207952043712	21.6503992901508	21.825048897282	19.116186693148	12.0849933598938	9.03118708720376	11.661740831703	6.75184598136622	10.3336292190781	16.641963872163	16.1955098676235	16.7393288046233	19.0357763528495	12.7830965616636	19.4381053805974	5.02233284462477	32.2056018472041	16.130773845231	14.0629960142499	8.01080108010801	18.8690873606903	10.7037876879147	9.95516122877313	1.83360492210225	19.3817153628652	13.3899872308573	23.2007045072452	9.48729184925504	10.7755316585996	14.7767204452766	12.2490959877011	12.3850977049979	9.46478410769988
D_0__Bacteria;D_1__Firmicutes	2.35143223599829	1.43497519959683	1.05209785777665	4.39063869966952	1.30199713119276	0.115095174856131	0.399109949493166	0.880406277317571	0.224223914640275	0.067115546991708	0.47244094488189	0.814624448431363	0.0811112237655886	0.2636783124588	0.411776816965205	3.05542877427861	0.460295270892291	11.284007629756	0.608878224355129	1.59077281224648	1.84143414341434	1.25314570386729	1.23036869068615	0.96832665521847	0.347227510165542	1.45900094250707	0.823389546915592	2.58386037947322	0.766871165644172	0.144549814932434	0.174417113396773	6.89647705865795	2.44110306203202	0.0451485798719422
D_0__Bacteria;D_1__Verrucomicrobia	0.335449074226329	0.0822259356515742	1.76617230743229	1.0993457880893	0.965463974401412	0.725984949092519	0.526260021898068	0.955334471131832	0.36726330846252	0.909307410855398	1.18110236220472	1.24133249284779	2.02372503295143	2.25325103373884	1.68056413423924	1.51883969775344	0.760339595622081	0.958739082421444	1.67366526694661	1.12165355719375	0.378787878787879	1.34559087874275	1.25976316452507	1.58843732112192	0.175136682758936	1.60226201696513	0.915855752718947	0.258185893843567	0.569675723049956	1.0403206377713	1.17218560032831	1.12379013922872	1.29360199671273	1.22722048924643
D_0__Bacteria;D_1__Chloroflexi	0.187456835597066	0.127317577783083	0.887311446317657	1.13306805152762	1.8040383978815	0.708277999114653	0.317875181012256	0.395454356241935	0.204894266826458	0.415683387819611	0.375173691523854	0.552780875721282	0.535334076852885	1.24647929525978	0.815832818612312	2.70044119884375	1.28882675849841	0.707760265033631	2.3995200959808	1.93643963175902	0.525052505250525	1.73077910739048	1.61669606114051	0.934936080900592	0.0639629623989157	2.14514608859566	1.24609220201664	0.416299735809783	0	0.611051490396198	1.06189242568036	1.00036810081632	1.5858038594996	0.788047939582991
D_0__Bacteria;D_1__Acidobacteria	0.177590686355116	0.0689636879658364	0.35069928592555	0.242800296755918	1.26889550921328	0.557768924302789	0.218980680252887	0.220621904008658	0.079251556036649	0.231656888003637	0.0555812876331635	0.121223876254667	0.506945148534929	0.611254269790855	0.597076384599547	0.991429585678787	0.467114460090695	0.767995181206706	1.01379724055189	0.934711297661458	0.202520252025203	0.426274973036824	0.545897371294197	0.620110665903454	0.0685317454274097	0.754005655042413	0.634053982651579	0.198142662717156	0.175284837861525	0.293479927287063	1.17731551542822	0.64525907801572	0.435259024776283	0.455590215071417
D_0__Bacteria;D_1__Gemmatimonadetes	0	0	0.0549288038196645	0	0.303431534811872	0.256750774679061	0.0247236251898421	0.0270574033218166	0.0309274365021069	0.0303102470285133	0.0648448355720241	0	0.0344722701003751	0.188769700964823	0.198167593164505	0.286525685886708	0.109107027174469	0.0803132215641	0.407918416316737	0.190469471976297	0.0262526252625263	0.200297878896821	0.109179474258839	0.133562297271513	0.0243668428186345	0.0490103675777568	0.277398617410066	0.0660475542390521	0	0.0700847587551195	0.148767537897248	0.199207500595457	0.237414013514336	0.0779839106879002
D_0__Bacteria;D_1__Fibrobacteres	0	0	0.0845058520302531	0.0472111688136508	0.044135495972636	0	0.0176597322784587	0.0499521292095075	0.0154637182510535	0	0.0416859657248726	0.0387916404014935	0.0790834431714489	0.158806256367232	0.0334568663784229	0.0405700086211268	0.0340959459920215	0	0.0959808038392322	0	0	0.0924451748754558	0.193163685227177	0.510398778858996	0.0213209874663052	0.0904806786050895	0.171722953634803	0.0260187334881114	0	0.113887732977069	0.161592325647011	0.0324794837927376	0.0974006209289584	0.0779839106879002
D_0__Bacteria;D_1__Planctomycetes	0	0.0106097981485902	0.00845058520302531	0.0269778107506576	0	0	0	0.0520334679265704	0	0	0	0.0533385055520535	0.0547500760417723	0.110864745011086	0	0.121710025863381	0.064782297384841	0	0.0659868026394721	0.126979647984198	0	0	0.100781053162006	0.0763213127265789	0	0.0867106503298775	0.132094579719079	0.0300216155632055	0	0.0481832716441446	0.0692538538487188	0.0303141848732217	0.0517440798685092	0.016417665407979
