	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas;D_6__Unclassified	58.0524221396389	71.958303493276	9.79422825030633	15.2626964321845	11.4035087719298	18.6542718016822	46.9431003425988	43.4125629604962	58.5958943828043	28.3552360951742	35.4562297359889	29.1276729864714	17.489607624455	16.8514412416851	31.6913732756846	25.2649728688067	46.6739404684783	7.79540206806546	10.0389922015597	23.1244047829001	62.6200120012001	9.15207231267012	24.8803224993701	14.9923678687273	61.7775611836194	2.3751178133836	11.0651226278015	20.1865343046994	54.1191936897458	15.9026697912788	7.25626490881576	22.2657687893814	12.8538381932185	22.644065013955
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Unclassified;D_6__Unclassified	0.730095043904364	0.432349274555052	3.09291418430726	5.15950630606326	9.85324947589099	13.77600708278	1.33154381379578	2.40394621820755	1.27575675571191	2.02429149797571	2.26493747105141	1.50317606555787	3.16942106864037	5.24060646011866	2.25962528309656	8.22810487347228	6.23955811653994	2.50476859753037	8.59328134373125	11.0578110119573	1.82268226822682	10.4668481331211	11.3588645334677	10.0744132799084	2.96514018549259	9.13100848256362	16.2564396107613	4.05692098310784	6.96757230499562	10.1162968965593	18.4497396568087	6.15377952926401	8.87258781274731	9.89985224101133
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Niastella;D_6__Unclassified	0.601835103759003	0.416434577332166	1.86335403726708	3.04174816213664	4.38044797528412	3.2049579459938	1.50460919012468	2.00849186196562	1.56956740248193	1.14745935179372	1.43121815655396	1.80381127866945	1.64655784244145	2.81057110325403	1.20444718962322	3.37998884324763	4.98141770943435	5.12498745105913	7.96040791841632	5.83753659482911	1.31263126312631	4.95095269888552	4.8206937095826	8.24747185651593	1.82599028372143	7.49104618284637	10.1800889436837	3.14226242894884	3.94390885188431	7.49687903808669	7.33834355041424	5.14258493385012	7.87727521762951	3.5913643079954
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__Bradyrhizobium;D_6__Unclassified	0.894530864603545	0.363385586589215	2.94080365065281	4.29621636204222	4.46320203023281	5.25896414342629	1.55405644050436	1.62760687674312	1.34341052306027	1.21890493407521	2.07040296433534	1.35770741405227	1.56747439927	3.25103373883862	2.28536133415689	2.67762056899437	2.09690067850933	2.43700431683566	4.08518296340732	4.15858347148249	1.63141314131413	5.04339787376098	4.96346686822877	3.32474718565159	0.945738086898253	4.89726672950047	5.41147461582493	2.97414138179489	1.77475898334794	5.43375895223286	6.96129479057122	1.54818872745383	5.28093991599196	4.11262518469874
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae;D_5__Streptomyces;D_6__Unclassified	0.828756536323873	0.230763109731837	3.07601301390121	6.65003035003709	6.44929934900143	2.37273129703409	1.21498958075796	1.21758314948175	0.835040785556887	1.26437030461798	1.8805002315887	1.39649905445377	2.08861401196391	2.15137532210703	2.136092238007	1.74451037070845	0.688738109038835	8.89468928822407	2.74745050989802	4.05982152305033	1.32763276327633	5.88567613373735	2.41874527588813	1.39286395726006	0.114219575712349	3.9057492931197	1.96820923781428	12.831238491714	2.12532865907099	6.08204297071771	5.94557160079001	1.50055215122448	1.4731843915505	1.43654572319816
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;D_6__Unclassified	6.44095109678692	1.40049335561391	3.49431698145097	2.32683617724422	1.075802714333	2.16024789729969	2.98096280860382	2.31652999209091	2.49932346232652	2.95091904999026	3.79805465493284	3.38941958008049	2.6908648484234	1.54911008569545	3.01626518427013	0.727724529641463	2.33216270585427	1.27246260415621	0.974805038992202	0.761877887905189	1.47764776477648	2.22382004005958	1.10859158478206	2.16561724861668	2.67578392702131	4.08671065032988	2.47457179340408	6.24849891922184	0.832602979842244	2.81872139118246	3.22671659784031	0.472035164454453	1.52492847141901	4.51485798719422
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Novosphingobium;D_6__Unclassified	1.92554346038741	0.289116999549084	2.45066970887734	2.5763809266878	1.91437713781309	4.47985834440018	0.985413061137993	0.878324938600508	0.655275060888391	1.74283920413951	1.38953219082909	1.81350918876982	2.60164250228125	1.31239887337448	2.78978793493926	1.96257416704701	1.7388932455931	0.662584077903825	2.40851829634073	1.52022856336637	1.21512151215122	2.11596733603821	1.01200974216847	2.49952299179546	11.6717177101259	4.4071630537229	0.911452600061644	4.68137058682251	1.1612620508326	2.87785540638209	3.32162002718855	1.36630361821449	1.86887441407439	2.37645706780496
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium;D_6__Unclassified	1.67231229651067	1.69491525423729	5.93231081252377	2.86639239225737	1.30199713119276	0.752545374059318	5.80651997315721	4.6122465970112	0.43685004059226	9.09307410855399	4.02037980546549	4.39315327546914	4.99645138396026	3.79636843051477	4.7946263125386	0.917896445052995	2.66971257117529	0	2.04259148170366	0.0846530986561321	0.911341134113411	0.21570540804273	0.0755857898715042	0.186033199771036	1.18331480437994	0.0904806786050895	0.902646294747039	1.68721479465215	0	2.93260912415953	0.0949034293482443	0.14074442976853	0.222195166494186	4.40403874569036
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Steroidobacter;D_6__Unclassified	0.360114447331207	0.143232275005968	1.09857607639329	0.438389424698186	2.6095111993821	1.98317839752103	0.822943524176173	1.90026224867835	0.771252947771292	1.1171491047652	1.8202871699861	1.01343160548902	1.71955794383048	1.34236231797207	0.41692402717727	0.737867031796744	1.20017729891916	5.2203594016665	3.98320335932813	2.53959295968396	2.48274827482748	3.81079554208823	1.02880658436214	6.229727151307	0.427942677002269	5.79076343072573	2.79159878472987	0.63445680890241	3.30850131463628	3.88313366477584	0.348834226793547	3.26094017279085	3.14725756376697	2.72122804137252
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Mycobacteriaceae;D_5__Mycobacterium;D_6__Unclassified	0.437399283059822	0.3793002838121	4.36472725736257	2.36055844068254	2.20125786163522	2.93050022133687	0.904178292657083	3.0616492527994	1.87497583794023	0.96126783433285	2.01945345067161	1.76017068321777	1.62425225590591	2.94840294840295	1.4952645666049	1.88396977534358	1.51045040744655	0.489408693906234	2.89442111577684	2.37734118725971	0.866336633663366	2.37275948847003	1.31015369110607	3.34859759587865	0.845224860271386	2.40904806786051	3.62379463696006	2.4637739172204	1.18317265556529	1.36008234959154	4.22192012722189	0.944070328908906	2.58720399342546	1.83877852569365
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Unclassified;D_6__Unclassified	0.726806327490381	0.100793082411607	1.26336248785228	1.70634652997909	1.52267461105594	1.33687472332891	1.31388408151732	1.95229571660492	0.922024200719063	1.79696464526186	1.79249652616952	1.18799398729574	2.16161411335294	2.74165518067957	1.80667078443484	0.933110198285917	1.19676770431996	3.51872301977713	1.82063587282543	3.13569186272089	0.236273627362736	1.48939448410457	7.02527924750147	5.05151688609044	0.833041438862068	2.26578699340245	2.48337809871868	1.00072051877352	0.394390885188431	2.41792417705162	3.78587734372996	1.35547712361692	1.77756133195349	1.89624035462157
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Chitinophaga;D_6__Unclassified	3.24431874239484	0.519880109280921	0.82815734989648	1.32191272678222	2.47158777446762	3.18725099601594	5.09306678910748	1.79203263539108	5.54181002822129	6.44092749355907	3.2422417786012	4.06342433205644	2.81050390347764	2.31018157847426	2.81037677578752	2.87539936102236	0.637594190050803	0.396546531472744	0.395920815836833	0.268068145744418	0.142514251425143	0.421139129988188	0.230956580162929	0.0763213127265789	0.214732802339217	0.309142318567389	0.233367090837039	1.15683291970219	1.6432953549518	6.29667754440527	0.91568984533306	1.10646774787259	0.572228647957631	1.26005582006239
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Mesorhizobium;D_6__Unclassified	1.23491301345085	0.320946393994854	1.99433810791397	2.83941458150671	1.99713119276178	2.35502434705622	1.08430756189736	0.599425550514091	1.00707465109986	1.24705016345883	1.11162575266327	0.872811909033603	1.55530771570516	1.65398214178702	0.926497838171711	0.966073330290583	1.18653892052235	1.08171870294147	2.05458908218356	1.60840887446651	1.37638763876388	1.87971855580093	1.06240026874947	3.17210456019844	1.18331480437994	3.81526861451461	2.43494341948835	5.07565447121928	0	2.96546135482599	3.1677225741914	1.14544312842388	2.57502891580934	2.1876539156132
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Arthrobacter;D_6__Unclassified	0.503173611339494	0.0822259356515742	3.65487810030845	1.84123558373238	0.66203243958954	0.424966799468792	1.51873697594744	1.31748740790076	0.980013144160513	1.52200740436035	3.02454840203798	2.83178974930902	3.30122680725945	3.07424941571283	1.89159975293391	5.31720675490644	0.34777864911862	4.06334705350868	3.24835032993401	2.20098056505943	1.3988898889889	3.8621539725746	2.05761316872428	0.157412707498569	0.0593941793704217	0.316682375117813	0.154110343005592	1.41902169562085	0.810692375109553	0.32195186053133	0.436042783491933	3.29991555334214	0.578316186765691	1.15744541126252
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Caulobacter;D_6__Unclassified	1.12309665537541	0.464178669000822	3.32107998478895	3.47339313414716	1.88127551583361	2.39043824701195	1.40571468936531	0.578612163343463	1.24289635442842	3.85589642555587	1.52385363594257	2.84633661445958	5.76498022913921	2.24426200035956	1.82211241507103	1.27034839494903	0.44324729789628	0.988856540507981	1.75464907018596	0	0.101260126012601	1.6640131477582	0.600487108423616	0.166952871589391	0.0197980597901406	0.682375117813384	0.889436836775131	0.698502922103915	0.635407537248028	1.8265840250553	0.028214533049478	0.649589675854752	2.08802581116455	0.693646363487112
