	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Unclassified;s__Unclassified;ASV_3197e9cc417abe6722f18d6cfb41359f	8.37468982630273	14.0919811320755	17.6779026217228	42.2496225465526	44.8294829482948	17.6020408163265	41.6111375535459	22.0224719101124	33.1941031941032	39.9465852727966	11.0320728815675	10.3355064398155	15.9075080094721	44.5881360697217	27.9923599320883	63.370233702337	68.1873954266592	42.4768518518519	33.8461538461538	40.6838689251227
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Unclassified;s__Unclassified;ASV_569eacdd847de9e337eeb1d1a4e71d36	24.8759305210918	36.0259433962264	34.3071161048689	2.61701056869653	0	0	8.7696335078534	26.8699839486356	13.4889434889435	10.9118657001145	0	22.8494196215615	5.43251149185123	0.157436041608097	31.7275042444822	0	5.42108198549916	0.848765432098765	13.0920060331825	6.36378027544721
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Unclassified;s__Unclassified;ASV_493185df792d861cc1d4387ef4016d20	2.20223325062035	4.4811320754717	14.0823970037453	6.03925515853045	18.7568756875688	22.9591836734694	6.35411708710138	1.2199036918138	12.3341523341523	20.9652804273178	0.773742668164233	11.4803625377643	27.1625574592562	1.00646612313748	14.3887945670628	14.5141451414514	7.11656441717791	8.87345679012346	6.1236802413273	5.61975621339243
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_cucumerina;ASV_e0fdcbfae0cd78b8f5dd675b9d20a9b5	0.279156327543424	5.30660377358491	0	3.14544539506794	0.385038503850385	2.2108843537415	3.17705854355069	11.8780096308186	0.221130221130221	17.1690194582221	1.09821539997504	13.4679599300366	4.59674049310489	3.71099240933371	6.38794567062818	0	0.0892359174567764	4.12808641975309	1.77978883861237	7.75684660440082
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Unclassified;ASV_a631dc4ff1827662344b93ed93f4efe6	2.01612903225806	0	0	0.704579768495219	3.85038503850385	5.27210884353742	7.75821037601142	7.86516853932584	3.29238329238329	0.11446012972148	5.40371895669537	0.524725711559866	14.3474021451456	2.35029519257802	1.16723259762309	1.15621156211562	1.27161182375906	2.43055555555556	2.29260935143288	2.50118727243945
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Unclassified;ASV_6f45c4312e89d8034ef8a725dcec25b5	3.34987593052109	3.59669811320755	1.72284644194757	20.5334675390035	0	31.2925170068027	0	0	0	0	0	0	0	0	0	0	0	0.270061728395062	0	0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria;s__Unclassified;ASV_a3cacec9ff86bdd3e9d12183069a2fe1	0.86848635235732	0	0.52434456928839	0	0	0	1.95145168967158	0	0	0	23.8861849494571	0.159007791381778	0	13.2133820635367	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria_destructans;ASV_38b601cd2d83743b9dafe96a85a736e7	0.806451612903226	0	0	0.729743331655762	2.25522552255226	0.76530612244898	0	0	0	0.896604349484929	2.59578185448646	4.75433296231515	1.37902214793147	1.66432386842845	1.97368421052632	2.01722017220172	3.59174567763525	0.540123456790123	1.26696832579186	13.0758271331328
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified;s__Unclassified;ASV_8b1e2c8779ab024e2d4b8981fa175a39	3.47394540942928	0.943396226415094	0.823970037453184	0.931051836940111	0.935093509350935	2.46598639455782	0.321275583055688	1.28410914927769	0.737100737100737	0.724914154902709	0.0998377636340946	0.795038956908889	2.28444072990667	2.9800393590104	0.573005093378608	2.50922509225092	5.15337423312883	1.04166666666667	0.57315233785822	1.66218141522875
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified;s__Unclassified;ASV_7ae8535d11120b15a32542292d46f900	18.2071960297767	6.78066037735849	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0	0	0	0	0	0.222610907934489	1.82476668059618	0	0	0	0	0	0	0
