	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes	45.2853598014888	67.9245283018868	74.9063670411985	63.8651233014595	75.3575357535754	50.5102040816327	74.9762018086625	67.1910112359551	63.3906633906634	92.4647081266692	45.4636216148758	71.7761170297345	60.3287365928402	65.2572392465561	85.971986417657	84.9692496924969	94.8466257668712	61.304012345679	61.1764705882353	84.5337976887763
k__Fungi;p__Basidiomycota;c__Tremellomycetes	8.49875930521092	0.825471698113208	2.09737827715356	1.81177654755913	6.93069306930693	7.14285714285714	13.9814374107568	8.50722311396469	9.8034398034398	1.46890499809233	13.9398477474105	5.26315789473684	28.2351302409806	6.16811920157436	4.56281833616299	3.98523985239852	1.70663692136085	17.0910493827161	19.8190045248869	4.44831407313598
k__Fungi;p__Basidiomycota;c__Agaricomycetes	4.21836228287841	4.00943396226415	12.8838951310861	23.8802214393558	1.26512651265126	32.312925170068	0.86863398381723	12.23113964687	21.2285012285012	0	0.0748783227255709	13.8813801876292	1.18400891489065	0.0112454315434355	0.636672325976231	2.87822878228782	0.178471834913553	3.08641975308642	1.41779788838612	0.728193762862118
k__Fungi;p__Ascomycota;c__Dothideomycetes	12.6550868486352	7.78301886792453	4.49438202247191	3.44740815299446	13.036303630363	2.2108843537415	1.85625892432175	0	1.32678132678133	3.43380389164441	12.7417945838013	1.92399427571951	1.28151553141106	1.84987348889514	3.16213921901528	3.76383763837638	0.457334076965979	7.13734567901235	2.05128205128205	2.29539338293494
k__Fungi;p__Ascomycota;c__Pezizomycetes	1.86104218362283	0	0.52434456928839	0.0503271263210871	0	1.70068027210884	3.02237029985721	0.224719101123596	0	0	24.5850492948958	0.159007791381778	0	26.0669103176834	0	0	0.267707752370329	1.27314814814815	0.995475113122172	1.29808453379769
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	18.4863523573201	6.89858490566038	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0.678248453117563	0	0.245700245700246	0	0	0.5724280489744	1.99192088034545	0	0	0	0	8.17901234567901	10.2564102564103	0
k__Fungi;p__Ascomycota;c__Leotiomycetes	2.60545905707196	10.2004716981132	3.29588014981273	4.95722194262708	1.54015401540154	2.72108843537415	2.08234174202761	1.669341894061	1.5970515970516	1.4307516215185	1.62236365905404	1.27206233105422	1.04471374843293	0.022490863086871	2.3981324278438	3.27183271832718	1.40546569994423	0.810185185185185	2.32277526395173	1.34557543137565
k__Unclassified;p__Unclassified;c__Unclassified	0.682382133995037	0	0.674157303370786	0.377453447408153	0.935093509350935	0	0	9.85553772070626	1.76904176904177	0	0.162236365905404	2.98934647797742	2.38194734642708	0.12369974697779	1.16723259762309	1.05781057810578	0.323480200780814	0.617283950617284	1.29713423831071	0.110812094348583
k__Fungi;p__Ascomycota;c__Unclassified	0	0.17688679245283	0.224719101123596	0	0	0	1.82056163731556	0.192616372391653	0.245700245700246	0	1.29789092724323	0.318015582763555	0.626828249059758	0.241776778183863	1.23089983022071	0.0738007380073801	0.401561628555494	0.347222222222222	0.361990950226244	2.64365996517334
k__Fungi;p__Ascomycota;c__Eurotiomycetes	1.79900744416873	2.18160377358491	0	0.704579768495219	0	0.170068027210884	0.345073774393146	0.128410914927769	0	1.20183136207554	0.0249594409085237	1.0017490857052	0.682546315642847	0.0393590104020242	0.106112054329372	0	0.234244283324038	0	0.0904977375565611	1.04479974671521
k__Fungi;p__Unclassified;c__Unclassified	3.78411910669975	0	0	0.352289884247609	0.275027502750275	2.55102040816327	0.118990956687292	0	0	0	0	0.270313245349022	0.0975066165204067	0.0168681473151532	0.403225806451613	0	0.178471834913553	0	0	1.12395124267849
k__Fungi;p__Basidiomycota;c__Unclassified	0.124069478908189	0	0	0	0	0	0	0	0.0982800982800983	0	0	0.524725711559866	2.00585039699122	0	0.212224108658744	0	0	0	0.211161387631976	0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes	0	0	0	0	0	0	0.249881009043313	0	0	0	0.0873580431798328	0	0.0417885499373172	0.202417767781839	0.148556876061121	0	0	0	0	0.427418078201678
k__Plantae;p__Chlorophyta;c__Trebouxiophyceae	0	0	0	0	0	0	0	0	0.294840294840295	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Taphrinomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154320987654321	0	0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0	0	0	0	0	0	0	0	0	0	0	0.0477023374145333	0.0975066165204067	0	0	0	0	0	0	0
