	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	38.8647642679901	58.8443396226415	73.6329588014981	58.3291394061399	72.4422442244224	45.6632653061225	64.0052356020942	51.0754414125201	61.1793611793612	73.8267836703548	39.2986397104705	52.7110828430593	52.1660398384176	51.8639302783244	78.3106960950764	82.460024600246	87.6073619631902	54.8996913580247	55.5354449472097	72.4711097039734
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae	0.279156327543424	5.30660377358491	0	3.14544539506794	0.385038503850385	2.2108843537415	7.99619228938601	11.8780096308186	0.491400491400491	17.1690194582221	1.31037064769749	13.7064716171092	4.59674049310489	3.8684284509418	6.38794567062818	0	0.0892359174567764	4.12808641975309	1.77978883861237	7.82016780117144
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	4.28039702233251	0.412735849056604	1.64794007490637	0.704579768495219	3.85038503850385	5.27210884353742	9.49547834364588	7.86516853932584	3.29238329238329	0.11446012972148	10.1335330088606	0.524725711559866	16.9104332079677	4.80742198481867	2.24957555178268	1.15621156211562	1.27161182375906	6.21141975308642	2.29260935143288	2.50118727243945
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae	3.34987593052109	3.59669811320755	1.72284644194757	20.5334675390035	0.88008800880088	31.2925170068027	0.0832936696811042	0	6.60933660933661	0	0	0	1.18400891489065	0	0	0	0	0.270061728395062	0.211161387631976	0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	1.86104218362283	0	0.52434456928839	0.0503271263210871	0	1.70068027210884	3.02237029985721	0.224719101123596	0	0	24.5850492948958	0.159007791381778	0	26.0669103176834	0	0	0.267707752370329	1.27314814814815	0.995475113122172	1.29808453379769
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae	0.682382133995037	0	0	0	0.44004400440044	0	0.345073774393146	0	3.61179361179361	1.22090805036246	0.461749656807687	0.2862140244872	9.45814180247945	0.0618498734888951	0	2.48462484624846	0	6.40432098765432	15.3242835595777	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified	3.47394540942928	1.88679245283019	0.823970037453184	0.931051836940111	0.935093509350935	2.46598639455782	0.321275583055688	1.28410914927769	0.737100737100737	0.724914154902709	0.0998377636340946	0.795038956908889	2.28444072990667	2.9800393590104	0.573005093378608	2.50922509225092	5.15337423312883	1.04166666666667	0.57315233785822	1.66218141522875
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified	18.2071960297767	6.78066037735849	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0	0	0	0	0	0.222610907934489	1.82476668059618	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae	0	0.412735849056604	2.77153558052434	0	0	1.02040816326531	0	0	13.6855036855037	0	0	0	0	0	0.636672325976231	2.87822878228782	0.156162855549359	2.81635802469136	0.452488687782805	0.174133291119202
k__Unclassified;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified	0.682382133995037	0	0.674157303370786	0.377453447408153	0.935093509350935	0	0	9.85553772070626	1.76904176904177	0	0.162236365905404	2.98934647797742	2.38194734642708	0.12369974697779	1.16723259762309	1.05781057810578	0.323480200780814	0.617283950617284	1.29713423831071	0.110812094348583
