	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Unclassified	37.0967741935484	56.3679245283019	68.4644194756554	55.9134373427277	66.996699669967	41.6666666666667	57.3179438362684	50.1123595505618	60.3931203931204	72.1289584128195	12.2301260451766	44.7129909365559	48.8090263267865	46.3086870958673	74.5118845500849	78.0319803198032	80.7250418293363	52.1990740740741	53.0618401206637	53.2847870824759
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	0.279156327543424	5.30660377358491	0	3.14544539506794	0.385038503850385	2.2108843537415	7.78200856734888	11.8780096308186	0.491400491400491	17.1690194582221	1.09821539997504	13.4679599300366	4.59674049310489	3.78408771436604	6.38794567062818	0	0.0892359174567764	4.12808641975309	1.77978883861237	7.75684660440082
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon	4.28039702233251	0.412735849056604	1.64794007490637	0.704579768495219	3.85038503850385	5.27210884353742	9.49547834364588	7.86516853932584	3.29238329238329	0.11446012972148	10.1335330088606	0.524725711559866	16.9104332079677	4.80742198481867	2.24957555178268	1.15621156211562	1.27161182375906	6.21141975308642	2.29260935143288	2.50118727243945
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena	3.34987593052109	3.59669811320755	1.72284644194757	20.5334675390035	0	31.2925170068027	0	0	6.60933660933661	0	0	0	0	0	0	0	0	0.270061728395062	0.211161387631976	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria	0.806451612903226	0	0	1.03170608958228	3.24532453245325	0.76530612244898	4.00999524036173	0	0.368550368550369	1.18275467378863	11.1818295270186	4.94514231197329	1.71333054743	2.35591790834973	2.18590831918506	2.01722017220172	5.93418851087563	0.540123456790123	1.26696832579186	17.239195820801
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria	0.86848635235732	0	0.52434456928839	0	0	0	1.95145168967158	0	0	0	23.8861849494571	0.159007791381778	0	13.2133820635367	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella	0.806451612903226	1.82783018867925	4.7940074906367	1.05686965274283	1.15511551155116	3.2312925170068	2.04664445502142	0	0.196560196560197	0.0572300648607402	12.9913889928866	0.922245190014311	0	0.404835535563677	0.275891341256367	1.3530135301353	0.0334634690462911	1.00308641975309	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified	3.47394540942928	1.88679245283019	0.823970037453184	0.931051836940111	0.935093509350935	2.46598639455782	0.321275583055688	1.28410914927769	0.737100737100737	0.724914154902709	0.0998377636340946	0.795038956908889	2.28444072990667	2.9800393590104	0.573005093378608	2.50922509225092	5.15337423312883	1.04166666666667	0.57315233785822	1.66218141522875
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified	18.2071960297767	6.78066037735849	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0	0	0	0	0	0.222610907934489	1.82476668059618	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Unclassified	0	0.412735849056604	2.77153558052434	0	0	1.02040816326531	0	0	13.6855036855037	0	0	0	0	0	0.636672325976231	2.87822878228782	0.156162855549359	2.81635802469136	0.452488687782805	0.174133291119202
k__Unclassified;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified	0.682382133995037	0	0.674157303370786	0.377453447408153	0.935093509350935	0	0	9.85553772070626	1.76904176904177	0	0.162236365905404	2.98934647797742	2.38194734642708	0.12369974697779	1.16723259762309	1.05781057810578	0.323480200780814	0.617283950617284	1.29713423831071	0.110812094348583
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	2.60545905707196	8.49056603773585	3.29588014981273	3.57322596879718	0	0.76530612244898	1.08281770585435	0	0	0.686760778328882	0.449269936353426	0	0	0	0.212224108658744	0.516605166051661	0	0.385802469135802	0.452488687782805	0.364096881431059
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia	0.372208436724566	0	0	0	0.22002200220022	0	0.297477391718229	0	1.10565110565111	0.0763067531476536	0.461749656807687	0.127206233105422	9.45814180247945	0.0618498734888951	0	0	0	0.308641975308642	10.2262443438914	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	1.73697270471464	0	0	0.301962757926522	1.48514851485149	0	3.0580675868634	0	0.294840294840295	0.0381533765738268	0.574067140896044	4.19780569247893	1.57403538097228	0.708462187236435	1.54923599320883	0.2460024600246	0	1.04166666666667	1.65912518853695	1.34557543137565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.155086848635236	0.648584905660377	0.374531835205993	0.327126321087066	1.04510451045105	0	0.630652070442646	0.963081861958266	0.221130221130221	0.457840518885921	0.985897915886684	2.13070440451582	1.64368296420114	2.54709024458814	1.33701188455008	1.05781057810578	0.914668153931958	1.15740740740741	1.20663650075415	1.94712680069653
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora	0	1.70990566037736	0	1.38399597382989	1.54015401540154	1.95578231292517	0.999524036173251	1.669341894061	0.835380835380835	0.743990843189622	1.17309372270061	0.365717920178089	0.654687282351302	0	1.01867572156197	1.3530135301353	1.40546569994423	0.424382716049383	1.17647058823529	0.981478549944594
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Heydenia	0.992555831265509	0	0	0.0503271263210871	0	1.70068027210884	1.07091861018563	0	0	0	0.698864345438662	0	0	12.8535282541468	0	0	0.267707752370329	0.771604938271605	0	0.886496754788666
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces	0	0	0	0	0	0	0	0	0.245700245700246	0	0	0	0	0	0	0	0	8.17901234567901	10.0452488687783	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium	0.310173697270472	0	0	0	0.22002200220022	0	0.0475963826749167	0	2.45700245700246	1.1446012972148	0	0.0636031165527111	0	0	0	2.48462484624846	0	6.09567901234568	5.09803921568627	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria	0	0.589622641509434	0.299625468164794	2.28988424760946	11.3311331133113	0	0	0	0	0.648607401755055	0.54910769998752	1.22435999363969	0	0.0449817261737419	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera	10.1116625310174	0	3.97003745318352	0	0.275027502750275	0	0.511661113755355	0	0	1.88859214040443	0	0	0	0	0	0	0	0.192901234567901	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	2.14019851116625	0	0	0.125817815802718	0.165016501650165	0.76530612244898	0.14278914802475	0	0.171990171990172	0.476917207172835	11.4189442156496	0	0.710405348934392	0	0.0636672325976231	0.04920049200492	0	0.462962962962963	0	0.0949817951559284
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	2.20223325062035	0.707547169811321	0.449438202247191	0.578761952692501	1.21012101210121	0	0.297477391718229	0.417335473515249	0	0.0763067531476536	0.224634968176713	1.16075687708698	0.376096949435855	1.53500140567894	0.297113752122241	0	1.02621305075293	0.308641975308642	1.17647058823529	2.24790248535697
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus	0.248138957816377	0	0	0	0	0	0	0	0	0	0	13.8495786293528	0	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	0.558312655086849	0	0	0	0	0	0	11.7817014446228	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Unclassified;g__Unclassified	0.403225806451613	7.07547169811321	0	0.352289884247609	1.15511551155116	0.680272108843537	0.559257496430271	0	0	0.286150324303701	0.0748783227255709	0.333916361901733	0.167154199749269	0.404835535563677	0	0	0.0223089793641941	0	0	0
k__Fungi;p__Ascomycota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified	0	0.17688679245283	0.224719101123596	0	0	0	1.82056163731556	0.192616372391653	0.245700245700246	0	1.29789092724323	0.318015582763555	0.626828249059758	0.241776778183863	1.23089983022071	0.0738007380073801	0.401561628555494	0.347222222222222	0.361990950226244	2.64365996517334
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium	0	1.17924528301887	0	0.880724710619024	0.275027502750275	0.170068027210884	0.356972870061875	2.53611556982343	0	0.152613506295307	0.486709097716211	0.540626490698044	0	0.455439977509137	0.360780984719864	0	0.290016731734523	0.192901234567901	1.56862745098039	0.33243628304575
k__Fungi;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified	3.78411910669975	0	0	0.352289884247609	0.275027502750275	2.55102040816327	0.118990956687292	0	0	0	0	0.270313245349022	0.0975066165204067	0.0168681473151532	0.403225806451613	0	0.178471834913553	0	0	1.12395124267849
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia	0	0	5.54307116104869	3.01962757926522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
