	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	41.4081885856079	59.5518867924528	74.0823970037453	58.9079013588324	73.7623762376238	45.6632653061225	64.3384102808187	51.4927768860353	61.9410319410319	73.9030904235025	39.5232746786472	54.2216568611862	53.0853879370386	56.8850154624684	78.6078098471986	82.460024600246	89.313998884551	55.3626543209877	56.711915535445	74.7190121893304
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4.21836228287841	3.59669811320755	1.72284644194757	20.8605938600906	0.88008800880088	31.2925170068027	0.642551166111375	12.23113964687	6.60933660933661	0	0	13.8813801876292	1.18400891489065	0	0	0	0	0.270061728395062	0.81447963800905	0.316605983853095
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales	0.279156327543424	5.30660377358491	0	3.14544539506794	0.385038503850385	2.2108843537415	7.99619228938601	11.8780096308186	0.491400491400491	17.1690194582221	1.31037064769749	13.7064716171092	4.59674049310489	3.8684284509418	6.38794567062818	0	0.0892359174567764	4.12808641975309	1.77978883861237	7.82016780117144
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales	4.28039702233251	0.412735849056604	1.64794007490637	0.704579768495219	3.85038503850385	5.27210884353742	9.49547834364588	7.86516853932584	3.29238329238329	0.11446012972148	10.1335330088606	0.524725711559866	16.9104332079677	4.80742198481867	2.24957555178268	1.15621156211562	1.27161182375906	6.21141975308642	2.29260935143288	2.50118727243945
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	2.54342431761787	7.78301886792453	0.52434456928839	3.44740815299446	12.7612761276128	2.2108843537415	1.142313184198	0	0.58968058968059	1.41167493323159	12.7417945838013	1.92399427571951	1.10043181501602	1.84987348889514	3.16213921901528	3.76383763837638	0.368098159509202	1.85185185185185	0.603318250377074	2.29539338293494
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales	1.86104218362283	0	0.52434456928839	0.0503271263210871	0	1.70068027210884	3.02237029985721	0.224719101123596	0	0	24.5850492948958	0.159007791381778	0	26.0669103176834	0	0	0.267707752370329	1.27314814814815	0.995475113122172	1.29808453379769
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales	2.41935483870968	0	0	0.301962757926522	1.92519251925193	0	3.40314136125654	0	3.90663390663391	1.25906142693628	1.03581679770373	4.48401971696613	11.0321771834517	0.77031206072533	1.54923599320883	2.73062730627306	0	7.44598765432099	16.9834087481146	1.34557543137565
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	2.60545905707196	10.2004716981132	3.29588014981273	4.95722194262708	1.54015401540154	2.72108843537415	2.08234174202761	1.669341894061	1.5970515970516	1.4307516215185	1.62236365905404	1.27206233105422	1.04471374843293	0.022490863086871	2.3981324278438	3.27183271832718	1.40546569994423	0.810185185185185	2.32277526395173	1.34557543137565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	3.47394540942928	3.06603773584906	0.823970037453184	1.81177654755913	1.21012101210121	2.63605442176871	1.24940504521656	3.82022471910112	0.909090909090909	1.2781381152232	0.586546861350306	1.33566544760693	2.28444072990667	3.43547933651954	0.933786078098472	2.50922509225092	5.44339096486336	1.81327160493827	2.68476621417798	1.9946176982745
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales	0	0.412735849056604	11.1610486891386	3.01962757926522	0.385038503850385	1.02040816326531	0.0713945740123751	0	14.4717444717445	0	0	0	0	0	0.636672325976231	2.87822878228782	0.156162855549359	2.81635802469136	0.452488687782805	0.174133291119202
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales	18.2071960297767	6.78066037735849	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0.678248453117563	0	0	0	0	0.222610907934489	1.82476668059618	0	0	0	0	0	0	0
k__Unclassified;p__Unclassified;c__Unclassified;o__Unclassified	0.682382133995037	0	0.674157303370786	0.377453447408153	0.935093509350935	0	0	9.85553772070626	1.76904176904177	0	0.162236365905404	2.98934647797742	2.38194734642708	0.12369974697779	1.16723259762309	1.05781057810578	0.323480200780814	0.617283950617284	1.29713423831071	0.110812094348583
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales	0	0	0	0	0	0	0	0	0.245700245700246	0	0	0	0.167154199749269	0	0	0	0	8.17901234567901	10.2564102564103	0
