	e72	e73	e75	e76	e77	e78	e80	e81	e82	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Unclassified;s__Unclassified	37.0967741935484	56.3679245283019	68.4644194756554	55.9134373427277	66.996699669967	41.6666666666667	57.3179438362684	50.1123595505618	60.3931203931204	72.1289584128195	12.2301260451766	44.7129909365559	48.8090263267865	46.3086870958673	74.5118845500849	78.0319803198032	80.7250418293363	52.1990740740741	53.0618401206637	53.2847870824759
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_cucumerina	0.279156327543424	5.30660377358491	0	3.14544539506794	0.385038503850385	2.2108843537415	7.78200856734888	11.8780096308186	0.491400491400491	17.1690194582221	1.09821539997504	13.4679599300366	4.59674049310489	3.78408771436604	6.38794567062818	0	0.0892359174567764	4.12808641975309	1.77978883861237	7.75684660440082
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Unclassified	4.28039702233251	0.412735849056604	1.64794007490637	0.704579768495219	3.85038503850385	5.27210884353742	9.49547834364588	7.86516853932584	3.29238329238329	0.11446012972148	10.1335330088606	0.524725711559866	16.9104332079677	4.80742198481867	2.24957555178268	1.15621156211562	1.27161182375906	6.21141975308642	2.29260935143288	2.50118727243945
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Unclassified	3.34987593052109	3.59669811320755	1.72284644194757	20.5334675390035	0	31.2925170068027	0	0	6.60933660933661	0	0	0	0	0	0	0	0	0.270061728395062	0.211161387631976	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria_destructans	0.806451612903226	0	0	1.03170608958228	3.24532453245325	0.76530612244898	4.00999524036173	0	0.368550368550369	1.18275467378863	11.1818295270186	4.94514231197329	1.71333054743	2.35591790834973	2.18590831918506	2.01722017220172	5.93418851087563	0.540123456790123	1.26696832579186	17.239195820801
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria;s__Unclassified	0.86848635235732	0	0.52434456928839	0	0	0	1.95145168967158	0	0	0	23.8861849494571	0.159007791381778	0	13.2133820635367	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_tricincta	0.806451612903226	1.82783018867925	4.7940074906367	1.05686965274283	1.15511551155116	3.2312925170068	2.04664445502142	0	0.196560196560197	0.0572300648607402	12.7542743042556	0.922245190014311	0	0.163058757379814	0.275891341256367	1.3530135301353	0.0334634690462911	1.00308641975309	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified;s__Unclassified	3.47394540942928	1.88679245283019	0.823970037453184	0.931051836940111	0.935093509350935	2.46598639455782	0.321275583055688	1.28410914927769	0.737100737100737	0.724914154902709	0.0998377636340946	0.795038956908889	2.28444072990667	2.9800393590104	0.573005093378608	2.50922509225092	5.15337423312883	1.04166666666667	0.57315233785822	1.66218141522875
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified;s__Unclassified	18.2071960297767	6.78066037735849	0.898876404494382	0.553598389531958	0.66006600660066	0.680272108843537	0	0	0	0	0	0.222610907934489	1.82476668059618	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Unclassified;s__Unclassified	0	0.412735849056604	2.77153558052434	0	0	1.02040816326531	0	0	13.6855036855037	0	0	0	0	0	0.636672325976231	2.87822878228782	0.156162855549359	2.81635802469136	0.452488687782805	0.174133291119202
k__Unclassified;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified	0.682382133995037	0	0.674157303370786	0.377453447408153	0.935093509350935	0	0	9.85553772070626	1.76904176904177	0	0.162236365905404	2.98934647797742	2.38194734642708	0.12369974697779	1.16723259762309	1.05781057810578	0.323480200780814	0.617283950617284	1.29713423831071	0.110812094348583
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Unclassified	2.60545905707196	8.49056603773585	3.29588014981273	3.57322596879718	0	0.76530612244898	1.08281770585435	0	0	0.686760778328882	0.449269936353426	0	0	0	0.212224108658744	0.516605166051661	0	0.385802469135802	0.452488687782805	0.364096881431059
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_albida	0.372208436724566	0	0	0	0	0	0.297477391718229	0	0.958230958230958	0.0763067531476536	0	0	9.01239726981474	0	0	0	0	0.308641975308642	9.07993966817496	0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Unclassified	0	1.70990566037736	0	1.38399597382989	1.54015401540154	1.95578231292517	0.999524036173251	1.669341894061	0.835380835380835	0.743990843189622	1.17309372270061	0.365717920178089	0.654687282351302	0	1.01867572156197	1.3530135301353	1.40546569994423	0.424382716049383	1.17647058823529	0.981478549944594
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Heydenia;s__Heydenia_alpina	0.992555831265509	0	0	0.0503271263210871	0	1.70068027210884	1.07091861018563	0	0	0	0.698864345438662	0	0	12.8535282541468	0	0	0.267707752370329	0.771604938271605	0	0.886496754788666
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_sclerotioides	0	0.589622641509434	0.299625468164794	2.28988424760946	11.3311331133113	0	0	0	0	0.648607401755055	0.54910769998752	1.22435999363969	0	0.0449817261737419	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera;s__Minutisphaera_aspera	10.1116625310174	0	3.97003745318352	0	0.275027502750275	0	0.511661113755355	0	0	1.88859214040443	0	0	0	0	0	0	0	0.192901234567901	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Unclassified	2.14019851116625	0	0	0.125817815802718	0.165016501650165	0.76530612244898	0.14278914802475	0	0.171990171990172	0.476917207172835	11.4189442156496	0	0.710405348934392	0	0.0636672325976231	0.04920049200492	0	0.462962962962963	0	0.0949817951559284
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus	0	0	0	0	0	0	0	0	0.245700245700246	0	0	0	0	0	0	0	0	8.17901234567901	7.72247360482655	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_globisporum	0.310173697270472	0	0	0	0.22002200220022	0	0	0	0.933660933660934	0.343380389164441	0	0.0636031165527111	0	0	0	2.48462484624846	0	5.16975308641975	5.09803921568627	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea	2.20223325062035	0.707547169811321	0.449438202247191	0.578761952692501	1.21012101210121	0	0.297477391718229	0.417335473515249	0	0.0763067531476536	0.224634968176713	1.12895531881062	0.306449366206993	1.52375597413551	0.297113752122241	0	1.02621305075293	0.308641975308642	1.17647058823529	2.24790248535697
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus;s__Leucoagaricus_leucothites	0.248138957816377	0	0	0	0	0	0	0	0	0	0	13.8495786293528	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Unclassified	0.0930521091811414	0.235849056603774	0	0.327126321087066	0.825082508250825	0	0.499762018086625	0.642054574638844	0.0737100737100737	0.11446012972148	0.873580431798328	1.11305453967244	1.29544504805683	1.53500140567894	0.976230899830221	0.811808118081181	0.736196319018405	0.540123456790123	0.844645550527903	1.75716321038468
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terrea	0.930521091811414	0	0	0.176144942123805	1.1001100110011	0	2.10613993336506	0	0	0	0.424310495444902	2.7190332326284	1.2118679481822	0.320494798987911	0.403225806451613	0	0	1.04166666666667	1.47812971342383	0.965648250751939
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Unclassified	0.558312655086849	0	0	0	0	0	0	11.7817014446228	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Unclassified;g__Unclassified;s__Unclassified	0.403225806451613	7.07547169811321	0	0.352289884247609	1.15511551155116	0.680272108843537	0.559257496430271	0	0	0.286150324303701	0.0748783227255709	0.333916361901733	0.167154199749269	0.404835535563677	0	0	0.0223089793641941	0	0	0
k__Fungi;p__Ascomycota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified	0	0.17688679245283	0.224719101123596	0	0	0	1.82056163731556	0.192616372391653	0.245700245700246	0	1.29789092724323	0.318015582763555	0.626828249059758	0.241776778183863	1.23089983022071	0.0738007380073801	0.401561628555494	0.347222222222222	0.361990950226244	2.64365996517334
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium;s__Unclassified	0	1.17924528301887	0	0.880724710619024	0.275027502750275	0.170068027210884	0.356972870061875	2.53611556982343	0	0.152613506295307	0.486709097716211	0.540626490698044	0	0.455439977509137	0.360780984719864	0	0.290016731734523	0.192901234567901	1.56862745098039	0.33243628304575
k__Fungi;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified	3.78411910669975	0	0	0.352289884247609	0.275027502750275	2.55102040816327	0.118990956687292	0	0	0	0	0.270313245349022	0.0975066165204067	0.0168681473151532	0.403225806451613	0	0.178471834913553	0	0	1.12395124267849
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Unclassified	0	0	5.54307116104869	3.01962757926522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Unclassified	1.79900744416873	2.18160377358491	0	0.704579768495219	0	0.170068027210884	0.345073774393146	0.128410914927769	0	0.228920259442961	0.0249594409085237	0.842741294323422	0.571110182476668	0.0393590104020242	0.106112054329372	0	0.234244283324038	0	0.0904977375565611	0.918157353173975
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_podzolica	0	0.17688679245283	0	0.125817815802718	0	0.850340136054422	0.0832936696811042	0.642054574638844	0	0.095383441434567	2.77049794084613	0.254412466210844	0	0.567894292943492	0.382003395585739	0.0984009840098401	0.435025097601785	0.925925925925926	0.150829562594268	0.522399873357607
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Unclassified;s__Unclassified	0	0	0	0	0	0	0	0	0.147420147420147	0	0	0.2862140244872	0	0	2.44057724957555	2.7060270602706	0.256553262688232	0	0.211161387631976	1.88380560392591
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Unclassified;s__Unclassified	0	0	0	0	0	0	1.20180866254165	0	0	0	3.86871334082117	0	0	0.927748102333427	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Holtermanniales;f__Holtermanniales_fam_Incertae_sedis;g__Holtermanniella;s__Holtermanniella_takashimae	0.248138957816377	0	0.449438202247191	0.503271263210871	0.88008800880088	1.02040816326531	0.368871965730604	0	1.25307125307125	0	0	0	0	0.0112454315434355	0.382003395585739	0	0	0.347222222222222	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola	0.806451612903226	0	0	0.125817815802718	0.385038503850385	0	0.416468348405521	0	0.294840294840295	0.0381533765738268	0.149756645451142	0.0954046748290666	0.362167432790082	0.0674725892606129	1.14601018675722	0.2460024600246	0	0	0.180995475113122	0.379927180623714
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	0.0620347394540943	0.412735849056604	0	0	0.22002200220022	0	0.130890052356021	0.321027287319422	0.147420147420147	0.343380389164441	0.112317484088356	0.667832723803466	0	0.404835535563677	0.106112054329372	0.17220172201722	0.0892359174567764	0.270061728395062	0.361990950226244	0.189963590311857
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Unclassified	0	0	0	0	0	0	0.118990956687292	0	0.442260442260442	0.133536818008394	0	0	0	0	0	0	0	2.77777777777778	0.422322775263952	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Unclassified	0	0	0	0	0	0	0.0356972870061875	0	0.319410319410319	0	0	0.127206233105422	0.153224683103496	3.05875737981445	0	0	0.0780814277746793	0	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_magnum	0	0	0	0	0	0	0.0475963826749167	0	1.52334152334152	0.801220908050362	0	0	0	0	0	0	0	0.925925925925926	0	0
k__Fungi;p__Basidiomycota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified	0.124069478908189	0	0	0	0	0	0	0	0.0982800982800983	0	0	0.524725711559866	2.00585039699122	0	0.212224108658744	0	0	0	0.211161387631976	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans	0	0	0	0	0	0	0.0832936696811042	0	0.294840294840295	0	0	0	0	0	0	0	0	2.31481481481481	0.301659125188537	0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Unclassified	0	0	0	0	0	0	0	0	0.761670761670762	0	0	0	0	0	0.700339558573854	0.541205412054121	0	0	0.693815987933635	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_randhawae	0	0	0	0	0.22002200220022	0	0	0	0.147420147420147	0	0.461749656807687	0.127206233105422	0.445744532664716	0.0618498734888951	0	0	0	0	1.14630467571644	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Togniniales;f__Togniniaceae;g__Phaeoacremonium;s__Unclassified	0	0	0	0	0	0	0	0	0.0491400491400491	0	0	2.32151375417395	0.0835770998746344	0	0.0424448217317487	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum	0	0	0.374531835205993	0	0	0	0	0	0	0	0	0.349817141039911	0.34823791614431	0.607253303345516	0.254668930390492	0.0738007380073801	0.0892359174567764	0.347222222222222	0	0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32277526395173	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Unclassified	0	0	0	0	0	0	0.571156592099	0	0.171990171990172	0.400610454025181	0	0	0	0	0	0	0	0.578703703703704	0.542986425339366	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Unclassified	0	0	0	0	0	0	0.535459305092813	0	0	0	0	1.38336778502147	0	0.320494798987911	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Unclassified	0	0	0	0	0	0	0	0	0	0	1.90939722950206	0	0	0.247399493955581	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Flagelloscypha;s__Unclassified	0	0	0	0	0.88008800880088	0	0.0832936696811042	0	0	0	0	0	1.18400891489065	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Unclassified;g__Unclassified;s__Unclassified	0	0	1.19850187265918	0	0	0	0.0713945740123751	0	0.786240786240786	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Oliveonia;s__Oliveonia_pauxilla	0	0	1.64794007490637	0	0.385038503850385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85185185185185	0	0
