id	dataset	cultivar	rootstock	tissue	other_info	root_depth	species	cultivar_rootstock
e64	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V2 0-15cm	depth_0_15	grape	new_york_muscat_new_york_muscat
e65	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V2 15-30cm	depth_15_30	grape	new_york_muscat_new_york_muscat
e66	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V2 30-50cm	depth_30_50	grape	new_york_muscat_new_york_muscat
e67	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V4 0-15cm	depth_0_15	grape	new_york_muscat_new_york_muscat
e68	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V4 15-30cm	depth_15_30	grape	new_york_muscat_new_york_muscat
e69	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R14P10V4 30-50cm	depth_30_50	grape	new_york_muscat_new_york_muscat
e70	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V1 0-15cm	depth_0_15	grape	new_york_muscat_new_york_muscat
e71	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V115-30cm	depth_15_30	grape	new_york_muscat_new_york_muscat
e72	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V1 30-50cm	depth_30_50	grape	new_york_muscat_new_york_muscat
e73	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V2 0-15cm	depth_0_15	grape	new_york_muscat_new_york_muscat
e74	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V2 15-30cm	depth_15_30	grape	new_york_muscat_new_york_muscat
e75	root_depth	new_york_muscat	new_york_muscat	root	NYM Own Root R15P18V2 30-50cm	depth_30_50	grape	new_york_muscat_new_york_muscat
e76	root_depth	new_york_muscat	c3309	root	NYM 3309 R20P20V3 0-15cm	depth_0_15	grape	new_york_muscat_c3309
e77	root_depth	new_york_muscat	c3309	root	NYM 3309 R20P20V3 15-30cm	depth_15_30	grape	new_york_muscat_c3309
e78	root_depth	new_york_muscat	c3309	root	NYM 3309 R20P20V3 30-50cm	depth_30_50	grape	new_york_muscat_c3309
