sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-3461_iter-1,depth-3461_iter-2,depth-3461_iter-3,depth-3461_iter-4,depth-3461_iter-5,depth-3461_iter-6,depth-3461_iter-7,depth-3461_iter-8,depth-3461_iter-9,depth-3461_iter-10,depth-6921_iter-1,depth-6921_iter-2,depth-6921_iter-3,depth-6921_iter-4,depth-6921_iter-5,depth-6921_iter-6,depth-6921_iter-7,depth-6921_iter-8,depth-6921_iter-9,depth-6921_iter-10,depth-10382_iter-1,depth-10382_iter-2,depth-10382_iter-3,depth-10382_iter-4,depth-10382_iter-5,depth-10382_iter-6,depth-10382_iter-7,depth-10382_iter-8,depth-10382_iter-9,depth-10382_iter-10,depth-13842_iter-1,depth-13842_iter-2,depth-13842_iter-3,depth-13842_iter-4,depth-13842_iter-5,depth-13842_iter-6,depth-13842_iter-7,depth-13842_iter-8,depth-13842_iter-9,depth-13842_iter-10,depth-17303_iter-1,depth-17303_iter-2,depth-17303_iter-3,depth-17303_iter-4,depth-17303_iter-5,depth-17303_iter-6,depth-17303_iter-7,depth-17303_iter-8,depth-17303_iter-9,depth-17303_iter-10,depth-20763_iter-1,depth-20763_iter-2,depth-20763_iter-3,depth-20763_iter-4,depth-20763_iter-5,depth-20763_iter-6,depth-20763_iter-7,depth-20763_iter-8,depth-20763_iter-9,depth-20763_iter-10,depth-24223_iter-1,depth-24223_iter-2,depth-24223_iter-3,depth-24223_iter-4,depth-24223_iter-5,depth-24223_iter-6,depth-24223_iter-7,depth-24223_iter-8,depth-24223_iter-9,depth-24223_iter-10,depth-27684_iter-1,depth-27684_iter-2,depth-27684_iter-3,depth-27684_iter-4,depth-27684_iter-5,depth-27684_iter-6,depth-27684_iter-7,depth-27684_iter-8,depth-27684_iter-9,depth-27684_iter-10,depth-31144_iter-1,depth-31144_iter-2,depth-31144_iter-3,depth-31144_iter-4,depth-31144_iter-5,depth-31144_iter-6,depth-31144_iter-7,depth-31144_iter-8,depth-31144_iter-9,depth-31144_iter-10,depth-34605_iter-1,depth-34605_iter-2,depth-34605_iter-3,depth-34605_iter-4,depth-34605_iter-5,depth-34605_iter-6,depth-34605_iter-7,depth-34605_iter-8,depth-34605_iter-9,depth-34605_iter-10,depth-38065_iter-1,depth-38065_iter-2,depth-38065_iter-3,depth-38065_iter-4,depth-38065_iter-5,depth-38065_iter-6,depth-38065_iter-7,depth-38065_iter-8,depth-38065_iter-9,depth-38065_iter-10,depth-41526_iter-1,depth-41526_iter-2,depth-41526_iter-3,depth-41526_iter-4,depth-41526_iter-5,depth-41526_iter-6,depth-41526_iter-7,depth-41526_iter-8,depth-41526_iter-9,depth-41526_iter-10,depth-44986_iter-1,depth-44986_iter-2,depth-44986_iter-3,depth-44986_iter-4,depth-44986_iter-5,depth-44986_iter-6,depth-44986_iter-7,depth-44986_iter-8,depth-44986_iter-9,depth-44986_iter-10,depth-48446_iter-1,depth-48446_iter-2,depth-48446_iter-3,depth-48446_iter-4,depth-48446_iter-5,depth-48446_iter-6,depth-48446_iter-7,depth-48446_iter-8,depth-48446_iter-9,depth-48446_iter-10,depth-51907_iter-1,depth-51907_iter-2,depth-51907_iter-3,depth-51907_iter-4,depth-51907_iter-5,depth-51907_iter-6,depth-51907_iter-7,depth-51907_iter-8,depth-51907_iter-9,depth-51907_iter-10,depth-55367_iter-1,depth-55367_iter-2,depth-55367_iter-3,depth-55367_iter-4,depth-55367_iter-5,depth-55367_iter-6,depth-55367_iter-7,depth-55367_iter-8,depth-55367_iter-9,depth-55367_iter-10,depth-58828_iter-1,depth-58828_iter-2,depth-58828_iter-3,depth-58828_iter-4,depth-58828_iter-5,depth-58828_iter-6,depth-58828_iter-7,depth-58828_iter-8,depth-58828_iter-9,depth-58828_iter-10,depth-62288_iter-1,depth-62288_iter-2,depth-62288_iter-3,depth-62288_iter-4,depth-62288_iter-5,depth-62288_iter-6,depth-62288_iter-7,depth-62288_iter-8,depth-62288_iter-9,depth-62288_iter-10,depth-65749_iter-1,depth-65749_iter-2,depth-65749_iter-3,depth-65749_iter-4,depth-65749_iter-5,depth-65749_iter-6,depth-65749_iter-7,depth-65749_iter-8,depth-65749_iter-9,depth-65749_iter-10
e100,1,1,1,1,1,1,1,1,1,1,677,671,652,661,652,680,668,661,666,655,755.0,746.0,747.0,755.0,745.0,757.0,753.0,761.0,747.0,752.0,776.0,775.0,775.0,785.0,770.0,777.0,778.0,771.0,782.0,776.0,789.0,790.0,786.0,789.0,795.0,792.0,784.0,794.0,790.0,793.0,793.0,793.0,796.0,790.0,796.0,795.0,796.0,797.0,793.0,792.0,797.0,796.0,801.0,800.0,797.0,794.0,796.0,799.0,795.0,795.0,800.0,800.0,800.0,799.0,797.0,799.0,800.0,801.0,799.0,798.0,801.0,802.0,800.0,800.0,801.0,800.0,802.0,802.0,800.0,797.0,804.0,802.0,800.0,801.0,802.0,801.0,802.0,803.0,802.0,804.0,805.0,805.0,803.0,805.0,804.0,804.0,805.0,804.0,801.0,801.0,805.0,804.0,805.0,805.0,805.0,804.0,805.0,805.0,805.0,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e101,1,1,1,1,1,1,1,1,1,1,692,697,701,698,715,697,712,691,703,699,786.0,777.0,790.0,784.0,782.0,791.0,797.0,788.0,783.0,803.0,820.0,817.0,814.0,817.0,814.0,817.0,812.0,822.0,824.0,818.0,831.0,828.0,827.0,822.0,832.0,823.0,837.0,831.0,832.0,832.0,835.0,835.0,835.0,833.0,835.0,836.0,838.0,834.0,837.0,830.0,841.0,840.0,837.0,838.0,840.0,839.0,841.0,840.0,838.0,836.0,843.0,842.0,840.0,841.0,840.0,841.0,841.0,841.0,843.0,841.0,840.0,842.0,842.0,840.0,840.0,843.0,842.0,843.0,842.0,844.0,843.0,841.0,845.0,844.0,842.0,842.0,844.0,844.0,843.0,842.0,843.0,844.0,844.0,843.0,845.0,844.0,844.0,844.0,844.0,842.0,845.0,844.0,844.0,845.0,845.0,844.0,843.0,845.0,845.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e102,1,1,1,1,1,1,1,1,1,1,739,729,735,734,739,737,751,749,743,734,836.0,845.0,843.0,838.0,833.0,842.0,844.0,840.0,842.0,842.0,867.0,879.0,870.0,880.0,871.0,874.0,876.0,871.0,871.0,872.0,889.0,894.0,892.0,885.0,888.0,893.0,892.0,890.0,891.0,894.0,894.0,897.0,894.0,896.0,896.0,897.0,902.0,893.0,890.0,897.0,897.0,900.0,899.0,901.0,901.0,900.0,901.0,903.0,903.0,900.0,904.0,903.0,904.0,906.0,906.0,904.0,905.0,903.0,908.0,903.0,905.0,906.0,904.0,907.0,906.0,903.0,904.0,905.0,906.0,905.0,908.0,908.0,905.0,906.0,907.0,905.0,905.0,906.0,905.0,905.0,907.0,904.0,908.0,906.0,905.0,906.0,907.0,907.0,906.0,906.0,908.0,906.0,905.0,905.0,907.0,905.0,907.0,907.0,908.0,904.0,906.0,908.0,907.0,906.0,906.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,907.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e103,1,1,1,1,1,1,1,1,1,1,451,454,442,440,464,441,446,444,458,453,498.0,490.0,501.0,498.0,500.0,501.0,498.0,504.0,500.0,503.0,515.0,510.0,519.0,512.0,514.0,511.0,510.0,512.0,511.0,522.0,521.0,519.0,521.0,521.0,524.0,525.0,514.0,524.0,525.0,517.0,526.0,528.0,522.0,522.0,523.0,524.0,527.0,525.0,525.0,520.0,523.0,525.0,528.0,528.0,525.0,528.0,527.0,525.0,524.0,528.0,528.0,528.0,527.0,527.0,527.0,529.0,525.0,527.0,528.0,530.0,530.0,529.0,531.0,529.0,528.0,529.0,529.0,528.0,529.0,528.0,529.0,530.0,530.0,529.0,530.0,530.0,527.0,529.0,528.0,528.0,530.0,531.0,530.0,530.0,531.0,529.0,531.0,529.0,528.0,531.0,530.0,531.0,531.0,530.0,530.0,531.0,531.0,530.0,528.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e104,1,1,1,1,1,1,1,1,1,1,853,851,859,873,859,861,866,862,869,863,940.0,940.0,944.0,957.0,945.0,949.0,944.0,946.0,948.0,941.0,969.0,965.0,964.0,966.0,966.0,962.0,970.0,960.0,969.0,970.0,975.0,974.0,974.0,974.0,974.0,971.0,975.0,971.0,975.0,971.0,977.0,976.0,976.0,977.0,976.0,974.0,974.0,975.0,977.0,976.0,979.0,976.0,979.0,977.0,977.0,977.0,978.0,976.0,978.0,976.0,979.0,979.0,979.0,978.0,979.0,978.0,979.0,977.0,979.0,979.0,979.0,979.0,978.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e105,1,1,1,1,1,1,1,1,1,1,937,937,946,928,942,939,928,945,926,944,1070.0,1061.0,1063.0,1073.0,1073.0,1082.0,1073.0,1072.0,1074.0,1087.0,1120.0,1109.0,1112.0,1121.0,1106.0,1107.0,1105.0,1112.0,1107.0,1114.0,1130.0,1126.0,1130.0,1132.0,1128.0,1127.0,1120.0,1122.0,1128.0,1124.0,1136.0,1136.0,1134.0,1136.0,1134.0,1137.0,1140.0,1133.0,1137.0,1132.0,1139.0,1141.0,1140.0,1141.0,1138.0,1139.0,1140.0,1137.0,1144.0,1138.0,1142.0,1140.0,1140.0,1141.0,1137.0,1143.0,1137.0,1143.0,1143.0,1139.0,1141.0,1145.0,1142.0,1145.0,1145.0,1144.0,1145.0,1145.0,1141.0,1141.0,1143.0,1146.0,1144.0,1143.0,1145.0,1145.0,1148.0,1145.0,1146.0,1147.0,1145.0,1144.0,1147.0,1143.0,1142.0,1146.0,1148.0,1147.0,1146.0,1147.0,1147.0,1146.0,1148.0,1148.0,1148.0,1147.0,1145.0,1147.0,1147.0,1146.0,1147.0,1148.0,1147.0,1148.0,1147.0,1148.0,1146.0,1147.0,1147.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e106,1,1,1,1,1,1,1,1,1,1,584,582,595,588,584,595,600,580,589,588,624.0,624.0,627.0,625.0,622.0,626.0,623.0,630.0,630.0,624.0,632.0,635.0,637.0,638.0,634.0,630.0,633.0,635.0,634.0,633.0,638.0,638.0,637.0,637.0,638.0,640.0,637.0,637.0,637.0,637.0,638.0,638.0,638.0,639.0,637.0,638.0,639.0,639.0,638.0,639.0,640.0,640.0,638.0,640.0,640.0,640.0,639.0,640.0,640.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e107,1,1,1,1,1,1,1,1,1,1,794,797,789,770,787,803,776,785,790,790,887.0,890.0,888.0,867.0,884.0,890.0,892.0,883.0,878.0,886.0,916.0,909.0,909.0,906.0,910.0,912.0,913.0,909.0,916.0,908.0,927.0,917.0,926.0,927.0,923.0,927.0,916.0,925.0,925.0,926.0,929.0,928.0,930.0,927.0,931.0,927.0,927.0,927.0,929.0,928.0,930.0,931.0,932.0,933.0,927.0,930.0,929.0,933.0,932.0,931.0,932.0,934.0,932.0,935.0,932.0,934.0,930.0,932.0,934.0,931.0,932.0,933.0,934.0,932.0,935.0,933.0,930.0,930.0,933.0,934.0,935.0,931.0,935.0,934.0,934.0,935.0,935.0,933.0,934.0,930.0,934.0,935.0,935.0,935.0,935.0,934.0,935.0,934.0,935.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e108,1,1,1,1,1,1,1,1,1,1,747,735,749,746,741,729,759,738,753,760,824.0,825.0,832.0,818.0,824.0,820.0,830.0,823.0,819.0,824.0,847.0,841.0,841.0,838.0,842.0,843.0,847.0,842.0,841.0,838.0,851.0,852.0,845.0,850.0,848.0,852.0,850.0,852.0,849.0,849.0,851.0,854.0,850.0,851.0,851.0,852.0,853.0,852.0,851.0,852.0,852.0,852.0,852.0,852.0,854.0,853.0,851.0,854.0,854.0,854.0,852.0,854.0,854.0,853.0,853.0,854.0,854.0,853.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,853.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,853.0,854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e109,1,1,1,1,1,1,1,1,1,1,775,775,776,780,792,775,783,773,764,771,834.0,844.0,844.0,841.0,842.0,844.0,842.0,849.0,838.0,841.0,856.0,857.0,855.0,859.0,861.0,861.0,858.0,847.0,860.0,858.0,861.0,863.0,865.0,864.0,864.0,861.0,865.0,862.0,863.0,859.0,866.0,865.0,866.0,863.0,866.0,864.0,865.0,864.0,865.0,866.0,866.0,866.0,864.0,865.0,865.0,867.0,864.0,864.0,866.0,865.0,866.0,867.0,865.0,867.0,866.0,867.0,867.0,867.0,866.0,866.0,867.0,867.0,866.0,867.0,867.0,867.0,867.0,867.0,866.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
