sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1094_iter-1,depth-1094_iter-2,depth-1094_iter-3,depth-1094_iter-4,depth-1094_iter-5,depth-1094_iter-6,depth-1094_iter-7,depth-1094_iter-8,depth-1094_iter-9,depth-1094_iter-10,depth-2187_iter-1,depth-2187_iter-2,depth-2187_iter-3,depth-2187_iter-4,depth-2187_iter-5,depth-2187_iter-6,depth-2187_iter-7,depth-2187_iter-8,depth-2187_iter-9,depth-2187_iter-10,depth-3281_iter-1,depth-3281_iter-2,depth-3281_iter-3,depth-3281_iter-4,depth-3281_iter-5,depth-3281_iter-6,depth-3281_iter-7,depth-3281_iter-8,depth-3281_iter-9,depth-3281_iter-10,depth-4374_iter-1,depth-4374_iter-2,depth-4374_iter-3,depth-4374_iter-4,depth-4374_iter-5,depth-4374_iter-6,depth-4374_iter-7,depth-4374_iter-8,depth-4374_iter-9,depth-4374_iter-10,depth-5467_iter-1,depth-5467_iter-2,depth-5467_iter-3,depth-5467_iter-4,depth-5467_iter-5,depth-5467_iter-6,depth-5467_iter-7,depth-5467_iter-8,depth-5467_iter-9,depth-5467_iter-10,depth-6561_iter-1,depth-6561_iter-2,depth-6561_iter-3,depth-6561_iter-4,depth-6561_iter-5,depth-6561_iter-6,depth-6561_iter-7,depth-6561_iter-8,depth-6561_iter-9,depth-6561_iter-10,depth-7654_iter-1,depth-7654_iter-2,depth-7654_iter-3,depth-7654_iter-4,depth-7654_iter-5,depth-7654_iter-6,depth-7654_iter-7,depth-7654_iter-8,depth-7654_iter-9,depth-7654_iter-10,depth-8747_iter-1,depth-8747_iter-2,depth-8747_iter-3,depth-8747_iter-4,depth-8747_iter-5,depth-8747_iter-6,depth-8747_iter-7,depth-8747_iter-8,depth-8747_iter-9,depth-8747_iter-10,depth-9841_iter-1,depth-9841_iter-2,depth-9841_iter-3,depth-9841_iter-4,depth-9841_iter-5,depth-9841_iter-6,depth-9841_iter-7,depth-9841_iter-8,depth-9841_iter-9,depth-9841_iter-10,depth-10934_iter-1,depth-10934_iter-2,depth-10934_iter-3,depth-10934_iter-4,depth-10934_iter-5,depth-10934_iter-6,depth-10934_iter-7,depth-10934_iter-8,depth-10934_iter-9,depth-10934_iter-10,depth-12028_iter-1,depth-12028_iter-2,depth-12028_iter-3,depth-12028_iter-4,depth-12028_iter-5,depth-12028_iter-6,depth-12028_iter-7,depth-12028_iter-8,depth-12028_iter-9,depth-12028_iter-10,depth-13121_iter-1,depth-13121_iter-2,depth-13121_iter-3,depth-13121_iter-4,depth-13121_iter-5,depth-13121_iter-6,depth-13121_iter-7,depth-13121_iter-8,depth-13121_iter-9,depth-13121_iter-10,depth-14214_iter-1,depth-14214_iter-2,depth-14214_iter-3,depth-14214_iter-4,depth-14214_iter-5,depth-14214_iter-6,depth-14214_iter-7,depth-14214_iter-8,depth-14214_iter-9,depth-14214_iter-10,depth-15308_iter-1,depth-15308_iter-2,depth-15308_iter-3,depth-15308_iter-4,depth-15308_iter-5,depth-15308_iter-6,depth-15308_iter-7,depth-15308_iter-8,depth-15308_iter-9,depth-15308_iter-10,depth-16401_iter-1,depth-16401_iter-2,depth-16401_iter-3,depth-16401_iter-4,depth-16401_iter-5,depth-16401_iter-6,depth-16401_iter-7,depth-16401_iter-8,depth-16401_iter-9,depth-16401_iter-10,depth-17494_iter-1,depth-17494_iter-2,depth-17494_iter-3,depth-17494_iter-4,depth-17494_iter-5,depth-17494_iter-6,depth-17494_iter-7,depth-17494_iter-8,depth-17494_iter-9,depth-17494_iter-10,depth-18588_iter-1,depth-18588_iter-2,depth-18588_iter-3,depth-18588_iter-4,depth-18588_iter-5,depth-18588_iter-6,depth-18588_iter-7,depth-18588_iter-8,depth-18588_iter-9,depth-18588_iter-10,depth-19681_iter-1,depth-19681_iter-2,depth-19681_iter-3,depth-19681_iter-4,depth-19681_iter-5,depth-19681_iter-6,depth-19681_iter-7,depth-19681_iter-8,depth-19681_iter-9,depth-19681_iter-10,depth-20775_iter-1,depth-20775_iter-2,depth-20775_iter-3,depth-20775_iter-4,depth-20775_iter-5,depth-20775_iter-6,depth-20775_iter-7,depth-20775_iter-8,depth-20775_iter-9,depth-20775_iter-10
e100,1,1,1,1,1,1,1,1,1,1,81,79,77,79,77,78,82,80,77,76,87.0,86.0,86.0,88.0,85.0,86.0,86.0,86.0,86.0,81.0,88.0,87.0,88.0,88.0,86.0,88.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e101,1,1,1,1,1,1,1,1,1,1,56,57,55,59,57,58,58,56,56,59,60.0,60.0,60.0,61.0,60.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e102,1,1,1,1,1,1,1,1,1,1,53,60,55,53,58,59,58,55,51,55,71.0,63.0,64.0,69.0,69.0,66.0,67.0,67.0,65.0,71.0,71.0,73.0,75.0,77.0,74.0,75.0,71.0,74.0,71.0,73.0,74.0,71.0,73.0,73.0,75.0,75.0,73.0,73.0,75.0,77.0,76.0,74.0,78.0,77.0,78.0,77.0,78.0,78.0,77.0,77.0,76.0,79.0,79.0,75.0,77.0,78.0,79.0,78.0,76.0,78.0,79.0,79.0,79.0,79.0,77.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,77.0,78.0,79.0,79.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e103,1,1,1,1,1,1,1,1,1,1,29,32,29,32,30,31,29,33,29,27,37.0,33.0,37.0,32.0,36.0,36.0,34.0,38.0,32.0,33.0,37.0,37.0,37.0,36.0,34.0,38.0,37.0,38.0,38.0,36.0,35.0,39.0,39.0,40.0,36.0,39.0,38.0,39.0,36.0,38.0,39.0,37.0,37.0,39.0,39.0,39.0,38.0,40.0,39.0,39.0,40.0,38.0,39.0,40.0,38.0,38.0,40.0,38.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e104,1,1,1,1,1,1,1,1,1,1,126,124,121,123,114,122,126,123,125,125,155.0,143.0,149.0,145.0,150.0,151.0,154.0,152.0,144.0,151.0,164.0,163.0,163.0,163.0,164.0,161.0,163.0,162.0,159.0,163.0,165.0,168.0,170.0,167.0,170.0,172.0,166.0,166.0,174.0,166.0,168.0,172.0,173.0,175.0,173.0,176.0,175.0,174.0,178.0,174.0,176.0,179.0,176.0,171.0,175.0,175.0,176.0,176.0,177.0,174.0,179.0,178.0,177.0,178.0,177.0,177.0,178.0,178.0,179.0,177.0,178.0,175.0,177.0,177.0,179.0,176.0,176.0,178.0,178.0,179.0,179.0,178.0,179.0,179.0,179.0,178.0,178.0,179.0,177.0,177.0,179.0,178.0,178.0,178.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e105,1,1,1,1,1,1,1,1,1,1,75,77,80,82,79,74,75,83,75,79,95.0,96.0,90.0,94.0,92.0,96.0,95.0,96.0,95.0,90.0,99.0,96.0,98.0,100.0,97.0,98.0,100.0,97.0,101.0,99.0,103.0,100.0,103.0,100.0,102.0,102.0,100.0,101.0,102.0,102.0,103.0,103.0,103.0,101.0,103.0,103.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e106,1,1,1,1,1,1,1,1,1,1,100,96,95,106,101,96,99,100,98,100,119.0,115.0,115.0,118.0,111.0,114.0,113.0,114.0,117.0,113.0,120.0,126.0,125.0,122.0,122.0,124.0,122.0,123.0,121.0,124.0,126.0,126.0,125.0,126.0,123.0,123.0,125.0,127.0,122.0,126.0,127.0,126.0,126.0,125.0,127.0,126.0,126.0,126.0,125.0,127.0,127.0,126.0,127.0,127.0,127.0,127.0,127.0,126.0,126.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e107,1,1,1,1,1,1,1,1,1,1,98,97,104,93,99,92,99,97,99,91,122.0,115.0,128.0,119.0,122.0,119.0,115.0,118.0,122.0,111.0,132.0,133.0,132.0,130.0,134.0,134.0,133.0,131.0,127.0,133.0,137.0,138.0,136.0,138.0,136.0,133.0,136.0,135.0,137.0,139.0,135.0,137.0,138.0,135.0,138.0,139.0,139.0,137.0,137.0,136.0,135.0,139.0,139.0,137.0,141.0,141.0,141.0,140.0,140.0,140.0,141.0,139.0,140.0,141.0,141.0,140.0,141.0,139.0,140.0,140.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,140.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,140.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e108,1,1,1,1,1,1,1,1,1,1,115,122,113,103,115,114,115,115,125,113,134.0,135.0,139.0,142.0,146.0,148.0,143.0,148.0,142.0,135.0,147.0,152.0,152.0,149.0,151.0,158.0,152.0,155.0,152.0,150.0,157.0,159.0,160.0,156.0,156.0,155.0,158.0,159.0,159.0,161.0,162.0,157.0,161.0,163.0,163.0,162.0,163.0,161.0,163.0,162.0,162.0,161.0,164.0,162.0,161.0,160.0,163.0,163.0,161.0,165.0,165.0,164.0,163.0,164.0,164.0,164.0,162.0,163.0,161.0,164.0,165.0,162.0,163.0,164.0,164.0,165.0,161.0,164.0,165.0,164.0,164.0,165.0,165.0,164.0,164.0,165.0,164.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e109,1,1,1,1,1,1,1,1,1,1,98,94,96,97,92,98,100,95,98,94,107.0,104.0,106.0,104.0,107.0,106.0,106.0,105.0,106.0,106.0,107.0,107.0,107.0,107.0,107.0,107.0,106.0,107.0,106.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
