sample_id	depth	 trunk_diameter_at ground 	sec_root_mass	tert_root_mass	sec_tert_root_mass	total_root_mass
e64	0 - 15 cm	29.21	67.22	17.37	84.59	334.66
e65	15 - 30 cm	29.21	162.2	19.08	181.28	334.66
e66	30 - 60 cm	29.21	63.1	5.69	68.79	334.66
e67	0 - 15 cm	32.89	105.72	11.67	117.39	525.23
e68	15 - 30 cm	32.89	256.57	49.08	305.65	525.23
e69	30 - 60 cm	32.89	86.75	15.44	102.19	525.23
e70	0 - 15 cm	28.44	102.66	20.19	122.85	445.71
e71	15 - 30 cm	28.44	137.31	24.79	162.1	445.71
e72	30 - 60 cm	28.44	111.26	49.5	160.76	445.71
e73	0 - 15 cm	25.87	14.88	4.61	19.49	311.05
e74	15 - 30 cm	25.87	185.11	24.15	209.26	311.05
e75	30 - 60 cm	25.87	63.39	18.91	82.3	311.05
e87	0 - 15 cm	17.82	10.11	5.16	15.27	132.83
NA	15 - 30 cm	17.82	83.82	32.56	116.38	132.83
e88	30 - 60 cm	17.82	0	1.18	1.18	132.83
e89	0 - 15 cm	18.27	11.92	3.49	15.41	145.31
e90	15 - 30 cm	18.27	87.27	27.92	115.19	145.31
e91	30 - 60 cm	18.27	12.37	2.34	14.71	145.31
e92	0 - 15 cm	25.17	16.86	4.13	20.99	123.13
e93	15 - 30 cm	25.17	73.43	8.94	82.37	123.13
e94	30 - 60 cm	25.17	13.97	5.8	19.77	123.13
e95	0 - 15 cm	18.73	16.13	4	20.13	170.89
e96	15 - 30 cm	18.73	88.14	25.22	113.36	170.89
e97	30 - 60 cm	18.73	28.96	8.44	37.4	170.89
e79	0 - 15 cm	27.17	180.96	34.01	214.97	332.75
NA	15 - 30 cm	27.17	51.25	14.22	65.47	332.75
e80	30 - 60 cm	27.17	32.72	19.59	52.31	332.75
e76	0 - 15 cm	26.74	2.77	1.13	3.9	204.97
e77	15 - 30 cm	26.74	65.39	4	69.39	204.97
e78	30 - 60 cm	26.74	111.41	20.27	131.68	204.97
e81	0 - 15 cm	23.97	0.52	0.26	0.78	252.08
e82	15 - 30 cm	23.97	97.15	15.04	112.19	252.08
e83	30 - 60 cm	23.97	118.56	20.55	139.11	252.08
e84	0 - 15 cm	29.07	11.27	3.9	15.17	248.33
e85	15 - 30 cm	29.07	90.1	24.69	114.79	248.33
e86	30 - 60 cm	29.07	107.47	10.9	118.37	248.33
