id	ph	organic_matter	p2o5	k2o	ca	mg	na	s	al	b	cu	fe	mn	zn	cec	k_sat	ca_sat	mg_sat	na_sat	h_sat
e64	6.46	3.7	1002	349	3275	601	36	22	969	0.79	33.44	332	63	5.45	13.3	2.8	61.6	18.8	0.6	16.2
e65	6.01	3.5	923	301	3388	609	44	27	1109	0.83	33.91	333	60	6.05	14.8	2.2	57.3	17.2	0.7	22.7
e66	5.47	2.3	254	202	2152	437	38	31	1291	0.25	10.05	241	60	1.19	10.5	2	51.1	17.3	0.8	28.8
e67	6.52	3.4	1007	488	3473	635	43	24	968	0.98	34.18	314	72	6.08	14.3	3.6	60.6	18.5	0.7	16.7
e68	5.7	3.4	886	232	2889	504	36	25	1025	0.69	31.46	317	52	4.9	12.3	2	58.8	17.1	0.6	21.5
e69	5.59	2.1	203	205	3156	623	49	19	875	0.25	10.77	234	115	1.53	13.2	1.6	59.7	19.6	0.8	18.2
e70	7.07	3.6	1009	403	4404	675	44	21	841	1.42	37.73	286	93	9.2	15.4	2.8	71.6	18.3	0.6	6.8
e71	6.35	3.1	798	167	3350	497	36	21	956	1	25.16	301	57	5.55	12.5	1.4	66.8	16.5	0.6	14.7
e72	6.29	2	219	156	2877	532	48	16	977	0.56	8.72	217	69	1.88	11.2	1.5	64.2	19.8	0.9	13.6
e73	6.91	3.3	990	218	3993	588	42	18	847	1.38	30.95	283	67	7.3	14	1.6	71.1	17.5	0.7	9.1
e74	6.01	2.5	551	109	2763	416	39	18	931	0.71	17.41	286	42	3.53	10.8	1.1	63.7	16	0.8	18.4
e75	6.17	1.8	58	104	2081	405	74	17	840	0.25	2.44	197	69	0.62	9.1	1.2	57.3	18.6	1.8	21.1
e87	6.42	2.9	758	233	3215	511	32	20	867	0.77	23.2	281	69	5.46	11.9	2.1	67.4	17.9	0.6	12.1
e88	6.18	1.5	99	164	2764	483	46	9	613	0.25	3.57	162	99	1.08	10	1.7	69.1	20.1	1	8
e89	6.71	3.5	1012	460	3876	587	37	19	887	1.24	33.48	297	80	8.12	14.1	3.5	68.9	17.4	0.6	9.7
e90	5.8	2.4	663	140	2730	405	32	18	885	0.62	19.17	273	62	4.1	10.3	1.4	66.1	16.3	0.7	15.5
e91	6.03	1.7	117	194	3616	610	47	12	748	0.25	4.12	153	86	1.16	13.1	1.6	69.1	19.4	0.8	9.2
e92	6.42	2.7	764	280	2919	507	33	23	1011	0.96	22.29	377	41	5.62	11.3	2.6	64.6	18.7	0.6	13.5
e93	5.56	1.4	91	164	1731	395	26	31	1162	0.25	1.92	277	13	0.58	7.9	2.2	54.9	20.9	0.7	21.3
e94	5.39	1.5	88	171	1734	396	26	32	1196	0.25	1.79	292	13	0.57	8	2.3	54.3	20.7	0.7	22
e95	6.15	3	798	221	2747	481	32	21	934	0.78	27.64	390	37	5.48	11.2	2.1	61.5	17.9	0.6	17.9
e96	5.69	2.9	333	147	2078	366	30	32	1139	0.5	17.64	390	22	2.29	9.6	1.6	54.2	15.9	0.7	27.6
e97	5.64	1.8	121	138	1676	358	29	32	1214	0.25	3.92	374	15	0.58	8	1.8	52.1	18.5	0.8	26.8
e79	6.56	3.6	959	307	3561	531	38	21	934	1.02	27.79	304	58	10.4	13	2.5	68.7	17.1	0.6	11.1
e80	6.21	1.8	60	131	2648	491	56	13	752	0.25	2.61	188	105	0.85	10	1.4	65.9	20.4	1.2	11.1
e76	6.33	3.3	839	258	3219	514	36	21	965	0.98	25.21	301	53	5.81	12.5	2.2	64.2	17.1	0.6	15.9
e77	6.12	2.4	343	157	2756	459	39	14	878	0.53	10.39	234	65	2.14	10.7	1.6	64.7	17.9	0.8	15
e78	6.09	2.1	245	148	2723	465	43	10	851	0.25	7.22	224	78	1.58	10.6	1.5	64.3	18.3	0.9	15.1
e81	6.73	2.8	539	265	2777	463	33	20	1012	0.94	19.61	363	67	3.86	10.6	2.7	65.6	18.2	0.7	12.8
e82	6.16	2	206	152	2094	424	33	15	985	0.25	7.92	304	53	1.13	9	1.8	58.2	19.6	0.8	19.6
e83	5.68	1.6	88	188	2536	569	45	16	1018	0.25	3.24	234	51	0.71	10.7	1.9	59.3	22.2	0.9	15.7
e84	6.78	2.9	552	277	2950	519	32	18	927	0.98	22.01	364	67	4.03	11.3	2.6	65.5	19.2	0.6	12.1
e85	6.01	2	198	129	2314	480	37	16	929	0.25	7.82	332	79	1.38	9.4	1.5	61.3	21.2	0.9	15.2
e86	6.08	1.7	47	165	3232	662	60	14	751	0.25	2.15	222	91	0.66	12.4	1.4	65	22.2	1.1	10.3
